uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
195219	3dShapes	2009-11-01	79474	79464	68926	0	79474	79464
195219	3dShapes	2009-12-01	44834	44835	41493	0	44835	44835
195219	3dShapes	2010-01-01	22826	22826	21402	0	22826	22826
195219	3dShapes	2010-03-01	8355	8355	7728	0	8355	8355
195219	3dShapes	2010-04-01	106932	106930	96395	0	106932	106930
195219	3dShapes	2010-05-01	109894	109894	67556	0	109894	109894
195219	3dShapes	2010-07-01	11946	11946	11003	0	11946	11946
195219	3dShapes	2010-08-01	113289	113288	101302	0	113290	113288
195219	3dShapes	2010-09-01	82701	82701	74166	0	82702	82701
195219	3dShapes	2011-02-01	86193	86192	79249	0	86194	86192
195219	3dShapes	2011-03-01	36147	36148	31783	0	36148	36148
2516847	3v3rt	2014-12-01	6	6	5	0	6	6
715371	715371	2013-10-01	0	0	0	0	1	0
1801179	79s VOF	2013-11-01	2	2	2	0	3	2
21323	AE35	2013-04-01	0	0	0	0	1	0
1331238	AEelderink	2013-11-01	24	15	23	0	24	15
1331238	AEelderink	2013-12-01	40	36	37	0	41	36
1331238	AEelderink	2014-11-01	535	388	520	0	535	388
1331238	AEelderink	2014-12-01	913	752	902	0	913	752
1331238	AEelderink	2015-01-01	1	1	0	0	1	1
2527020	AFCA	2014-12-01	1	1	0	0	1	1
510099	AGee	2011-08-01	201	154	48	0	201	154
510099	AGee	2011-09-01	133	56	54	0	133	56
510099	AGee	2011-11-01	15	8	6	0	16	8
510099	AGee	2013-06-01	36	36	18	0	36	36
12946	AND	2007-09-01	77695	77696	8576	245	77696	77696
12946	AND	2009-12-01	42141	0	20357	0	42142	0
211771	AND_fixbot	2009-12-01	23899	0	10411	0	23899	0
74773	ANDborders2	2008-10-01	1701	1299	978	1	1702	1299
1205852	AST62	2013-04-01	266	194	245	0	266	194
1205852	AST62	2013-06-01	53	52	52	0	53	52
271498	Aad van der Klaauw	2010-04-01	1	1	0	0	1	1
2420106	Accounts	2014-10-01	4	4	3	0	4	4
539672	Adampost	2012-11-01	2	2	2	0	3	2
1816789	Adormo	2014-01-01	0	1	0	0	1	1
2401937	Ale Bels	2014-10-01	3	3	2	0	3	3
28090	AliBaba	2008-07-01	3	0	1	0	4	0
2401994	Aliossandro	2014-10-01	6	4	6	0	7	4
120078	Amstelroei	2012-12-01	1	1	0	0	1	1
120078	Amstelroei	2013-11-01	3	2	3	0	4	2
1876417	Amsterdam Book Now	2014-01-01	1	1	0	0	1	1
211350	AnastasiaGri	2009-12-01	1	0	0	0	2	0
1869781	AndiG88	2014-07-01	5	0	4	0	5	0
1869781	AndiG88	2015-01-01	1	0	0	0	1	0
4054	Andre Engels	2009-04-01	3	3	2	0	3	3
4054	Andre Engels	2009-05-01	40	20	19	0	41	20
4054	Andre Engels	2009-07-01	32	16	8	0	33	16
4054	Andre Engels	2009-08-01	3	4	0	0	4	4
4054	Andre Engels	2009-10-01	797	604	334	0	798	604
4054	Andre Engels	2009-11-01	2	1	0	0	3	1
4054	Andre Engels	2010-01-01	0	1	0	0	1	1
4054	Andre Engels	2010-07-01	33	16	6	0	33	16
4054	Andre Engels	2011-10-01	5	0	0	0	6	0
4054	Andre Engels	2012-11-01	89	25	29	0	90	25
4054	Andre Engels	2014-10-01	305	250	290	0	305	250
4054	Andre Engels	2014-11-01	3	1	2	0	3	1
31231	Andre68	2008-09-01	0	0	0	0	1	0
31231	Andre68	2009-03-01	0	0	0	0	1	0
31231	Andre68	2009-08-01	1	0	0	0	2	0
31231	Andre68	2009-12-01	1	0	0	0	1	0
31231	Andre68	2010-05-01	1	0	0	0	1	0
31231	Andre68	2012-09-01	46	0	41	0	46	0
1033649	AndreSchurer	2012-11-01	20	20	12	0	20	20
242798	AnkEric	2012-01-01	860	241	723	0	860	241
242798	AnkEric	2012-02-01	54	9	39	0	54	9
242798	AnkEric	2012-03-01	27	8	18	0	27	8
242798	AnkEric	2012-05-01	2	1	1	0	2	1
242798	AnkEric	2012-06-01	435	56	347	0	435	56
242798	AnkEric	2012-07-01	49	11	38	0	50	11
242798	AnkEric	2012-08-01	159	8	140	0	159	8
242798	AnkEric	2012-09-01	49	1	35	0	49	1
242798	AnkEric	2012-12-01	44	7	39	0	44	7
242798	AnkEric	2013-01-01	206	35	196	0	206	35
242798	AnkEric	2013-02-01	44	0	11	0	45	0
242798	AnkEric	2013-03-01	42	6	41	0	42	6
242798	AnkEric	2013-07-01	239	37	197	0	239	37
242798	AnkEric	2013-08-01	153	56	111	0	153	56
242798	AnkEric	2013-09-01	323	27	266	0	323	27
242798	AnkEric	2013-10-01	248	28	165	0	249	28
242798	AnkEric	2013-11-01	157	9	139	0	157	9
242798	AnkEric	2013-12-01	7	0	3	0	7	0
242798	AnkEric	2014-12-01	106	2	105	0	106	2
242798	AnkEric	2015-01-01	1633	89	1396	0	1633	89
2369945	Anna Ziya	2014-12-01	84	8	78	0	84	8
892988	Annelies RAIN	2012-09-01	24	24	21	0	24	24
154461	Antares19	2012-08-01	0	1	0	0	1	1
6676	Ante	2007-03-01	6	6	4	0	6	6
6676	Ante	2007-04-01	79	79	16	5	79	79
6676	Ante	2007-05-01	3	3	0	1	3	3
6676	Ante	2007-06-01	143	144	68	6	144	144
6676	Ante	2007-07-01	20	21	6	3	21	21
6676	Ante	2007-10-01	102	78	33	0	102	78
6676	Ante	2007-11-01	1	2	0	0	2	2
6676	Ante	2008-03-01	43	41	1	0	43	41
5261	Anti	2014-01-01	2	0	0	0	2	0
5261	Anti	2014-10-01	7	3	4	0	7	3
413449	Anto110	2011-02-01	60	0	59	0	60	0
113669	AnyFile	2012-08-01	22	20	4	0	22	20
113669	AnyFile	2014-03-01	1	0	0	0	1	0
2442674	AppAmapper	2014-11-01	2	0	1	0	2	0
147323	Archib	2014-03-01	1	0	0	0	1	0
38066	ArjanO	2010-10-01	0	1	0	0	1	1
38066	ArjanO	2010-12-01	292	281	192	0	292	281
38066	ArjanO	2011-01-01	59	42	10	0	60	42
38066	ArjanO	2011-08-01	56	46	17	0	56	46
38066	ArjanO	2012-03-01	52	33	30	0	53	33
38066	ArjanO	2012-04-01	188	154	142	0	189	154
38066	ArjanO	2012-05-01	58	58	54	0	58	58
38066	ArjanO	2012-06-01	55	40	19	0	56	40
38066	ArjanO	2012-09-01	55	33	25	0	56	33
38066	ArjanO	2012-10-01	3	3	2	0	3	3
38066	ArjanO	2013-04-01	108	83	46	0	109	83
38066	ArjanO	2013-08-01	1	1	0	0	1	1
38066	ArjanO	2013-09-01	15	16	0	0	16	16
38066	ArjanO	2013-12-01	2	1	1	0	2	1
38066	ArjanO	2014-03-01	11	1	8	0	11	1
38066	ArjanO	2014-06-01	23	20	20	0	24	20
38066	ArjanO	2014-07-01	2	2	0	0	2	2
38066	ArjanO	2014-09-01	27	17	23	0	27	17
38066	ArjanO	2014-11-01	14	12	12	0	14	12
38066	ArjanO	2014-12-01	18	17	17	0	18	17
94936	Arno Peters	2009-10-01	31	31	30	0	31	31
94936	Arno Peters	2010-04-01	1	2	1	0	2	2
94936	Arno Peters	2011-03-01	1	0	0	0	1	0
94936	Arno Peters	2012-05-01	18	17	14	0	18	17
252902	ArnoldJonk	2010-03-01	1	0	0	0	2	0
87062	AtomMapper	2011-08-01	17	12	15	0	17	12
383309	AtonX	2011-07-01	27	10	21	0	27	10
175702	AxelBoldt	2014-07-01	5	4	3	0	5	4
175702	AxelBoldt	2014-08-01	1	0	0	0	1	0
927358	B&B1680	2012-09-01	0	1	0	0	1	1
1993800	BAGgeraar	2014-12-01	2	0	1	0	2	0
322785	BCNorwich	2012-09-01	9	0	7	0	9	0
322785	BCNorwich	2012-12-01	1	0	0	0	1	0
322785	BCNorwich	2013-08-01	36	0	33	0	36	0
322785	BCNorwich	2014-01-01	4	3	3	0	4	3
322785	BCNorwich	2014-02-01	8	5	8	0	9	5
322785	BCNorwich	2014-03-01	1	1	0	0	1	1
322785	BCNorwich	2014-07-01	3	0	2	0	3	0
322785	BCNorwich	2014-08-01	3	2	2	0	3	2
322785	BCNorwich	2014-11-01	4	3	3	0	4	3
15403	Bade	2013-11-01	7	5	1	0	8	5
15403	Bade	2013-12-01	0	1	0	0	1	1
256842	BaneHardcore	2010-04-01	3	1	1	0	4	1
2502560	Barneys Farm Seeds	2014-12-01	11	5	4	0	11	5
121812	Bart-Willem	2009-12-01	20	6	5	0	21	6
37109	Baruch	2009-06-01	0	0	0	0	1	0
2434393	Bas de Wit	2014-11-01	1	0	0	0	1	0
2527646	Bas van Kempen	2014-12-01	1	0	0	0	1	0
1960633	BasBasBas	2014-04-01	6	1	5	0	6	1
35258	Bastiaan Naber	2010-07-01	7	3	3	0	7	3
35258	Bastiaan Naber	2010-11-01	8	3	1	0	9	3
35258	Bastiaan Naber	2012-05-01	50	0	38	0	50	0
2122506	Batum Sanctum	2014-06-01	11	6	10	0	11	6
57463	Beetlelaaf	2012-10-01	84	32	49	0	84	32
57463	Beetlelaaf	2012-12-01	8	4	7	0	8	4
57463	Beetlelaaf	2013-09-01	25	18	21	0	25	18
15276	Ben Konrath	2010-08-01	0	1	0	0	1	1
15276	Ben Konrath	2010-09-01	1	0	0	0	1	0
15276	Ben Konrath	2010-10-01	32	0	3	0	32	0
15276	Ben Konrath	2010-12-01	1	1	0	0	1	1
15276	Ben Konrath	2011-03-01	13	4	2	0	14	4
15276	Ben Konrath	2011-05-01	0	0	0	0	1	0
15276	Ben Konrath	2011-08-01	22	23	1	0	23	23
15276	Ben Konrath	2011-09-01	2	1	0	0	3	1
15276	Ben Konrath	2012-02-01	91	27	63	0	91	27
15276	Ben Konrath	2012-08-01	8	2	6	0	8	2
15276	Ben Konrath	2014-06-01	1	1	0	0	1	1
1486428	BenFish	2013-05-01	10	7	7	0	10	7
89943	Bengatzer	2011-12-01	2	0	1	0	2	0
10275	BertSpaan	2012-12-01	0	1	0	0	1	1
10275	BertSpaan	2013-05-01	7	0	2	0	8	0
48491	Berteun	2008-07-01	45	35	17	0	46	35
48491	Berteun	2011-10-01	126	88	106	0	126	88
48491	Berteun	2011-11-01	142	96	133	0	142	96
48491	Berteun	2011-12-01	12	12	11	0	12	12
48491	Berteun	2012-06-01	96	57	89	0	96	57
48491	Berteun	2012-08-01	4	5	4	0	5	5
48491	Berteun	2012-10-01	9	0	7	0	10	0
48491	Berteun	2013-01-01	72	70	71	0	72	70
48491	Berteun	2013-05-01	81	63	68	0	81	63
48491	Berteun	2013-06-01	105	79	101	0	105	79
48491	Berteun	2013-07-01	12	11	4	0	12	11
