uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
520286	0zlw	2011-09-01	13	5	9	0	13	5
378426	20vkp61	2010-12-01	166	115	106	0	167	115
709128	A-n-d-y	2012-06-01	21	22	11	0	22	22
884128	AK47Xeall	2012-09-01	143	143	126	0	143	143
884128	AK47Xeall	2012-10-01	2	2	1	0	2	2
157276	AMADANON	2009-08-01	772	568	322	1	773	568
157276	AMADANON	2009-09-01	0	0	0	0	1	0
172069	ANZACpete	2009-09-01	41	41	12	0	41	41
172069	ANZACpete	2011-06-01	1	0	1	0	2	0
1781546	Abbe98	2015-09-01	202	192	201	0	202	192
425320	Al Ronberg	2011-03-01	7	3	0	0	8	3
97928	Al3xius	2010-09-01	0	0	0	0	1	0
59980	Alagos	2008-08-01	3	2	0	0	0	0
59980	Alagos	2008-09-01	0	1	0	0	4	3
85218	Aleks-Berlin	2015-07-01	0	0	0	0	1	0
3258839	Aleksandr Uskov	2015-09-01	4	4	3	0	4	4
3259278	AlexNZ	2015-09-01	44	3	41	0	44	3
209460	AlexZolotarev	2014-05-01	2	2	1	0	2	2
2944119	Anand Kulkarni	2015-05-01	2	1	1	0	2	1
1702616	Andre Steinhausen	2014-05-01	1	1	0	0	1	1
31231	Andre68	2008-08-01	0	0	0	0	1	0
31231	Andre68	2014-12-01	5	0	4	0	5	0
2266986	Andreas Larsson	2014-08-01	59	60	50	0	60	60
1963715	AndreasSanio	2014-03-01	97	12	12	0	98	12
1703	Andrew Findlay	2006-04-01	26	27	2	17	27	27
21778	Andrew McMillan	2007-12-01	458	133	96	0	459	133
21778	Andrew McMillan	2010-01-01	0	0	0	0	1	0
563778	AndrewRNZsunz	2011-12-01	1	2	1	0	2	2
558742	AndrewRSUNZ	2011-11-01	4	4	3	0	4	4
1503154	AntNZ	2013-05-01	6	6	4	0	7	6
170928	Antmannz	2009-09-01	36	20	19	0	36	20
204481	Athrun	2009-12-01	54	37	25	0	55	37
503992	AuckDoc	2011-08-01	1	1	1	0	2	1
163777	Badran	2011-12-01	12	11	9	0	12	11
4792	Baumi	2008-04-01	29	22	1	0	30	22
473745	Ben Reynwar	2011-06-01	4	4	3	0	4	4
3516	BiIbo	2008-06-01	0	0	0	0	1	0
3516	BiIbo	2009-02-01	14	0	5	0	14	0
2198462	BlahBlah009	2014-07-01	1	0	0	0	1	0
1836471	Blobo123	2014-06-01	1	1	0	0	1	1
649195	Boston Wardrobes	2012-04-01	1	1	1	0	2	1
355242	Bryce C Nesbitt	2013-09-01	1	0	0	0	1	0
355242	Bryce C Nesbitt	2015-01-01	4	4	3	0	4	4
355242	Bryce C Nesbitt	2015-03-01	4	4	3	0	4	4
166129	BugBuster	2009-09-01	14	0	12	0	14	0
1960024	BuganiniQ	2014-05-01	1	0	1	0	2	0
541078	Cartograffiti	2011-10-01	52	10	43	0	53	10
541078	Cartograffiti	2013-03-01	22	15	13	0	22	15
541078	Cartograffiti	2014-05-01	56	46	40	0	57	46
1198527	Casey000	2013-01-01	1	0	0	0	1	0
3377355	CentaurB123	2015-11-01	10	10	9	0	10	10
2511041	Cerebral Palsy Society of NZ	2014-12-01	11	5	6	0	11	5
83720	Chris Esther	2008-12-01	349	0	2	0	350	0
51722	Chris Parker	2013-12-01	259	243	217	0	259	243
251543	ChrissW-R1	2015-10-01	1	0	0	0	1	0
1930638	CityLuva123	2014-02-01	1	1	0	0	1	1
18069	Claudius Henrichs	2008-09-01	3	2	1	1	3	2
18069	Claudius Henrichs	2010-10-01	4	0	2	0	4	0
18069	Claudius Henrichs	2010-11-01	1	0	0	0	2	0
18069	Claudius Henrichs	2013-01-01	1	0	0	0	1	0
172061	CloCkWeRX	2016-01-01	167	89	162	0	167	89
305893	Comrayde	2010-06-01	8	5	3	0	8	5
28052	CvR	2008-03-01	2	0	0	0	3	0
223036	DRMorris	2010-01-01	1	1	0	0	1	1
38239	Daeron	2010-01-01	5	1	2	0	0	0
