uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
491706	-James-	2013-07-01	1	1	0	0	1	1
234874	-raul	2012-01-01	1	0	0	0	2	0
234874	-raul	2012-02-01	0	0	0	0	1	0
55782	0123456789	2010-01-01	1	0	0	0	1	0
55782	0123456789	2010-02-01	3	2	2	0	4	2
2313076	1899	2014-12-01	3	0	2	0	3	0
57054	26eb5473101d742b174d730717409668	2012-09-01	1	1	0	0	1	1
1792660	3619877	2013-11-01	32	20	20	0	33	20
34536	3ld	2008-07-01	232	176	103	3	233	176
3256581	4132d24	2015-09-01	1	1	0	0	1	1
42429	42429	2011-12-01	0	0	0	0	1	0
1420318	4b696d	2015-05-01	148	81	31	0	149	81
1420318	4b696d	2015-06-01	122	9	69	0	122	9
395161	6arms1leg	2011-09-01	10	11	5	0	11	11
2344888	9661	2015-07-01	2	2	1	0	2	2
2269922	ABaezaF	2014-08-01	3	3	2	0	3	3
2392922	ADF 249	2014-10-01	219	155	202	0	220	155
2392922	ADF 249	2014-12-01	8	8	6	0	8	8
2392922	ADF 249	2015-05-01	42	34	39	0	42	34
2392922	ADF 249	2015-07-01	6	6	5	0	6	6
3028320	ADF AdRi 462	2015-07-01	9	4	6	0	9	4
2483513	ADFSCC3	2014-11-01	1	1	0	0	1	1
21323	AE35	2012-02-01	14	15	5	0	15	15
2046450	AHPN	2014-04-01	1	0	0	0	1	0
1960817	AJ357	2014-12-01	0	1	0	0	1	1
1960817	AJ357	2015-03-01	9	7	8	0	10	7
40023	ALE!	2010-05-01	133	127	39	0	134	127
685127	ATermens	2012-05-01	225	174	194	0	225	174
2534564	AVPC Castellbisbal	2014-12-01	1	1	0	0	1	1
526049	Abalive	2011-09-01	606	605	508	1	606	605
656780	Abogados de Barcelona	2012-04-01	1	1	0	0	2	1
2795365	AbrilDetectives	2015-03-01	1	1	0	0	1	1
17490	Adam Geitgey	2009-12-01	253	234	45	0	253	234
609079	AdinaB	2015-10-01	11	3	4	0	12	3
779108	Adolescent barceloní	2012-08-01	522	429	364	0	523	429
779108	Adolescent barceloní	2012-10-01	1	0	0	0	1	0
454771	Adrianod	2011-05-01	7	6	3	0	8	6
454771	Adrianod	2011-09-01	154	90	74	0	154	90
690441	Adrià Vilanova Martínez	2012-08-01	1	0	0	0	1	0
690441	Adrià Vilanova Martínez	2015-09-01	13	12	12	0	13	12
1744151	Adrián Benedited	2015-10-01	6	3	2	0	6	3
2248169	Aesux	2014-08-01	49	32	47	0	49	32
440292	Affenuwe	2011-04-01	2	0	0	0	2	0
13523	Agendat Nethaim	2008-10-01	11	0	1	0	12	0
30004	Agustin	2015-05-01	1	1	0	0	1	1
346803	Ainstain	2011-09-01	42	35	21	0	43	35
1918392	Aitor_1991	2014-02-01	3	0	2	0	3	0
842111	Al Monk	2012-08-01	5	5	3	0	5	5
304970	Al Pascual	2015-01-01	92	93	90	0	93	93
1841333	Alain Rojas Pastor	2013-12-01	2	2	0	0	2	2
2488	Alban	2008-11-01	4	1	0	0	5	1
601530	Albert Bargalló Paraira	2012-02-01	4	2	0	0	5	2
3395625	Albert C	2015-11-01	16	16	15	0	16	16
2191705	Albert Drivania	2014-07-01	6	2	5	0	6	2
2191705	Albert Drivania	2015-12-01	77	8	53	0	77	8
1242770	Albert Martí	2013-02-01	30	30	28	0	30	30
659276	AlbertJ	2012-04-01	17	18	4	0	18	18
1424583	Alberto Moral	2013-05-01	11	0	0	0	12	0
450422	Alberto Pinedo	2011-05-01	8	4	6	0	8	4
