uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
3338255	!link	2015-10-01	37	27	36	0	37	27
395900	#smolsen	2011-01-01	3	3	2	0	4	3
1745338	-MegaByte-	2013-09-01	248	123	229	0	248	123
1745338	-MegaByte-	2014-08-01	311	257	303	0	311	257
1745338	-MegaByte-	2015-08-01	212	116	211	0	212	116
2812699	-jal	2015-04-01	4	2	3	0	4	2
16315	-jha-	2012-11-01	2	2	1	0	2	2
103545	00pi	2009-03-01	44	0	0	0	45	0
2334541	0101010	2014-09-01	39	32	17	0	40	32
2334541	0101010	2015-06-01	24	10	20	0	25	10
2334541	0101010	2015-10-01	168	92	166	0	168	92
55782	0123456789	2009-04-01	17	17	5	0	18	17
954647	051f58	2015-07-01	1	0	0	0	1	0
576766	100	2011-12-01	0	0	0	0	1	0
542575	123maps	2013-07-01	108	88	85	0	108	88
170672	1248	2010-02-01	17	0	12	0	17	0
1809659	12Erin	2013-12-01	14	12	11	0	15	12
35935	13 digits	2014-09-01	175	172	144	0	175	172
1883072	1c3d57121ng5	2014-01-01	11	7	5	0	11	7
33540	1pferd	2008-04-01	1081	89	96	0	1082	89
33540	1pferd	2008-05-01	73	3	0	0	74	3
607826	2-U-Turns	2012-02-01	2857	1900	2552	0	2857	1900
37392	25or6to4	2010-02-01	0	1	0	0	1	1
37392	25or6to4	2014-06-01	9	4	8	0	10	4
37392	25or6to4	2014-08-01	19	11	18	0	19	11
1926898	2shots1cup	2014-02-01	0	0	0	0	1	0
2532392	314159	2014-12-01	9	9	8	0	9	9
100901	3rdGenBruin	2009-02-01	0	0	0	0	1	0
100901	3rdGenBruin	2009-03-01	861	0	114	0	862	0
100901	3rdGenBruin	2009-04-01	35	0	0	0	36	0
1959589	415vince	2014-02-01	1	1	0	0	1	1
42429	42429	2008-06-01	448	47	6	0	449	47
42429	42429	2009-02-01	138380	26948	19099	12	138381	26948
42429	42429	2009-03-01	20977	4011	2799	2	20978	4011
42429	42429	2011-05-01	2547	1579	2254	2	2548	1579
42429	42429	2011-06-01	22	21	21	0	22	21
42429	42429	2011-07-01	665	610	641	0	666	610
42429	42429	2011-08-01	109	43	107	0	109	43
42429	42429	2011-10-01	1	0	0	0	1	0
42429	42429	2011-12-01	0	0	0	0	1	0
319685	4onlinebuys	2010-07-01	2	2	0	0	2	2
745841	503Greg	2012-10-01	0	0	0	0	1	0
2028671	50983744	2014-04-01	0	1	0	0	1	1
1503983	63woods	2013-05-01	2	2	1	0	2	2
1503983	63woods	2013-06-01	2	2	1	0	2	2
1503983	63woods	2015-07-01	2	1	1	0	2	1
2433512	75287578	2014-10-01	10	10	9	0	10	10
1425753	83w126	2013-05-01	16	16	15	0	16	16
598319	883dodger	2012-02-01	0	1	0	0	1	1
2976278	9gel	2015-06-01	8338	8338	8338	0	8339	8338
883016	@kevin_bullock	2014-05-01	83	83	82	0	83	83
1924772	@nt	2014-02-01	29	17	12	0	29	17
672019	ACrow	2012-05-01	1	1	0	0	1	1
21323	AE35	2012-03-01	137	138	80	0	138	138
21323	AE35	2012-11-01	1	0	0	0	1	0
475933	AE_JLL	2011-06-01	1	1	0	0	1	1
136211	AGWA	2009-06-01	40	39	8	0	41	39
136211	AGWA	2014-01-01	279	271	257	0	280	271
136211	AGWA	2014-04-01	30	19	19	0	30	19
136211	AGWA	2014-05-01	44	22	22	0	45	22
136211	AGWA	2014-12-01	27	27	26	0	27	27
2503012	AJ_LA	2014-12-01	1	0	0	0	2	0
1683477	AKOK	2013-07-01	5	5	0	0	5	5
1683477	AKOK	2013-08-01	13	2	11	0	13	2
1683477	AKOK	2013-09-01	1	1	0	0	1	1
122516	ALeDonne	2013-11-01	0	0	0	0	1	0
82317	AM909	2009-08-01	0	0	0	0	1	0
82317	AM909	2009-11-01	1978	956	1144	0	1978	956
82317	AM909	2012-03-01	5	5	4	0	5	5
838709	AMY-jin	2012-11-01	1	1	0	0	1	1
838709	AMY-jin	2012-12-01	117	7	64	0	118	7
93871	APLmath	2009-01-01	31	0	25	0	32	0
1173661	ATSOTECK	2012-12-01	1	1	0	0	1	1
1920854	ATusler	2014-02-01	38	2	32	0	39	2
230192	A_Rang	2010-04-01	0	1	0	0	1	1
3116554	Aaron Culich	2015-08-01	8	0	7	0	8	0
3539219	Aaron Lander	2016-01-01	5	5	4	0	5	5
53073	Aaron Lidman	2013-02-01	0	0	0	0	2235	1689
53073	Aaron Lidman	2013-03-01	2234	1689	2116	0	0	0
53073	Aaron Lidman	2013-06-01	60	13	48	0	60	13
53073	Aaron Lidman	2013-07-01	281	203	246	0	281	203
53073	Aaron Lidman	2013-11-01	1166	465	814	0	1166	465
53073	Aaron Lidman	2013-12-01	480	426	469	0	480	426
53073	Aaron Lidman	2014-01-01	47	32	44	0	47	32
53073	Aaron Lidman	2015-06-01	9	8	8	0	9	8
53073	Aaron Lidman	2015-11-01	38	14	37	0	38	14
153711	AaronAsAChimp	2013-03-01	28	12	27	0	28	12
1781546	Abbe98	2015-11-01	36	36	35	0	36	36
323054	Abendsegler	2012-10-01	12	2	11	0	12	2
1827000	Abhi4334	2013-12-01	15	1	1	0	16	1
1841083	AcademyX	2013-12-01	0	1	0	0	1	1
602351	Acizza	2012-06-01	69	21	67	0	69	21
602351	Acizza	2012-07-01	77	39	75	0	77	39
1917271	Adam Alpern	2014-02-01	1042	904	943	0	1042	904
1864872	Adam Cohen	2014-01-01	15	13	14	0	16	13
17490	Adam Geitgey	2012-03-01	3	4	0	0	4	4
5473	Adam Killian	2008-12-01	1	1	0	0	1	1
1860612	Adam Mazurkiewicz	2015-03-01	1	0	0	0	1	0
88289	Adfhfd	2008-12-01	30	0	4	0	31	0
136135	Adrianfr	2014-08-01	3	4	0	0	4	4
454771	Adrianod	2012-12-01	22	22	21	0	22	22
268547	Advocate	2013-02-01	1	1	1	0	2	1
2318782	Ady Kari	2014-09-01	13	13	11	0	13	13
364371	Agathe	2010-10-01	18	12	2	0	19	12
364371	Agathe	2010-11-01	39	22	0	0	40	22
364371	Agathe	2011-09-01	0	1	0	0	1	1
2870094	Aheleos	2015-04-01	1	1	0	0	1	1
81285	Ahlzen	2012-10-01	11	3	10	0	11	3
81285	Ahlzen	2012-11-01	1	0	0	0	1	0
81285	Ahlzen	2013-06-01	28	26	22	0	28	26
81285	Ahlzen	2014-04-01	24	10	23	0	24	10
572158	Akhilan	2014-04-01	0	1	0	0	1	1
82223	Akkana	2008-11-01	146	143	13	0	147	143
82223	Akkana	2008-12-01	287	1	127	0	288	1
82223	Akkana	2009-02-01	332	64	95	0	332	64
82223	Akkana	2009-03-01	260	261	68	0	261	261
82223	Akkana	2010-05-01	7	7	5	0	7	7
336659	Akkuhappo	2014-03-01	1	0	0	0	1	0
304970	Al Pascual	2011-04-01	8	8	6	0	9	8
1058397	AlOnderick	2014-11-01	6	6	5	0	6	6
3095	Alan	2012-09-01	1	0	0	0	1	0
3095	Alan	2012-11-01	0	1	0	0	1	1
3095	Alan	2012-12-01	0	1	0	0	1	1
3095	Alan	2013-01-01	1	1	0	0	1	1
3095	Alan	2013-06-01	2	2	1	0	2	2
3095	Alan	2013-07-01	164	69	67	0	165	69
3095	Alan	2013-08-01	11	8	2	0	12	8
3095	Alan	2013-09-01	7	8	0	0	8	8
3095	Alan	2013-10-01	10	9	9	0	10	9
3095	Alan	2014-03-01	0	1	0	0	1	1
3095	Alan	2014-04-01	14	14	4	0	15	14
3095	Alan	2014-05-01	6	1	5	0	6	1
3095	Alan	2014-06-01	20	13	19	0	20	13
3095	Alan	2014-09-01	118	116	115	0	118	116
3095	Alan	2015-01-01	69	67	68	0	69	67
3095	Alan	2015-02-01	327	202	321	0	327	202
3095	Alan	2015-07-01	209	205	208	0	209	205
3095	Alan	2015-08-01	77	76	76	0	77	76
3095	Alan	2015-09-01	540	485	538	0	540	485
