uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
622741	**[<<>>]**	2012-03-01	7	5	7	0	8	5
2433146	-cMc-	2014-10-01	38	28	37	0	38	28
55782	0123456789	2013-06-01	13	5	11	0	13	5
55782	0123456789	2013-07-01	12	8	10	0	12	8
170672	1248	2010-02-01	102	0	96	0	102	0
743874	201020112012	2012-07-01	203	100	109	0	203	100
743874	201020112012	2012-08-01	124	108	54	0	125	108
37392	25or6to4	2010-02-01	0	1	0	0	1	1
37392	25or6to4	2014-06-01	3	0	2	0	3	0
668245	3ric	2012-04-01	10	8	6	0	10	8
668245	3ric	2012-07-01	11	2	9	0	12	2
632378	3yoda	2013-08-01	36	29	4	0	36	29
632378	3yoda	2014-01-01	68	25	46	0	68	25
42429	42429	2009-08-01	239	24	126	0	240	24
42429	42429	2009-10-01	98	0	56	0	98	0
42429	42429	2011-12-01	3	2	2	0	3	2
42429	42429	2012-03-01	115	66	106	0	115	66
42429	42429	2012-05-01	22	21	17	0	22	21
42429	42429	2012-06-01	5	4	4	0	5	4
745841	503Greg	2012-10-01	18	5	5	0	19	5
715371	715371	2014-11-01	263	246	261	0	263	246
694582	7gardens	2012-06-01	14	6	7	0	15	6
694582	7gardens	2012-08-01	1	1	0	0	1	1
694582	7gardens	2012-10-01	0	0	0	0	1	0
1629342	950394174-J	2013-07-01	5	1	4	0	5	1
1778230	@ngel	2013-10-01	6	6	5	0	6	6
630809	ACodispo	2013-12-01	2	0	1	0	3	0
40023	ALE!	2010-11-01	574	574	549	0	574	574
122516	ALeDonne	2013-11-01	2	1	1	0	2	1
1725973	AMEDL	2013-09-01	15	15	15	0	16	15
1725973	AMEDL	2013-10-01	16	16	15	0	16	16
94545	Aaron Bockover	2009-01-01	16	16	15	0	16	16
53073	Aaron Lidman	2013-05-01	1	0	0	0	1	0
702691	AbaddonPR	2012-07-01	2	2	1	0	2	2
1781546	Abbe98	2014-11-01	33	2	32	0	33	2
1796854	Aberfoyle	2013-11-01	16	16	15	0	16	16
579793	Achterin	2014-04-01	3	2	2	0	3	2
15368	Ackman	2007-10-01	58	58	57	19	58	58
625285	Ackrockboogie	2012-03-01	329	323	322	0	329	323
5306	Adam Dunn	2015-01-01	9	9	8	0	9	9
5473	Adam Killian	2008-02-01	0	1	0	0	1	1
5473	Adam Killian	2009-01-01	145	84	37	0	146	84
523735	Aeronaute	2011-09-01	1	2	1	0	2	2
878284	Agamitsudo	2014-02-01	2	1	1	0	2	1
81285	Ahlzen	2009-02-01	237	17	49	0	771	395
81285	Ahlzen	2009-03-01	4463	4072	3814	0	3929	3694
81285	Ahlzen	2009-04-01	2381	2096	1707	0	2381	2096
81285	Ahlzen	2009-05-01	2202	1970	677	0	2202	1970
81285	Ahlzen	2009-07-01	7	4	0	0	8	4
81285	Ahlzen	2009-09-01	126	87	55	0	127	87
81285	Ahlzen	2009-11-01	29	16	18	0	29	16
81285	Ahlzen	2009-12-01	7776	7011	6155	0	7776	7011
81285	Ahlzen	2010-01-01	3892	2097	3056	0	3892	2097
81285	Ahlzen	2010-02-01	4651	2826	4055	0	4651	2826
81285	Ahlzen	2010-03-01	4162	2508	3896	0	4162	2508
81285	Ahlzen	2010-05-01	530	257	389	0	530	257
81285	Ahlzen	2010-06-01	6045	4805	5938	0	6045	4805
81285	Ahlzen	2010-08-01	9134	8130	8718	0	9134	8130
81285	Ahlzen	2010-09-01	11654	10176	10746	0	11654	10176
81285	Ahlzen	2010-10-01	3325	2802	3123	0	3325	2802
81285	Ahlzen	2010-11-01	1880	1579	1497	0	1881	1579
81285	Ahlzen	2011-01-01	1169	743	1002	0	1170	743
81285	Ahlzen	2011-02-01	7433	6602	7365	0	7433	6602
81285	Ahlzen	2011-03-01	7339	6594	7266	0	7339	6594
81285	Ahlzen	2011-04-01	376	235	316	0	376	235
81285	Ahlzen	2011-05-01	7155	6327	7000	0	7155	6327
