uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
2318003	-Detroit-	2014-11-01	233	233	224	0	233	233
560977	01_debora	2011-11-01	1	1	0	0	1	1
296913	19jaa19	2010-06-01	5	5	3	0	5	5
2289752	1edL	2014-08-01	14	6	5	0	15	6
1900436	3DLAB FAB&CAFE	2014-01-01	0	1	0	0	1	1
883016	@kevin_bullock	2014-11-01	0	0	0	0	1	0
1949377	@massinenna	2014-02-01	1	1	0	0	1	1
21323	AE35	2012-08-01	106	106	87	0	106	106
21323	AE35	2014-11-01	29	29	28	0	29	29
40023	ALE!	2010-03-01	3154	2701	1251	1	3154	2701
40023	ALE!	2010-04-01	2646	2501	1194	5	2647	2501
40023	ALE!	2010-08-01	28	23	3	0	29	23
40023	ALE!	2010-10-01	185	65	29	0	186	65
40023	ALE!	2010-11-01	332	296	239	1	332	296
40023	ALE!	2011-05-01	2199	1662	1035	0	2200	1662
40023	ALE!	2011-09-01	10	3	2	0	10	3
40023	ALE!	2012-04-01	21	9	14	0	21	9
40023	ALE!	2012-11-01	123	117	115	0	123	117
40023	ALE!	2013-03-01	0	1	0	0	1	1
40023	ALE!	2013-07-01	49	33	45	0	49	33
40023	ALE!	2014-01-01	53	38	48	0	53	38
40023	ALE!	2014-02-01	85	63	66	0	86	63
2085942	ALongobardi	2014-05-01	2	1	1	0	2	1
681208	ANIBAL1234	2012-05-01	189	30	108	0	189	30
108870	ASTRODOMI	2009-03-01	98	0	18	0	98	0
2068606	AVELINO MARTINEZ	2014-05-01	6	6	4	0	6	6
2341463	AVILITA2014	2014-09-01	2	0	2	0	3	0
648570	Abejo	2013-09-01	0	1	0	0	1	1
648570	Abejo	2014-08-01	47	33	36	0	47	33
2226865	Actitud Web - Trision 3d	2014-07-01	1	1	0	0	1	1
1202432	AcvKaZe	2014-08-01	37	32	34	0	38	32
40072	Adamantivm	2008-05-01	6	5	5	0	7	5
40072	Adamantivm	2008-06-01	19	17	16	0	19	17
508946	Adler Salvador	2013-07-01	173	145	142	0	173	145
1315020	Adrian Irazabal	2013-03-01	3	3	2	0	4	3
1315020	Adrian Irazabal	2013-04-01	11	5	7	0	12	5
1315020	Adrian Irazabal	2013-05-01	2	0	1	0	2	0
612627	AdrianRamiro	2012-02-01	3	3	2	0	3	3
612627	AdrianRamiro	2013-08-01	5	5	4	0	5	5
2263592	Adrus21	2014-08-01	41	31	30	0	41	31
297785	Adso	2010-06-01	9	8	3	0	9	8
386148	Aguilacalva	2010-12-01	228	158	46	0	229	158
331218	AgusQui	2010-08-01	6	1	5	0	7	1
331218	AgusQui	2010-11-01	127	19	20	0	161	37
331218	AgusQui	2010-12-01	1162	637	289	0	1129	619
331218	AgusQui	2011-01-01	2517	1764	531	0	2518	1764
331218	AgusQui	2011-02-01	2005	1230	613	0	2106	1288
331218	AgusQui	2011-03-01	3988	960	1910	0	3889	902
331218	AgusQui	2011-04-01	3709	1239	2125	0	3710	1239
331218	AgusQui	2011-05-01	1564	406	938	0	1565	406
331218	AgusQui	2011-06-01	1283	226	405	0	1284	226
331218	AgusQui	2011-07-01	1106	781	376	0	1107	781
331218	AgusQui	2011-08-01	1740	497	1145	0	1741	497
331218	AgusQui	2011-09-01	1142	244	555	0	1146	247
331218	AgusQui	2011-10-01	234	149	131	0	232	146
331218	AgusQui	2011-11-01	628	378	387	0	629	378
331218	AgusQui	2011-12-01	718	233	403	0	719	233
331218	AgusQui	2012-01-01	318	104	92	0	319	104
331218	AgusQui	2012-02-01	669	168	193	0	670	168
331218	AgusQui	2012-03-01	793	132	374	0	793	132
