uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
13331	-RS-	2008-01-01	0	0	0	0	1	0
55782	0123456789	2010-01-01	1	1	1	0	2	1
42429	42429	2015-02-01	168	123	166	0	168	123
42429	42429	2015-05-01	19	4	16	0	19	4
21323	AE35	2013-04-01	0	0	0	0	1	0
496666	AHMED WAGDI	2011-07-01	1	2	1	0	2	2
1880086	Abdelaal	2014-01-01	7	4	1	0	8	4
1232664	Abdelfatah	2013-02-01	7	6	6	0	7	6
185596	Abdelrahman Wahba	2009-10-01	5	4	1	0	6	4
1636947	Abood Agha	2013-07-01	1	1	0	0	1	1
2584537	Aboutera	2015-01-01	132	99	100	0	133	99
2584537	Aboutera	2015-02-01	994	924	978	0	994	924
1940641	Admsalem	2014-02-01	0	1	0	0	1	1
1940641	Admsalem	2014-04-01	12	3	11	0	12	3
37799	Adrian Vogt	2009-09-01	15	12	2	1	16	12
1852555	Ahmad Tawila	2013-12-01	5	5	4	0	5	5
3388267	Ahmed Abdelhay	2015-11-01	93	59	58	0	93	59
454258	Ahmed Aziz	2011-05-01	1	2	0	0	2	2
106062	Ahmed Farrag	2009-03-01	9	0	0	0	10	0
1065485	Ahmed Osama	2012-11-01	91	92	79	0	92	92
553244	Ahmed Said	2011-11-01	12	9	10	0	13	9
553244	Ahmed Said	2011-12-01	0	0	0	0	1	0
553244	Ahmed Said	2012-06-01	1	1	0	0	2	1
553244	Ahmed Said	2012-07-01	246	228	69	0	247	228
553244	Ahmed Said	2012-10-01	10	4	3	0	11	4
553244	Ahmed Said	2014-01-01	15	6	8	0	16	6
165508	Ahmed Thabet	2009-08-01	1	1	0	0	2	1
2810092	Ahmed Waly	2015-04-01	196	195	181	0	196	195
2810092	Ahmed Waly	2015-05-01	41	41	40	0	41	41
2810092	Ahmed Waly	2015-08-01	45	43	44	0	45	43
386472	Ahmed1970	2011-07-01	1	1	0	0	1	1
386472	Ahmed1970	2011-08-01	1	0	0	0	1	0
386472	Ahmed1970	2012-06-01	1	1	0	0	1	1
138578	Ahmed48	2009-06-01	10	8	5	0	11	8
138578	Ahmed48	2011-11-01	16	15	13	0	16	15
138578	Ahmed48	2013-02-01	59	59	58	0	59	59
138578	Ahmed48	2015-10-01	0	1	0	0	1	1
336057	Ahmedelberry	2010-08-01	0	1	0	0	1	1
1831078	Alaa Ellethey	2013-12-01	8	8	7	0	8	8
78015	Alaa Noor	2008-11-01	446	0	2	0	447	0
78015	Alaa Noor	2008-12-01	2085	0	13	0	2086	0
85218	Aleks-Berlin	2014-11-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-06-01	0	0	0	0	1	0
