uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
170672	1248	2010-02-01	6	0	5	0	6	0
35935	13 digits	2014-09-01	16	16	5	0	17	16
1279955	156281	2013-03-01	7	7	6	0	7	7
37392	25or6to4	2009-03-01	297	30	52	0	298	30
37392	25or6to4	2012-11-01	9	1	8	0	9	1
37392	25or6to4	2014-06-01	2	1	1	0	2	1
37392	25or6to4	2014-07-01	1	0	0	0	1	0
37392	25or6to4	2015-10-01	6	5	5	0	6	5
37392	25or6to4	2015-11-01	23	22	21	0	23	22
442087	2WYCE	2011-04-01	11	0	0	0	11	0
1425152	3ftcatheter	2013-05-01	4	3	1	0	4	3
330746	3mikey1	2010-08-01	3	2	1	0	3	2
632378	3yoda	2014-01-01	44	14	42	0	44	14
42429	42429	2009-02-01	598	25	90	0	599	25
42429	42429	2009-03-01	59	9	12	0	60	9
42429	42429	2009-09-01	79	0	58	0	79	0
42429	42429	2010-05-01	6	0	2	0	7	0
42429	42429	2010-12-01	700	468	417	0	700	468
42429	42429	2011-03-01	1547	841	1333	0	1548	841
42429	42429	2011-10-01	59	14	17	0	60	14
42429	42429	2012-03-01	599	22	504	0	599	22
42429	42429	2013-03-01	778	660	776	0	778	660
745841	503Greg	2012-10-01	0	1	0	0	1	1
2111541	77whoooo	2014-06-01	254	96	253	0	254	96
1251807	9008bp_gmail	2013-03-01	4	4	2	0	4	4
444364	@linux_loco	2011-04-01	170	126	118	0	170	126
440010	ADSLLC	2011-04-01	4	2	2	0	4	2
1213917	ADawson	2015-04-01	0	1	0	0	1	1
21323	AE35	2012-11-01	0	1	0	0	1	1
2503012	AJ_LA	2014-12-01	35	32	28	0	35	32
64065	AKC	2008-10-01	42	26	7	0	43	26
64065	AKC	2008-12-01	39	33	6	0	40	33
64065	AKC	2009-03-01	10	9	3	0	11	9
64065	AKC	2009-04-01	13	9	3	0	14	9
64065	AKC	2009-05-01	4	4	0	0	4	4
2518150	AKLAB	2016-01-01	1	0	0	0	1	0
2242413	AL127	2014-08-01	2	0	1	0	2	0
122516	ALeDonne	2009-05-01	1	0	1	0	2	0
1361318	ARChisholm	2015-10-01	0	0	0	0	1	0
153711	AaronAsAChimp	2012-11-01	7	2	6	0	7	2
153711	AaronAsAChimp	2012-12-01	4	1	3	0	4	1
1539368	Adam Martin	2015-07-01	267	190	266	0	267	190
909645	Adduc	2012-09-01	2	2	1	0	2	2
2181842	Advantage Trailers	2014-07-01	1	0	0	0	1	0
1884137	AgentDrTran	2015-08-01	8	9	7	0	9	9
443130	Alan Bragg	2015-05-01	4	4	3	0	4	4
443130	Alan Bragg	2015-09-01	2242	1947	2180	0	2242	1947
443130	Alan Bragg	2015-10-01	15	15	14	0	16	15
85218	Aleks-Berlin	2014-11-01	4	0	3	0	5	0
85218	Aleks-Berlin	2015-11-01	6	0	5	0	6	0
1893106	Alex Añón	2014-01-01	1	0	0	0	2	0
1960782	Alex Shapiro	2014-03-01	3	1	2	0	3	1
3336516	Alex Szymanski	2015-10-01	12	12	11	0	12	12
334153	Alexander Roalter	2011-10-01	2	1	1	0	2	1
289297	Alfred Sawatzky	2010-11-01	21	19	12	0	21	19
698516	Amanda Fleming	2012-06-01	0	1	0	0	1	1
3346585	AmandaMaps	2015-10-01	3	2	1	0	3	2
1783960	Amandamac	2013-10-01	4	4	3	0	4	4
2325700	AminoFactory	2014-09-01	2	1	1	0	3	1
612278	AnandTiwari	2012-02-01	0	1	0	0	1	1
31231	Andre68	2009-03-01	7	0	1	0	8	0
31231	Andre68	2009-04-01	1	0	0	0	1	0
31231	Andre68	2009-08-01	2	0	0	0	2	0
12818	Andreas Kloeckner	2015-01-01	1	1	0	0	1	1
592819	Andrew Fish	2012-01-01	0	0	0	0	1	0
592819	Andrew Fish	2012-02-01	238	207	107	0	238	207
592819	Andrew Fish	2012-03-01	2	0	0	0	3	0
592819	Andrew Fish	2012-12-01	447	405	432	0	447	405
592819	Andrew Fish	2013-12-01	1107	1013	1074	0	1107	1013
592819	Andrew Fish	2014-07-01	1	0	0	0	1	0
592819	Andrew Fish	2015-09-01	262	244	261	0	262	244
2273373	Andrew Harger	2014-08-01	3	2	2	0	4	2
214969	AndrewBuck	2011-11-01	9	0	6	0	9	0
371121	AndrewSnow	2013-11-01	420	233	410	0	420	233
371121	AndrewSnow	2013-12-01	558	291	529	0	558	291
371121	AndrewSnow	2015-10-01	1	1	1	0	2	1
371121	AndrewSnow	2015-11-01	12	3	11	0	12	3
487449	Animebando	2011-08-01	7	2	5	0	7	2
530029	Ant-man	2011-09-01	4	4	3	0	4	4
700503	Anthony771	2013-06-01	134	134	93	0	134	134
1813219	Anthonyloc1	2013-11-01	3	3	1	0	3	3
2645288	ApexofHumanity	2015-02-01	15	3	13	0	15	3
25510	Apo42	2009-08-01	0	0	0	0	1	0
459441	Apoxol	2012-04-01	320	97	303	0	320	97
423291	Aquin	2012-12-01	25	3	15	0	25	3
423291	Aquin	2013-03-01	720	716	715	0	720	716
2588762	ArcWhalen	2015-02-01	1	1	0	0	1	1
3151775	Ardric	2015-08-01	959	385	953	0	959	385
431389	Ards Man	2012-01-01	0	0	0	0	17	17
431389	Ards Man	2012-02-01	16	17	3	0	0	0
579545	Aury88	2015-09-01	3	0	2	0	3	0
684243	AutumnAR	2012-05-01	16	14	13	0	16	14
2576555	B in Chi	2015-01-01	18	11	14	0	18	11
605077	BBultema	2012-02-01	1	1	0	0	1	1
322785	BCNorwich	2012-11-01	42	34	41	0	42	34
322785	BCNorwich	2012-12-01	8	2	7	0	9	2
408202	BFX	2012-10-01	2	2	0	0	2	2
408202	BFX	2012-11-01	15	0	14	0	15	0
2015958	BGFA	2014-04-01	0	1	0	0	1	1
2008530	BNKATO	2014-03-01	64	65	27	0	65	65
2875984	BProkopowicz	2015-04-01	1	1	0	0	1	1
588533	Bakerboy448	2013-02-01	5	0	4	0	5	0
1898778	Bakunzi	2014-01-01	1	1	0	0	1	1
108421	Bazturd	2009-03-01	424	0	15	0	425	0
