uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
491706	-James-	2014-04-01	9	2	0	0	10	2
234874	-raul	2012-01-01	0	0	0	0	1	0
1599582	0_0	2013-08-01	81	75	74	0	81	75
1599582	0_0	2014-12-01	1	0	0	0	1	0
160331	0x21h	2009-08-01	60	37	25	1	61	37
261173	12rus	2011-03-01	2	1	1	0	3	1
1789429	130ph11ofps	2013-11-01	2	1	0	0	3	1
1789429	130ph11ofps	2013-12-01	80	54	21	0	80	54
1789429	130ph11ofps	2014-01-01	2	3	0	0	3	3
1789429	130ph11ofps	2014-03-01	3	3	2	0	3	3
1789429	130ph11ofps	2014-04-01	387	388	387	0	388	388
1789429	130ph11ofps	2014-05-01	51	50	43	0	51	50
2162593	1Vlad	2014-07-01	1	1	1	0	2	1
401970	200metrov	2011-12-01	12702	12180	12517	0	12702	12180
138953	2V Software	2009-08-01	1	1	0	0	2	1
138953	2V Software	2011-05-01	182	182	180	5	182	182
815710	2dew2	2012-08-01	6	4	0	0	6	4
1531492	3aev7gqarazdqxx4	2013-06-01	197	191	106	0	197	191
1235528	3rb	2013-02-01	8	7	5	0	8	7
1791693	4-sezona hotel	2013-10-01	52	30	24	0	52	30
1791693	4-sezona hotel	2013-12-01	6	6	1	0	7	6
333206	4ell	2010-08-01	27	5	5	0	28	5
697156	4ndrew	2012-09-01	5	6	0	0	6	6
1772211	4rch	2014-03-01	415	391	409	0	415	391
1772211	4rch	2014-04-01	0	0	0	0	1	0
1772211	4rch	2014-11-01	1	0	0	0	1	0
447092	512but	2011-04-01	1	1	0	0	1	1
447092	512but	2011-05-01	1758	1720	383	0	1758	1720
449473	777Sasa	2011-05-01	7	5	6	0	7	5
1740660	9Alexey3	2013-09-01	2342	2343	1629	0	2343	2343
1740660	9Alexey3	2013-10-01	762	762	748	0	762	762
2456158	ADSS-IT	2014-11-01	5	5	4	0	5	5
204562	AHTOH	2014-03-01	2165	2146	2138	64	2165	2146
1949527	ALEX3734	2014-03-01	0	0	0	0	1	0
133332	AMDmi3	2010-09-01	2	2	1	2	2	2
133332	AMDmi3	2011-04-01	15505	14759	13484	10	15505	14759
133332	AMDmi3	2011-05-01	9474	9095	6782	1	9475	9095
133332	AMDmi3	2011-06-01	0	0	0	0	1	0
133332	AMDmi3	2011-07-01	1375	1054	1016	1	1375	1054
133332	AMDmi3	2011-11-01	615	599	607	0	615	599
133332	AMDmi3	2012-04-01	2	2	1	0	3	2
133332	AMDmi3	2013-06-01	6331	4539	6074	2	6331	4539
