uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
697156	4ndrew	2012-10-01	205	170	175	0	205	170
1772211	4rch	2014-09-01	112	94	111	0	112	94
21323	AE35	2013-03-01	37	34	20	0	37	34
21323	AE35	2013-04-01	1	0	0	0	2	0
2151332	AVEdrvr	2015-01-01	1139	1137	1137	7	1139	1137
1537081	Abyss Dive Center	2013-06-01	5	5	4	3	5	5
177229	Af8aRt05	2009-11-01	4	0	4	0	5	0
229931	Agios T	2010-02-01	146	39	48	0	147	39
229931	Agios T	2010-03-01	1	0	0	0	1	0
57086	Agnieszka Chwalibogowska	2008-08-01	7	7	5	0	7	7
57086	Agnieszka Chwalibogowska	2008-09-01	5517	4969	3771	4	5518	4969
57086	Agnieszka Chwalibogowska	2008-10-01	2324	782	947	0	2325	782
57086	Agnieszka Chwalibogowska	2009-01-01	8506	1357	1846	0	8506	1357
57086	Agnieszka Chwalibogowska	2010-01-01	2	2	1	0	2	2
57086	Agnieszka Chwalibogowska	2010-02-01	1854	1769	1494	7	1854	1769
57086	Agnieszka Chwalibogowska	2010-04-01	1	0	0	0	1	0
14235	AiNikolas	2007-12-01	4	0	0	0	4	0
1816570	Albert82	2013-11-01	38	38	37	0	38	38
1198236	Alex_Bond	2014-01-01	17	12	15	0	17	12
1407470	Alexander78	2014-04-01	120	117	112	0	120	117
1819230	Alexis Loizou	2013-11-01	1	1	0	0	1	1
2368621	Alionay	2014-09-01	1	1	0	0	1	1
155593	Alkis	2009-08-01	34	24	0	0	35	24
589349	Alphadraw	2012-01-01	443	56	168	0	443	56
589349	Alphadraw	2012-03-01	25	20	8	0	26	20
589349	Alphadraw	2012-07-01	94	74	84	0	94	74
589349	Alphadraw	2012-08-01	20	7	15	0	20	7
589349	Alphadraw	2012-10-01	51	24	46	0	52	24
589349	Alphadraw	2013-08-01	4	0	3	0	4	0
656379	Altay95	2012-04-01	81	31	21	0	82	31
619494	Alya Restaurant	2012-03-01	10	10	8	0	11	10
1016290	Amaroussi	2014-04-01	179	136	177	0	179	136
1016290	Amaroussi	2014-08-01	0	0	0	0	1	0
888456	AmbiWeb	2012-09-01	0	0	0	0	1	0
287186	Ampeli	2012-05-01	11	6	2	0	12	6
119970	Amun78	2009-04-01	0	1	0	0	1	1
