uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
42429	42429	2010-05-01	643	169	305	0	643	169
672776	Abah	2012-05-01	4	4	3	0	4	4
597179	AlkalIn	2013-01-01	38	20	36	2	38	20
597179	AlkalIn	2013-02-01	740	421	687	1	740	421
597179	AlkalIn	2013-05-01	531	185	446	0	531	185
1281635	Atangana Jacques Landry	2014-03-01	45	45	44	0	45	45
651869	Aurimas Fišeras	2014-05-01	33	1	27	0	33	1
5330	Coastlines-RJB	2007-01-01	115	115	112	9	115	115
150478	Coyau	2013-06-01	41	40	36	0	41	40
111410	Dave Stanley	2013-01-01	9	6	6	0	9	6
111410	Dave Stanley	2013-05-01	23	13	22	0	23	13
525302	Diana94	2011-09-01	51	52	24	0	52	52
2675	Eckhart Wörner	2014-12-01	44	0	43	0	44	0
1242882	Franck_Camidus	2013-02-01	28	2	25	0	28	2
503712	Frank Gyselinck	2012-12-01	0	1	0	0	1	1
507276	FuckOSMFandODbL	2012-07-01	18	3	7	0	18	3
1399	Gagravarr	2007-03-01	0	1	0	1	1	1
1366199	GeoCameroun	2013-09-01	44	28	40	2	44	28
1961093	Gildas_Clmnt	2014-03-01	94	89	92	0	94	89
459945	Greg Henderson	2011-06-01	1	1	0	0	1	1
86289	Gustry	2013-07-01	169	169	156	4	169	169
67862	HolgerJeromin	2010-12-01	451	434	317	5	452	434
67862	HolgerJeromin	2011-01-01	1023	484	624	10	1024	484
67862	HolgerJeromin	2011-02-01	750	571	487	1	751	571
67862	HolgerJeromin	2011-05-01	56	50	18	0	57	50
67862	HolgerJeromin	2012-01-01	64	14	48	0	64	14
67862	HolgerJeromin	2012-11-01	0	0	0	0	1	0
1758931	Jack Pham	2013-10-01	2	2	1	0	2	2
1832883	Jake Strine	2014-08-01	1	0	0	0	1	0
114310	Joe E	2014-04-01	109	94	106	0	109	94
2087362	Joseph OLINGA	2014-05-01	0	0	0	0	1	0
179778	JulienBalas	2014-07-01	77	0	0	0	78	0
229	LA2	2007-04-01	0	1	0	1	1	1
1707236	Leonard Kouoh	2013-08-01	32	32	31	0	32	32
1076672	Lutino	2012-11-01	104	104	103	0	104	104
2424360	MATAGNE	2014-10-01	4	4	3	0	4	4
2424360	MATAGNE	2014-11-01	127	77	126	0	127	77
2232316	Marcelj3	2014-08-01	42	31	38	0	42	31
1101237	Marta Pucciarelli	2012-12-01	8	6	6	0	9	6
308	MichaelCollinson	2008-11-01	1	0	0	0	1	0
2232045	Muller28	2014-08-01	13	13	12	0	13	13
293980	Numeris plus	2010-05-01	1	0	0	0	1	0
722137	OSMF Redaction Account	2012-07-01	1	0	0	0	1	0
1841076	Offtaps	2013-12-01	2	2	1	0	2	2
28378	PHerison	2011-01-01	288	117	171	0	289	117
223763	Patrick Bous	2014-08-01	24	0	23	0	24	0
13832	Peter14	2013-12-01	21	2	17	0	21	2
13832	Peter14	2014-01-01	21	1	20	0	21	1
13832	Peter14	2014-05-01	5	0	4	0	5	0
74861	Pierre TOUZARD	2011-06-01	7	4	6	0	7	4
74861	Pierre TOUZARD	2013-02-01	3	3	2	1	3	3
1999311	R GUILBERT	2014-03-01	2	1	1	0	3	1
453695	RR81	2012-07-01	1038	818	822	0	1039	818
24207	RatZillaS	2012-02-01	38	21	30	0	38	21
475877	RoadGeek_MD99	2012-10-01	10	3	9	0	10	3
510836	Rub21	2014-07-01	0	1	0	0	1	1
302972	SOGEFI	2014-01-01	13	9	10	0	13	9
302972	SOGEFI	2014-04-01	33	33	32	0	33	33
302972	SOGEFI	2014-06-01	118	92	112	3	118	92
302972	SOGEFI	2014-07-01	4	0	1	0	4	0
302972	SOGEFI	2014-08-01	2341072	2340814	2340781	6	2341072	2340814
302972	SOGEFI	2014-09-01	533535	532809	533480	3	533535	532809
302972	SOGEFI	2014-10-01	605	474	604	0	605	474
302972	SOGEFI	2014-11-01	96	53	95	2	96	53
1985829	Sergeo14	2014-03-01	7	7	6	0	7	7
64578	Serpens	2014-04-01	1	0	0	0	2	0
64578	Serpens	2014-12-01	1	0	0	0	1	0
64578	Serpens	2015-01-01	1	0	0	0	1	0
10927	Skywave	2008-01-01	0	0	0	0	1	0
90245	Trizek	2014-05-01	27	27	26	0	27	27
681674	africanway	2013-11-01	0	1	0	0	1	1
875682	allo35	2013-02-01	1	1	0	0	1	1
28145	amillar	2009-06-01	2	2	0	1	3	2
94578	andygol	2014-12-01	1	0	0	0	1	0
13203	bahnpirat	2011-04-01	35	30	34	0	35	30
152074	beweta	2013-08-01	1	0	0	0	1	0
218888	christal	2010-08-01	24	1	1	0	25	1
218888	christal	2010-09-01	1515	224	285	1	1516	224
218888	christal	2010-10-01	31	8	13	0	32	8
1722458	claude wolf	2013-08-01	1	1	0	0	1	1
1690797	dikoumearchimede	2013-07-01	4	4	3	0	4	4
577046	doual'art	2011-12-01	1	1	0	0	1	1
577046	doual'art	2012-01-01	1	1	0	0	1	1
464523	doualart	2011-06-01	23	7	10	0	23	7
464523	doualart	2012-03-01	2	1	1	0	2	1
836598	ekoulemaneng	2012-08-01	1	1	0	0	1	1
580057	forge24	2012-01-01	159	28	132	0	159	28
327038	gilcdmba	2010-08-01	1	2	1	0	2	2
498613	iopensa	2014-07-01	261	259	259	0	261	259
2068922	ivission	2014-05-01	2	1	1	0	3	1
29586	jean vaillant	2013-03-01	4	3	1	0	4	3
29586	jean vaillant	2013-11-01	8	7	0	0	8	7
17497	katpatuka	2009-01-01	44	40	35	19	44	40
17497	katpatuka	2010-09-01	111	21	53	0	112	21
5278	kleptog	2008-01-01	21	19	8	15	21	19
570551	kr12	2013-03-01	781	450	656	0	781	450
427182	makongo	2011-03-01	12	11	3	0	12	11
7079	mapwitch	2011-11-01	11	10	10	0	11	10
7079	mapwitch	2012-01-01	121	112	114	2	121	112
7079	mapwitch	2012-11-01	2	2	1	1	2	2
338611	marek kleciak	2013-03-01	276	205	261	0	276	205
99386	masti	2013-04-01	1	0	0	0	1	0
2303930	mathurin	2014-09-01	19020	19020	19012	2	19020	19020
84853	mdp553	2010-01-01	153	153	152	3	153	153
17422	meppen7	2013-02-01	2	2	1	0	3	2
17422	meppen7	2013-03-01	39	21	22	0	40	21
148771	muetho	2009-07-01	1	1	0	0	1	1
148771	muetho	2010-10-01	5	5	4	0	5	5
779232	myscode	2013-01-01	0	0	0	0	1	0
581213	mzve	2012-01-01	399	290	379	16	399	290
22714	nhoffm	2008-04-01	154	153	153	37	154	153
2110809	nolfj	2014-06-01	41	41	39	0	41	41
53891	nubarron	2013-03-01	1	0	0	0	1	0
53891	nubarron	2013-04-01	10	11	4	0	11	11
519501	parukhin	2011-09-01	2	0	1	0	3	0
50912	philmas	2010-05-01	18485	18485	11639	206	18485	18485
50912	philmas	2010-06-01	1	1	0	0	1	1
