uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
224170	---------	2010-01-01	1	0	0	0	1	0
16315	-jha-	2010-01-01	1538	715	822	0	1538	715
16315	-jha-	2013-02-01	33	32	32	0	33	32
55782	0123456789	2010-01-01	1	1	0	0	1	1
224300	02389402348	2010-01-01	0	0	0	0	1	0
238598	15_the_circle	2010-02-01	17	0	15	0	18	0
223612	15slou	2010-01-01	222	162	174	25	222	162
224154	22yves22	2010-01-01	14	0	13	0	14	0
37392	25or6to4	2010-01-01	147	145	145	0	147	145
57054	26eb5473101d742b174d730717409668	2010-01-01	2122	752	1312	26	2123	752
223639	29C	2010-01-01	99	97	78	0	99	97
1772211	4rch	2014-01-01	776	626	744	1	776	626
1772211	4rch	2014-02-01	12	12	11	4	12	12
1772211	4rch	2014-03-01	175	42	174	2	175	42
1772211	4rch	2014-04-01	357	296	356	4	357	296
1772211	4rch	2014-09-01	106	92	99	0	106	92
1772211	4rch	2014-12-01	381	381	380	15	381	381
1853529	4rchImport	2014-01-01	145	145	144	21	145	145
715371	715371	2013-10-01	2093	1940	2085	0	2093	1940
2562784	92hertz	2015-01-01	1	1	0	0	1	1
21323	AE35	2013-11-01	14	14	13	0	14	14
1811953	AETNG	2013-11-01	17	5	16	0	17	5
223002	AJRuk	2010-01-01	341	317	303	17	341	317
441065	ALCE Samuel Paul	2011-04-01	5	6	0	0	6	6
441065	ALCE Samuel Paul	2011-07-01	339	181	93	0	339	181
441065	ALCE Samuel Paul	2011-08-01	1024	891	636	0	1025	891
441065	ALCE Samuel Paul	2011-09-01	247	52	142	0	247	52
441065	ALCE Samuel Paul	2011-10-01	270	38	77	0	271	38
441065	ALCE Samuel Paul	2011-11-01	924	758	673	0	925	758
441065	ALCE Samuel Paul	2011-12-01	129	53	51	1	129	53
441065	ALCE Samuel Paul	2012-01-01	3316	685	115	0	3317	685
441065	ALCE Samuel Paul	2012-02-01	4029	2002	1990	0	4030	2002
441065	ALCE Samuel Paul	2012-03-01	3652	1792	1854	0	3653	1792
441065	ALCE Samuel Paul	2012-04-01	3686	156	667	0	3686	156
441065	ALCE Samuel Paul	2012-05-01	3188	2639	2195	0	3189	2639
441065	ALCE Samuel Paul	2012-06-01	7410	3107	5270	0	7410	3107
441065	ALCE Samuel Paul	2012-07-01	8113	652	4946	16	8113	652
