uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1390892	3tom	2014-04-01	3	2	1	0	3	2
223866	58zarali	2012-06-01	0	0	0	0	1	0
223866	58zarali	2012-09-01	101	73	94	0	101	73
223866	58zarali	2013-11-01	0	0	0	0	1	0
223866	58zarali	2014-02-01	7	7	6	0	7	7
223866	58zarali	2014-06-01	16	17	13	0	17	17
223866	58zarali	2014-07-01	4	0	3	0	4	0
223866	58zarali	2014-08-01	2	1	1	0	3	1
223866	58zarali	2015-01-01	35	33	35	3	36	33
2015094	@camel__white	2014-05-01	25	25	23	0	25	25
275851	AAS	2013-12-01	5	1	4	0	5	1
21323	AE35	2013-04-01	0	0	0	0	1	0
546730	AEmrah	2011-10-01	2	2	0	0	2	2
546730	AEmrah	2011-11-01	6	5	5	0	7	5
1704826	AHMT	2013-08-01	0	1	0	0	1	1
423868	AK-tr	2011-03-01	3	3	0	0	3	3
423868	AK-tr	2011-08-01	19	19	4	0	20	19
798931	AKIN idil	2012-09-01	4	4	3	0	4	4
1253108	ALADDIN111	2013-06-01	3158	2363	2940	0	3158	2363
1253108	ALADDIN111	2013-07-01	7676	5658	7418	0	7677	5658
213561	ARSLAN OZGUR ISTANBULLUOGLU	2010-01-01	0	0	0	0	1	0
481890	AYDER	2011-07-01	11	5	4	0	11	5
481890	AYDER	2011-08-01	142	73	56	0	143	73
2016709	Abuska	2014-05-01	451	451	445	0	451	451
1801160	Adem Yılmaz	2013-11-01	1	1	0	0	1	1
1733626	Administration	2013-09-01	1	1	0	0	1	1
2088105	Ahmed Alparslan Özdemir	2014-06-01	4	4	4	0	5	4
553244	Ahmed Said	2012-07-01	1	1	0	0	1	1
908510	Ahmet Egri	2013-11-01	1	0	0	0	1	0
908510	Ahmet Egri	2014-03-01	1	0	0	0	1	0
2588315	Ahmet Ergen	2015-01-01	1	0	0	0	1	0
2050760	Ahmet YUKSEKYOL	2014-04-01	1	1	1	0	2	1
870622	Ahmet Özen	2012-09-01	2	2	1	0	2	2
2153438	AhmetIhsan	2014-06-01	1	1	0	0	1	1
800787	AhmetZ	2012-08-01	1	1	0	0	1	1
802578	Akm975	2012-08-01	5	5	4	0	5	5
853804	Aksuvital	2012-09-01	8	8	7	0	8	8
582373	Akyelist	2012-10-01	2	1	0	0	3	1
1292347	Alavudeen	2013-04-01	1960	1954	1896	0	1960	1954
209460	AlexZolotarev	2014-05-01	2	2	1	0	2	2
709355	Alexander Stukalski	2014-03-01	66	66	65	0	66	66
2365227	Ali Hakkı	2014-10-01	42	38	40	0	42	38
2365227	Ali Hakkı	2014-11-01	103	89	92	0	103	89
2365227	Ali Hakkı	2014-12-01	10	9	8	0	10	9
2134575	Ali Kemal DEMİRCİ	2014-06-01	5	5	4	0	5	5
812254	Ali Veli	2012-08-01	3	4	2	0	4	4
2015076	Ali Yıldız	2014-04-01	16	16	15	0	16	16
2015076	Ali Yıldız	2014-05-01	961	958	955	0	961	958
2435002	Ali İlhami ÖZTAN	2014-10-01	2	2	1	0	2	2
2103606	AlmilaEk	2014-06-01	24	20	19	0	24	20
1268939	Alp Öztarhan	2013-03-01	17	3	3	0	18	3
1229258	Alpan Karaca	2013-02-01	4	3	2	0	5	3
842832	Alper BULUT	2012-08-01	2	1	1	0	2	1
1914176	Alper Erkman	2014-02-01	4	4	3	0	4	4
925252	Alper Tekinalp	2012-09-01	3	3	1	0	4	3
1893279	Alpertungatr	2014-01-01	2	2	1	0	2	2
806825	Alpervan	2012-08-01	614	40	96	0	615	40
2567627	AlphanB	2015-01-01	41	26	40	0	41	26
540206	Anatolia Suites Sultanahmet	2011-10-01	2	2	1	0	2	2
1869781	AndiG88	2014-07-01	1	0	0	0	1	0
31231	Andre68	2009-08-01	1	0	0	0	1	0
31231	Andre68	2010-09-01	469	0	454	0	469	0
31231	Andre68	2014-01-01	62	0	61	0	62	0
31231	Andre68	2014-08-01	4	4	3	0	4	4
811230	Andrés31	2014-08-01	204	153	203	0	204	153
1500225	Angelito1508	2013-05-01	45	39	38	1	45	39
2016684	Anil BAS	2014-04-01	19	13	18	0	19	13
1298630	Arda Çınar	2013-03-01	1	1	0	0	1	1
1298630	Arda Çınar	2014-08-01	705	662	700	0	705	662
2506691	Arif Ceylan	2014-12-01	9	9	8	0	9	9
1923402	ArmanT13	2014-02-01	8	4	7	0	8	4
2052949	Arzu Erkan Yüce	2014-06-01	109	99	109	0	110	99
2052949	Arzu Erkan Yüce	2014-11-01	17	1	16	0	17	1
1338490	Athropos	2013-04-01	6	5	4	0	6	5
1101917	Atillaby	2012-12-01	27	23	24	0	27	23
1017739	Attl	2012-10-01	4	4	3	0	4	4
316464	Ayan	2010-07-01	72	54	49	0	72	54
316464	Ayan	2010-12-01	137	131	131	0	137	131
316464	Ayan	2011-12-01	26	26	18	0	26	26
2492529	Ayki	2014-11-01	627	480	604	0	627	480
1835484	Ayse duygu	2014-03-01	227	142	191	0	227	142
322785	BCNorwich	2013-11-01	1	1	0	0	1	1
322785	BCNorwich	2015-01-01	53	19	52	0	53	19
1235174	BKalai	2013-04-01	8	2	7	0	8	2
1777516	BO Medya	2013-10-01	39	5	33	0	39	5
1233275	BalaguruD	2013-04-01	624	605	576	0	624	605
16112	Barthwo	2013-10-01	69	16	68	0	69	16
16112	Barthwo	2013-11-01	115	71	110	0	115	71
37109	Baruch	2009-06-01	0	1	0	0	1	1
37109	Baruch	2009-07-01	0	0	0	0	1	0
72235	Basstoelpel	2010-03-01	60	55	53	0	60	55
72235	Basstoelpel	2010-05-01	339	313	308	12	339	313
72235	Basstoelpel	2010-06-01	34	32	32	0	34	32
72235	Basstoelpel	2011-07-01	336	314	249	11	336	314
72235	Basstoelpel	2012-06-01	182	176	52	9	182	176
72235	Basstoelpel	2012-07-01	77	71	20	15	77	71
72235	Basstoelpel	2012-08-01	81	50	66	0	82	50
72235	Basstoelpel	2012-09-01	2459	1695	2244	7	2459	1695
72235	Basstoelpel	2012-10-01	440	363	332	0	440	363
72235	Basstoelpel	2013-06-01	60	41	59	0	60	41
72235	Basstoelpel	2014-05-01	12	4	11	0	12	4
72235	Basstoelpel	2014-08-01	123	113	122	0	123	113
127299	Batareikin	2012-11-01	389	137	314	0	389	137
127299	Batareikin	2012-12-01	696	197	446	0	696	197
49118	Bauer1966	2011-06-01	5	4	4	0	5	4
4792	Baumi	2009-07-01	25	15	4	0	26	15
1435248	Baykal ZORLU	2013-05-01	3	2	1	0	3	2
706678	Bcembaykara	2012-06-01	179	177	110	0	180	177
706678	Bcembaykara	2014-03-01	8	7	6	0	8	7
706678	Bcembaykara	2014-04-01	7	6	2	0	8	6
1712665	Be-23	2014-09-01	1	1	0	0	1	1
715048	BenMcIntyre	2012-07-01	1	1	0	0	1	1
1211674	Beril	2013-01-01	22	18	16	0	22	18
1329779	BerkA99	2013-04-01	1	1	0	0	1	1
11797	Bernt	2009-02-01	4	5	0	0	5	5
11797	Bernt	2009-03-01	5	5	3	0	5	5
3516	BiIbo	2009-02-01	3	0	1	0	3	0
2090739	BicyclePathsIstanbul	2014-05-01	153	148	152	0	153	148
329453	Biff	2014-01-01	1	0	0	0	1	0
554086	Bilal1984	2011-11-01	41	41	40	0	41	41
2276119	Birhan	2014-08-01	10	6	5	0	10	6
1912414	Birtan	2014-01-01	28	17	27	0	0	0
1912414	Birtan	2014-02-01	0	0	0	0	28	17
1912414	Birtan	2014-12-01	14	9	9	0	15	9
1256673	Bixicola	2013-03-01	2	2	1	0	2	2
246938	Boogier	2010-03-01	140	96	61	1	141	96
593959	Bozkurt	2012-01-01	0	1	0	0	1	1
59223	Briquollo	2011-02-01	1	1	0	0	1	1
242896	Bronco351	2012-02-01	862	744	635	3	863	744
242896	Bronco351	2012-03-01	852	754	636	5	853	754
242896	Bronco351	2012-04-01	2284	2188	1597	10	2284	2188
242896	Bronco351	2012-05-01	3115	2965	2641	5	3116	2965
242896	Bronco351	2012-06-01	795	783	588	2	795	783
242896	Bronco351	2012-07-01	157	129	128	4	157	129
242896	Bronco351	2012-08-01	83	79	68	0	83	79
242896	Bronco351	2012-10-01	488	470	383	0	489	470
242896	Bronco351	2013-05-01	1	1	0	0	1	1
1960024	BuganiniQ	2014-05-01	6	0	3	0	7	0
1723573	Bugra06	2014-01-01	23	7	12	0	23	7
1723573	Bugra06	2014-07-01	402	49	277	0	402	49
1723573	Bugra06	2014-08-01	63	1	25	0	64	1
552432	BurakReis	2011-11-01	23	23	22	0	23	23
1772553	Burhanettin	2013-10-01	1	0	0	0	1	0
1865198	Buğra	2014-01-01	77	20	54	0	78	20
233042	CJY	2010-09-01	25	0	15	0	25	0
340741	CRCulver	2010-11-01	13	13	11	0	13	13
340741	CRCulver	2012-12-01	2	2	1	0	2	2
179267	Cagdas Tulek	2009-09-01	19	0	4	0	20	0
6313	Cagri	2007-04-01	11249	11250	3697	623	11250	11250
6313	Cagri	2007-05-01	814	814	473	30	814	814
6313	Cagri	2007-07-01	248	248	108	2	248	248
2552460	CakirSedat	2015-01-01	544	516	529	11	544	516
1817225	Can Ayder	2013-11-01	21	11	20	0	21	11
501504	Can Evrensel	2011-08-01	1	1	1	0	2	1
1851506	CanBoz	2013-12-01	148	113	104	0	148	113
800810	CanSengun	2012-08-01	33	32	31	0	33	32
1210347	Canmutu	2013-01-01	0	1	0	0	1	1
525401	CarHo	2014-01-01	1	1	0	0	1	1
1413853	Carsten_FfM	2013-11-01	34	34	33	0	34	34
673837	Cassioandro	2012-05-01	5	5	4	0	5	5
673837	Cassioandro	2014-12-01	194	125	183	0	194	125
2494074	Cem EREN	2014-11-01	3	3	2	0	3	3
1765859	Cem Sultan	2013-10-01	2	2	0	0	2	2
619488	Cengiz	2012-03-01	9	5	5	0	9	5
619488	Cengiz	2013-01-01	81	73	76	0	82	73
619488	Cengiz	2013-02-01	34	23	10	0	35	23
619488	Cengiz	2014-02-01	20	21	0	0	21	21
619488	Cengiz	2014-03-01	40	19	39	0	40	19
609753	Chad Lawlis	2012-03-01	3110	2796	2937	0	3111	2796
215190	Charanpolarl	2012-03-01	306	297	193	3	306	297
215190	Charanpolarl	2012-04-01	357	320	265	5	357	320
215190	Charanpolarl	2012-05-01	167	158	135	0	167	158
215190	Charanpolarl	2012-08-01	112	112	94	5	112	112
215190	Charanpolarl	2013-02-01	52	47	51	0	52	47
215190	Charanpolarl	2013-03-01	101	93	80	0	101	93
215190	Charanpolarl	2013-06-01	343	317	226	0	344	317
215190	Charanpolarl	2013-07-01	671	623	593	0	671	623
215190	Charanpolarl	2013-08-01	203	157	146	1	204	157
215190	Charanpolarl	2013-09-01	117	79	80	0	117	79
215190	Charanpolarl	2013-10-01	245	202	200	0	245	202
215190	Charanpolarl	2013-11-01	159	129	148	0	159	129
1939231	Charles Outters	2014-03-01	4	4	3	0	4	4
1900963	Chilout Hostel & Cafe	2014-01-01	2	2	1	0	2	2
875957	Chnuzun	2012-09-01	32	10	15	0	33	10
1125344	Chosens	2012-12-01	6	0	4	0	6	0
306172	Chouloute	2013-09-01	1	1	0	0	1	1
120664	Chris Clemson	2012-09-01	223	210	152	0	224	210
1383062	Chris Filip	2013-09-01	39	0	35	0	39	0
485074	Chrysopras	2013-06-01	1	0	0	0	1	0
13194	Chumwa	2012-10-01	221	126	208	0	221	126
13194	Chumwa	2013-09-01	151	81	150	0	151	81
150368	Cicerone	2009-08-01	176	151	160	0	177	151
150368	Cicerone	2009-09-01	173	129	139	0	173	129
150368	Cicerone	2009-12-01	22	0	13	0	22	0
150368	Cicerone	2010-03-01	166	104	126	0	166	104
150368	Cicerone	2010-04-01	153	151	111	0	154	151
150368	Cicerone	2010-06-01	33	33	26	0	33	33
150368	Cicerone	2010-09-01	24202	23930	18650	0	24202	23930
150368	Cicerone	2010-10-01	6058	5972	5143	0	6058	5972
150368	Cicerone	2010-11-01	7509	7455	5734	5	7510	7455
150368	Cicerone	2010-12-01	15520	15222	12196	1	15520	15222
150368	Cicerone	2011-01-01	22643	22344	18139	8	22122	21823
150368	Cicerone	2011-02-01	10715	10616	8359	1	11237	11137
860187	Cihan Kuş	2012-09-01	1	1	0	0	1	1
907849	Cihangir UZUN	2012-09-01	2	2	1	0	2	2
907849	Cihangir UZUN	2013-01-01	26	26	25	0	26	26
1883015	Cktn	2014-01-01	21	20	20	0	21	20
1941204	Ckurdoglu	2014-02-01	8	8	6	0	8	8
1941204	Ckurdoglu	2014-05-01	4	4	3	0	4	4
1941204	Ckurdoglu	2014-12-01	2	2	1	0	2	2
18069	Claudius Henrichs	2009-09-01	537	361	221	1	538	361
18069	Claudius Henrichs	2010-09-01	52	38	50	0	52	38
18069	Claudius Henrichs	2010-10-01	156	33	71	0	157	33
18069	Claudius Henrichs	2010-11-01	0	0	0	0	1	0
18069	Claudius Henrichs	2010-12-01	20	20	19	0	20	20
18069	Claudius Henrichs	2011-01-01	11	4	8	0	11	4
905470	CliffL	2012-09-01	77	51	48	0	77	51
371154	Compact Production	2010-11-01	2	1	1	0	2	1
8538	ConfusedFish	2007-06-01	9	9	4	1	9	9
1994137	ConwayJ18	2014-03-01	1	1	0	0	1	1
28052	CvR	2008-03-01	0	0	0	0	1	0
22138	CyFo	2008-02-01	42	42	40	0	42	42
239546	DF45	2010-03-01	15	15	2	0	16	15
44139	DJBadBoy	2014-10-01	54	39	47	0	55	39
312413	DRW	2013-03-01	32	27	30	0	32	27
512248	Dadash	2011-08-01	10	10	8	0	10	10
1797152	Damien82	2013-11-01	4	3	3	0	4	3
609760	Dan Wood	2012-03-01	1672	1622	1378	0	1673	1622
483666	DanJSY	2014-03-01	73	57	72	0	73	57
71261	David Paleino	2010-08-01	14	14	10	12	14	14
249283	Davidgogishvili	2011-08-01	10	11	3	0	11	11
114499	Death Knight	2009-04-01	1605	0	1012	0	1605	0
2251564	Defter Sepeti	2014-08-01	1	1	0	0	2	1
408220	Denis des Clayes	2013-01-01	113	109	112	0	113	109
408220	Denis des Clayes	2013-02-01	588	535	573	36	588	535
408220	Denis des Clayes	2013-03-01	216	206	212	4	216	206
408220	Denis des Clayes	2013-04-01	70	66	69	2	70	66
408220	Denis des Clayes	2013-09-01	178	166	177	0	178	166
1506246	DerPetzi	2014-02-01	42	42	41	0	42	42
