uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1025819	06Ivonne	2012-11-01	19	19	18	0	19	19
2538500	21Dirham	2014-12-01	5664	3550	5130	0	5664	3550
2538500	21Dirham	2015-01-01	1118	694	1024	0	1118	694
913483	51face	2012-09-01	0	1	0	0	1	1
686074	@aurizasalim	2013-07-01	1480	1333	1266	0	1480	1333
2222790	AMYunus	2014-07-01	9	9	8	0	9	9
2050916	AOOSP	2014-04-01	30	30	29	0	30	30
459638	APS2201	2011-05-01	2	2	2	0	3	2
459638	APS2201	2011-07-01	19	12	10	0	20	12
2340285	Aan Agustin	2014-09-01	8	8	7	0	8	8
2519331	Abhirama17	2014-12-01	21	21	20	0	21	21
1830404	Ac Anwar	2013-12-01	5	5	4	0	5	5
617246	Adhitya Dido	2012-03-01	179	179	156	0	179	179
617230	Adi Maulana	2012-03-01	428	395	422	0	428	395
617230	Adi Maulana	2014-09-01	4	4	3	0	4	4
617230	Adi Maulana	2014-11-01	2389	1861	2164	0	2389	1861
617230	Adi Maulana	2014-12-01	2893	2268	2750	0	2893	2268
775733	Adi Prasetya	2012-08-01	0	0	0	0	1	0
2343231	Aditya Kresna	2014-09-01	4	4	3	0	4	4
455164	Adityo	2011-05-01	21	20	5	0	21	20
455164	Adityo	2012-07-01	797	780	477	0	797	780
455164	Adityo	2012-09-01	641	631	629	0	642	631
455164	Adityo	2012-11-01	14	11	10	0	14	11
455164	Adityo	2013-03-01	124	65	114	0	124	65
455164	Adityo	2013-04-01	1188	405	1156	0	1188	405
455164	Adityo	2013-09-01	207	84	186	0	207	84
455164	Adityo	2013-10-01	574	434	546	0	574	434
455164	Adityo	2013-11-01	7	0	4	0	8	0
455164	Adityo	2014-02-01	4	4	3	0	4	4
455164	Adityo	2014-04-01	4	4	2	0	4	4
455164	Adityo	2014-05-01	1818	1793	1813	0	1818	1793
455164	Adityo	2014-08-01	175	171	105	0	176	171
455164	Adityo	2014-09-01	2421	621	2385	0	2421	621
455164	Adityo	2014-10-01	42	0	29	0	42	0
455164	Adityo	2014-11-01	3	3	1	0	3	3
455164	Adityo	2015-01-01	10	10	9	0	10	10
1223440	Ady M	2013-02-01	2	1	1	0	2	1
1830419	Agung Wibowo	2013-12-01	26	15	19	0	26	15
1738397	Akbar Gumbira	2013-09-01	8	8	8	0	9	8
1959998	Akbarecht	2014-03-01	16	16	15	0	16	16
1794697	AlBanna	2013-11-01	123	103	121	0	123	103
1794697	AlBanna	2014-10-01	2	0	1	0	2	0
3095	Alan	2014-04-01	4	4	3	0	4	4
85218	Aleks-Berlin	2014-10-01	0	0	0	0	1	0
497977	Alex Graves	2011-07-01	9	9	7	0	9	9
538459	Alex Rollin	2012-03-01	3	0	0	0	0	0
538459	Alex Rollin	2012-04-01	171	162	110	1	176	162
538459	Alex Rollin	2012-05-01	175	110	135	3	176	110
538459	Alex Rollin	2012-06-01	5067	4795	4498	60	5068	4795
538459	Alex Rollin	2012-10-01	1697	1625	1653	0	1697	1625
538459	Alex Rollin	2012-11-01	331	224	329	0	331	224
538459	Alex Rollin	2013-01-01	5971	5665	5864	0	5972	5665
538459	Alex Rollin	2013-02-01	3146	2875	3022	0	3146	2875
538459	Alex Rollin	2013-04-01	185	146	184	0	185	146
538459	Alex Rollin	2013-07-01	270	5	269	0	270	5
