uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1071026	1Palgi	2012-11-01	1	1	1	0	2	1
1872841	1gorok	2014-09-01	0	0	0	0	1	0
3486573	27bird	2015-12-01	1	1	0	0	1	1
831133	324shmuel	2012-08-01	5	6	0	0	6	6
42429	42429	2015-02-01	1	0	0	0	1	0
266143	4X1EG	2012-05-01	36	32	11	0	36	32
1420318	4b696d	2015-11-01	1	0	0	0	1	0
1772211	4rch	2014-08-01	10063	9533	9890	0	10063	9533
1772211	4rch	2015-03-01	42	0	41	0	42	0
1772211	4rch	2015-04-01	165	0	164	0	165	0
72264	51114u9	2014-08-01	132	76	125	0	132	76
2271384	608-01	2014-08-01	3	0	1	0	4	0
622764	7nov	2012-03-01	0	1	0	0	1	1
622764	7nov	2012-12-01	2	1	0	0	2	1
349296	8Ton	2010-09-01	6	5	3	0	7	5
426180	@dL	2011-03-01	12	12	2	0	12	12
426180	@dL	2011-04-01	76	76	32	0	76	76
426180	@dL	2011-06-01	61	62	21	0	62	62
1800769	@eldang	2014-08-01	282	276	278	0	282	276
883016	@kevin_bullock	2014-08-01	3	4	0	0	4	4
67008	A'mer Rabayah	2008-09-01	4	0	0	0	5	0
67008	A'mer Rabayah	2011-01-01	30	1	3	0	31	1
1731946	A452	2013-09-01	1150	857	883	0	1151	857
1731946	A452	2013-10-01	504	364	428	0	504	364
1731946	A452	2014-04-01	46	46	45	0	46	46
1731946	A452	2014-07-01	0	1	0	0	1	1
1731946	A452	2014-09-01	43	19	42	0	43	19
1731946	A452	2014-10-01	14	13	13	0	14	13
1731946	A452	2015-06-01	170	67	156	0	170	67
21323	AE35	2013-03-01	4	4	3	0	4	4
21323	AE35	2013-04-01	4	0	0	0	5	0
21323	AE35	2013-11-01	3	2	1	0	3	2
3501590	AHa972	2016-01-01	3	2	2	0	3	2
3209371	ALQemma Systems	2015-09-01	11	3	2	0	11	3
3209371	ALQemma Systems	2015-10-01	3	0	1	0	4	0
1603641	ASDCVI	2013-07-01	16	3	1	0	17	3
2083801	ASSAFMB	2014-05-01	10	9	8	0	11	9
2083801	ASSAFMB	2015-06-01	12	11	11	0	12	11
2083801	ASSAFMB	2015-07-01	14	9	13	0	14	9
287860	ATGardner	2011-01-01	4512	4510	4266	9	4513	4510
287860	ATGardner	2015-07-01	1	0	0	0	1	0
53073	Aaron Lidman	2014-10-01	25	0	24	0	25	0
1403755	AaronFisher	2013-04-01	27	27	21	0	28	27
1403755	AaronFisher	2013-05-01	13	12	7	0	13	12
1781546	Abbe98	2014-10-01	16	1	15	0	16	1
2018230	Abdallah Manasrah	2014-04-01	0	1	0	0	1	1
2018230	Abdallah Manasrah	2015-01-01	3	0	1	0	3	0
2018230	Abdallah Manasrah	2015-02-01	0	0	0	0	1	0
218924	Abdelbaset Rabaiah	2010-01-01	1	0	0	0	1	0
568805	Abe26	2011-12-01	143	77	41	0	144	77
1746202	Abed Almonem Fatafta	2013-09-01	2	1	0	0	3	1
3430746	Abo hamza	2015-12-01	15	9	14	0	15	9
1431552	Abolbol	2013-05-01	91	60	47	0	92	60
1431552	Abolbol	2013-06-01	11	12	4	0	12	12
1431552	Abolbol	2013-07-01	22	23	11	0	23	23
1431552	Abolbol	2013-08-01	12	12	7	0	12	12
1431552	Abolbol	2013-09-01	47	40	8	0	48	40
1431552	Abolbol	2013-10-01	4	4	3	0	4	4
1431552	Abolbol	2013-12-01	3	0	0	0	4	0
1431552	Abolbol	2014-01-01	9	9	0	0	9	9
1431552	Abolbol	2014-02-01	3	4	0	0	4	4
1431552	Abolbol	2014-05-01	19	20	0	0	20	20
1431552	Abolbol	2015-02-01	20	0	0	0	21	0
1431552	Abolbol	2015-03-01	8	8	7	0	8	8
