uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
2433338	-Christoph-	2015-04-01	2862	2826	2529	4	2862	2826
2873152	0109	2015-04-01	0	0	0	0	1	0
2881438	048	2015-05-01	209	209	190	0	209	209
2323075	13scoter	2015-05-01	135	124	101	0	136	124
2866340	14riesma	2015-04-01	103	103	102	0	103	103
2880720	14rkarls	2015-04-01	55	55	54	0	0	0
2880720	14rkarls	2015-05-01	0	0	0	0	55	55
2898906	19alimk	2015-05-01	81	81	80	0	81	81
2889538	2015cfelicia	2015-05-01	35	36	0	0	36	36
2889542	2015rarens	2015-05-01	72	65	68	0	72	65
831625	2121vijay(Adyota)	2012-08-01	1061	336	763	0	1062	336
831625	2121vijay(Adyota)	2012-09-01	334	332	165	0	334	332
831625	2121vijay(Adyota)	2012-10-01	38	37	28	0	38	37
2890265	24367dfa	2015-05-01	457	263	355	0	457	263
2880938	402315	2015-05-01	87	87	58	0	87	87
42429	42429	2010-06-01	189	190	21	7	190	190
2877849	448	2015-04-01	490	475	449	0	490	475
1420318	4b696d	2015-04-01	8	8	7	0	8	8
3271908	4nova	2015-09-01	15	13	14	0	15	13
3271908	4nova	2015-10-01	17	12	16	0	17	12
1772211	4rch	2014-02-01	1	0	0	0	1	0
1772211	4rch	2015-02-01	295	290	275	0	295	290
1772211	4rch	2015-04-01	2559	1629	2194	4	2559	1629
1772211	4rch	2015-05-01	146	74	145	0	146	74
2909633	69AD	2015-06-01	20680	16431	20020	0	20680	16431
686439	85East	2014-09-01	4	2	3	0	4	2
686439	85East	2014-11-01	18	18	17	0	18	18
667324	85° East	2012-04-01	36	33	3	0	37	33
1708628	9porcupine	2015-04-01	1648	1603	1450	0	1648	1603
2868793	@dave	2015-04-01	15	15	11	0	15	15
883016	@kevin_bullock	2015-04-01	72	72	70	0	72	72
2660275	@mdp	2015-05-01	171	167	153	0	172	167
2868883	@mpt	2015-04-01	115	110	74	0	116	110
2897892	A Gewali	2015-05-01	122	111	101	0	123	111
2883152	AClayman	2015-05-01	0	0	0	0	1	0
21323	AE35	2013-03-01	17	18	2	0	18	18
2883435	AJ Farkas	2015-05-01	1189	1181	1137	0	1189	1181
2869574	AKBTanner	2015-04-01	198	198	196	0	0	0
2869574	AKBTanner	2015-05-01	0	0	0	0	198	198
1586794	AKE Amazan	2015-05-01	756	476	314	0	757	476
2884070	ARCK9Kathy	2015-05-01	81	81	78	0	82	81
1296740	ARM85	2013-03-01	398	369	289	0	398	369
2518299	ARS panta	2014-12-01	22	22	22	0	23	22
2869834	ARudy	2015-04-01	699	699	507	0	699	699
2864009	ASLI SABUNCU	2015-04-01	49	49	44	0	49	49
1539973	ATNP	2014-02-01	5	5	4	0	5	5
1539973	ATNP	2014-03-01	37	26	22	0	38	26
1539973	ATNP	2014-04-01	38	33	22	0	39	33
1539973	ATNP	2014-05-01	9	9	8	0	9	9
1539973	ATNP	2014-11-01	8	8	7	0	8	8
1539973	ATNP	2015-01-01	5	5	4	0	5	5
1539973	ATNP	2016-01-01	2	2	1	0	2	2
1784030	A_Calculated_Risk	2013-11-01	1177	1158	922	0	1177	1158
496781	Aabishkar Shrestha	2011-07-01	165	149	52	0	165	149
2273472	Aadeethakuri	2014-08-01	20	20	18	0	20	20
2898911	AakritiC	2015-05-01	6	0	4	0	6	0
53073	Aaron Lidman	2015-04-01	1	0	0	0	1	0
2094388	AaronDreamer	2015-05-01	71	69	6	0	71	69
2896353	Aashish Bhattarai	2015-05-01	18	18	17	0	18	18
816793	Aashish Tripathee (Adyota)	2012-08-01	177	134	105	0	169	127
816793	Aashish Tripathee (Adyota)	2012-09-01	1700	1097	1074	0	1710	1104
816793	Aashish Tripathee (Adyota)	2012-10-01	881	655	536	0	882	655
816793	Aashish Tripathee (Adyota)	2012-12-01	80	61	39	0	80	61
720212	Aashishregmi	2012-07-01	724	425	341	0	725	425
831437	Aayoushma	2012-09-01	2	3	0	0	3	3
3255834	Aayurveda	2015-09-01	1	1	0	0	1	1
1781546	Abbe98	2015-04-01	71	32	50	0	71	32
1781546	Abbe98	2015-05-01	28	24	18	0	29	24
2871594	Abby N	2015-04-01	86	86	22	0	86	86
1208279	Abhash	2013-01-01	22	19	13	0	22	19
1208279	Abhash	2013-02-01	48	48	31	0	48	48
2873649	Abhinavdwa	2015-04-01	7	4	4	0	8	4
2878393	Abhiram Saran	2015-04-01	29	28	28	0	29	28
1909861	Abhishek Dutta	2014-01-01	1	1	0	0	1	1
498325	Abhishek Singh	2011-07-01	25	13	1	0	26	13
498325	Abhishek Singh	2011-08-01	289	289	106	0	290	289
498325	Abhishek Singh	2012-04-01	57	43	27	0	57	43
2750423	Abhushan Timsina	2015-03-01	10	10	7	0	11	10
2323565	Abinash09	2014-09-01	442	411	409	0	442	411
1293051	Abiral	2013-03-01	0	1	0	0	1	1
1510811	Acharya	2013-06-01	0	1	0	0	1	1
2888035	Aching	2015-05-01	2761	2652	2335	0	2761	2652
3349604	Ad_OSM Contributor	2015-10-01	237	230	234	0	237	230
3349604	Ad_OSM Contributor	2015-11-01	111	110	108	0	111	110
4410	Adam Boardman	2008-03-01	92	90	6	4	93	90
2878486	Adeola137	2015-04-01	291	277	248	0	291	277
1230680	Aditya Lepcha	2013-02-01	1	1	0	0	1	1
2903166	Adriene Russell	2015-05-01	45	45	40	0	45	45
2009014	Agatefilm	2015-04-01	5459	5338	5073	0	5459	5338
2803704	Agatha Jetra	2015-05-01	164	164	163	0	164	164
239936	Agile Eye	2010-03-01	2377	1854	737	4	2378	1854
239936	Agile Eye	2010-08-01	5	3	1	0	6	3
239936	Agile Eye	2010-12-01	2	0	0	0	3	0
239936	Agile Eye	2011-01-01	2041	1958	571	4	2042	1958
239936	Agile Eye	2011-05-01	478	13	57	0	479	13
239936	Agile Eye	2012-11-01	0	0	0	0	1	0
239936	Agile Eye	2013-10-01	40	4	12	0	40	4
239936	Agile Eye	2013-11-01	816	75	597	0	816	75
239936	Agile Eye	2014-03-01	6	3	3	0	6	3
239936	Agile Eye	2014-06-01	92	26	68	0	92	26
81285	Ahlzen	2015-05-01	1752	1697	1091	0	1752	1697
2882027	Ahmed Naeem	2015-05-01	73	73	72	0	73	73
2797248	AhmedSDN	2015-04-01	267	248	243	0	267	248
2876512	Aidan Magee	2015-04-01	20	20	19	0	0	0
2876512	Aidan Magee	2015-05-01	1000	990	593	0	1020	1010
2875976	AimoInUSA	2015-04-01	30	14	28	0	30	14
1995994	Aimé BOUKPESSI	2015-05-01	1357	804	1055	0	1357	804
75514	Ainali	2015-04-01	854	836	503	0	854	836
2878589	Ajay Shrestha	2015-04-01	22	22	21	0	22	22
2910031	Akarsha	2015-05-01	4	4	3	0	4	4
2323562	Akash Mainali	2014-09-01	58	52	56	0	58	52
1739231	Akerr100	2013-11-01	1336	1287	1220	0	1336	1287
414035	Akimasa	2014-12-01	7	3	5	0	7	3
414035	Akimasa	2015-04-01	776	777	730	3	777	777
414035	Akimasa	2015-11-01	9	4	7	0	9	4
527910	Al-Hun	2015-04-01	316	293	103	0	316	293
443130	Alan Bragg	2015-04-01	131	104	130	0	132	104
443130	Alan Bragg	2015-05-01	5535	4016	5335	0	5536	4016
2870456	Alan-Stone	2015-04-01	592	592	512	0	592	592
2383780	Alane Konan	2015-05-01	4	4	3	0	4	4
416845	Alechamizo	2015-05-01	158	145	110	0	159	145
85218	Aleks-Berlin	2012-02-01	23	4	5	0	23	4
85218	Aleks-Berlin	2012-12-01	64	64	33	1	65	64
85218	Aleks-Berlin	2015-04-01	72	0	71	0	73	0
85218	Aleks-Berlin	2015-06-01	0	0	0	0	1	0
2879108	Alex_88	2015-04-01	1559	1040	1496	0	1559	1040
2879108	Alex_88	2015-05-01	2181	524	2078	0	2182	524
