uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1915075	228bail	2014-02-01	1	1	0	0	1	1
37392	25or6to4	2010-02-01	13	5	7	0	14	5
37392	25or6to4	2015-10-01	569	521	567	1	569	521
42429	42429	2009-03-01	44	0	12	0	44	0
42429	42429	2010-01-01	55	55	0	0	56	55
1420318	4b696d	2015-11-01	3	2	2	0	3	2
82317	AM909	2011-11-01	193	104	175	0	193	104
82317	AM909	2012-02-01	9	4	1	0	10	4
838709	AMY-jin	2012-12-01	137	94	103	0	138	94
73822	ATB	2013-01-01	22	22	21	0	22	22
53073	Aaron Lidman	2013-06-01	531	472	515	0	531	472
53073	Aaron Lidman	2013-07-01	1	0	0	0	1	0
2060085	Affordable RV	2014-05-01	12	7	6	0	12	7
81285	Ahlzen	2012-10-01	26	7	23	0	26	7
85218	Aleks-Berlin	2010-06-01	8	6	1	0	9	6
85218	Aleks-Berlin	2016-01-01	0	0	0	0	1	0
3481606	Alex De Castroverde	2015-12-01	2	2	2	0	3	2
1889546	Alexander HealthCare Center	2014-01-01	1	1	0	0	1	1
3232835	Alexhats	2015-11-01	66	54	65	0	66	54
1740968	Alicehrh	2013-09-01	1	1	0	0	1	1
31231	Andre68	2015-03-01	197	40	191	0	289	67
31231	Andre68	2015-04-01	92	27	91	0	0	0
1833008	Andrew Webb	2013-12-01	8	8	7	0	8	8
4115	Andy Allan	2009-01-01	722	184	190	0	723	184
4115	Andy Allan	2009-04-01	163	87	65	0	164	87
202283	Andy9FromSpace	2015-01-01	1	1	0	0	1	1
2905139	AndyGSE	2015-12-01	74	74	73	0	74	74
218114	ArizonaMapper	2016-01-01	79	79	78	0	79	79
2893288	Art Cowles	2015-05-01	1	0	0	0	1	0
274546	AskCDE	2010-04-01	0	0	0	0	1	0
4553	Autarch	2012-03-01	25	25	24	0	25	25
1065954	AwkwardMoment	2012-11-01	39	37	36	0	39	37
322785	BCNorwich	2012-11-01	0	0	0	0	1	0
322785	BCNorwich	2012-12-01	16	4	7	0	16	4
408202	BFX	2012-10-01	2	2	1	0	2	2
2296126	Backstage Dance Studio	2014-09-01	1	1	0	0	1	1
583709	BattleBorn	2012-01-01	102	102	84	0	102	102
1733583	Be Located Online	2013-09-01	0	1	0	0	1	1
14390	BeKri	2014-04-01	3	0	2	0	3	0
2834560	Benmachine	2015-04-01	6	6	5	0	6	6
3516	BiIbo	2009-02-01	31	0	20	0	32	0
1952662	Blargh2015	2014-02-01	32	26	27	0	32	26
1836471	Blobo123	2015-01-01	16	12	11	0	16	12
500034	BoT	2011-12-01	1	1	0	0	1	1
85673	Bored	2014-04-01	60	54	55	0	60	54
85673	Bored	2014-05-01	77	49	73	0	77	49
346456	Brainik	2014-09-01	1	1	0	0	1	1
346456	Brainik	2014-10-01	0	1	0	0	1	1
2530185	Brandon Reavis	2016-01-01	25	23	24	0	25	23
27736	Brenden	2008-02-01	788	0	123	0	789	0
27736	Brenden	2008-09-01	631	0	25	0	632	0
27736	Brenden	2014-04-01	135	124	123	0	135	124
27736	Brenden	2014-05-01	102	80	101	0	102	80
416346	Brian@Brea	2011-09-01	297	255	219	0	297	255
416346	Brian@Brea	2013-05-01	119	108	117	0	119	108
416346	Brian@Brea	2013-07-01	1	0	0	0	1	0
59223	Briquollo	2010-11-01	0	1	0	0	1	1
2678730	BrockW	2015-02-01	2	2	1	0	2	2
355242	Bryce C Nesbitt	2013-06-01	3	3	2	0	4	3
355242	Bryce C Nesbitt	2016-01-01	12	5	11	0	12	5
166129	BugBuster	2009-09-01	28	0	28	0	29	0
2287200	Buraddo	2014-08-01	2	0	1	0	2	0
28923	California Bear	2009-03-01	55	46	46	2	56	46
28923	California Bear	2009-11-01	117	45	56	0	118	45
28923	California Bear	2012-01-01	465	373	299	0	466	373
28923	California Bear	2015-05-01	420	265	409	0	420	265
28923	California Bear	2015-06-01	2481	1968	2470	0	2481	1968
28923	California Bear	2015-07-01	6	0	5	0	6	0
46166	CalliBrown	2012-11-01	10	1	8	0	10	1
1132286	Cam4rd98	2013-04-01	27	28	1	0	28	28
1881466	Carl J Pankowski	2014-01-01	2	0	0	0	2	0
54759	Carl Simonson	2012-11-01	3	0	2	0	3	0
111707	Carmen Sandiego	2009-03-01	25	24	24	0	25	24
1163952	Cart of Graphs	2013-05-01	11	11	10	0	11	11
504834	Cassio90	2012-11-01	2	0	1	0	2	0
1679807	Cato_d_Ae	2014-03-01	2	2	1	0	2	2
1679807	Cato_d_Ae	2014-04-01	6	1	5	0	6	1
1679807	Cato_d_Ae	2014-05-01	4	3	3	0	4	3
1679807	Cato_d_Ae	2014-06-01	9	4	7	0	9	4
30554	ChadH	2012-11-01	4	0	0	0	5	0
1005916	Charles Murray	2014-04-01	41	41	40	0	41	41
160148	Charles_Smothers	2015-04-01	49	20	48	0	49	20
2644101	Chetan_Gowda	2015-06-01	51	48	50	0	51	48
2644101	Chetan_Gowda	2015-08-01	20	19	18	0	20	19
194231	Chris Bell in California	2010-09-01	689	472	558	17	689	472
194231	Chris Bell in California	2010-10-01	283	279	227	0	283	279
194231	Chris Bell in California	2010-12-01	209	142	199	1	209	142
36121	Chris Lawrence	2012-09-01	11	2	8	0	11	2
51722	Chris Parker	2013-02-01	1	0	0	0	1	0
1376118	ChrisZontine	2014-02-01	3	0	2	0	3	0
1376118	ChrisZontine	2014-03-01	3	0	1	0	3	0
1376118	ChrisZontine	2015-01-01	1	1	0	0	1	1
251543	ChrissW-R1	2015-12-01	2	0	1	0	2	0
47978	Christoph Lotz	2014-08-01	108	104	107	0	108	104
3083046	CletusC	2015-07-01	6	4	5	0	6	4
172061	CloCkWeRX	2014-05-01	4	3	3	0	4	3
119881	Clorox	2012-08-01	31	23	30	0	32	23
3499434	CommandP	2016-01-01	7	5	6	0	7	5
1233790	Concord Hospitality	2013-02-01	1	1	0	0	1	1
527535	Constable	2014-01-01	7	6	4	0	7	6
527535	Constable	2014-03-01	12	12	11	0	12	12
527535	Constable	2014-04-01	103	87	89	0	103	87
655995	Cyborean	2012-04-01	3	1	1	0	4	1
161951	DLichti	2012-12-01	497	497	317	0	498	497
161951	DLichti	2014-05-01	2	1	1	0	2	1
1820104	Dafmaster	2013-11-01	0	0	0	0	1	0
1820104	Dafmaster	2013-12-01	0	0	0	0	1	0
2012449	Dami_Tn	2014-04-01	20	5	13	0	20	5
2012449	Dami_Tn	2014-05-01	12	8	11	0	12	8
2012449	Dami_Tn	2014-07-01	41	0	35	0	41	0
2012449	Dami_Tn	2014-10-01	48	4	45	0	48	4
2012449	Dami_Tn	2015-06-01	110	62	104	0	110	62
160138	DanHomerick	2014-08-01	9	0	7	0	9	0
160138	DanHomerick	2014-09-01	22	4	21	0	22	4
301095	Daniel Neel	2012-11-01	0	0	0	0	1	0
1898970	DannyHamilton	2014-01-01	31	4	30	0	31	4
2677308	DarthDuke	2015-02-01	1	1	0	0	1	1
7168	DaveHansenTiger	2007-11-01	110447	110448	2970	1448	110448	110448
26818	David & Christine Schmitt	2013-01-01	2	0	1	0	2	0
2729711	Deaf007	2015-03-01	4	1	3	0	4	1
32952	DennisL	2012-09-01	1	1	0	0	1	1
32952	DennisL	2012-11-01	11	0	11	0	12	0
32952	DennisL	2014-12-01	26	19	13	0	26	19
37137	Derick Rethans	2012-10-01	0	1	0	0	1	1
37137	Derick Rethans	2012-11-01	3	4	0	0	4	4
119818	Devin Samarin	2009-07-01	18	16	0	0	19	16
119818	Devin Samarin	2012-11-01	8	8	5	0	9	8
119818	Devin Samarin	2015-04-01	4	3	3	0	4	3
1246856	Dewayne Burns	2013-03-01	1	1	0	0	1	1
36038	DialH	2009-01-01	139	63	20	0	139	63
2475974	Dilys	2015-12-01	7	7	6	2	7	7
1195282	Dinsin	2013-01-01	1	1	0	0	1	1
1198074	DoubleA	2014-01-01	18	18	18	0	19	18
292665	Dr Kludge	2012-11-01	1	1	0	0	1	1
292665	Dr Kludge	2013-06-01	0	0	0	0	1	0
292665	Dr Kludge	2015-10-01	9	6	8	0	9	6
328268	DrHog	2010-08-01	103	95	75	1	104	95
328268	DrHog	2011-12-01	1	1	0	0	1	1
1713159	DrPancholi	2013-08-01	1	1	0	0	1	1
1983121	DrStile	2014-03-01	7	7	5	0	7	7
305115	Dusty	2010-06-01	421	322	201	1	421	322
613013	Dylan Simpson	2012-02-01	0	0	0	0	16	16
613013	Dylan Simpson	2012-03-01	15	16	11	0	0	0
278489	ETO Buff	2010-04-01	23	9	9	0	23	9
103107	EdHillsman	2014-03-01	22	22	21	0	22	22
364	Edward	2009-01-01	9	10	0	0	10	10
1140407	Edwardous	2013-05-01	2	3	1	0	3	3
830543	Elder Woodard	2012-08-01	1	1	0	0	1	1
3377236	Embassy Suites by Hilton Convention Center Las Vegas	2015-12-01	1	0	0	0	1	0
3158	Eric Fischer	2013-08-01	98	90	97	0	98	90
3158	Eric Fischer	2015-01-01	112	109	111	0	112	109
3158	Eric Fischer	2015-08-01	3	0	2	0	3	0
575547	Eric Godwin	2014-07-01	11	6	10	0	11	6
575547	Eric Godwin	2014-08-01	15	0	14	0	15	0
46220	Ethan O'Connor	2011-12-01	8	8	7	1	8	8
451067	Evanator	2014-06-01	6	5	5	0	6	5
1860615	Eveofwar	2013-12-01	6	4	5	0	7	4
398883	FIM	2012-10-01	5	2	2	0	6	2
344561	FahRadler	2012-04-01	40	39	39	0	41	39
416860	Filip Kłębczyk	2011-04-01	0	1	0	0	1	1
416860	Filip Kłębczyk	2011-07-01	1	0	0	0	1	0
1462211	Fishermr	2013-05-01	2	2	1	0	2	2
53273	Fluxify	2008-07-01	45	0	1	0	46	0
1647828	Fortune Hotel & Suites	2013-07-01	1	1	0	0	1	1
2046746	Frank Van Dyke	2014-04-01	0	1	0	0	1	1
161619	FvGordon	2012-10-01	51	14	46	0	51	14
161619	FvGordon	2014-12-01	121	36	113	0	121	36
161619	FvGordon	2015-04-01	13	7	11	0	13	7
2253841	GISNV	2014-08-01	1	1	0	0	1	1
1399	Gagravarr	2007-03-01	0	1	0	1	1	1
278150	GeoTomDe	2010-07-01	40	40	39	0	40	40
2703224	Geo_MA	2015-02-01	119	120	27	0	120	120
2703224	Geo_MA	2015-03-01	2786	2685	2785	0	2786	2685
51045	Geogast	2010-02-01	334	0	234	0	334	0
447277	Gerlingen	2011-05-01	3219	2967	2749	0	3219	2967
546213	Gerlingen94	2011-10-01	290	241	247	0	290	241
546213	Gerlingen94	2011-12-01	626	588	457	0	626	588
546213	Gerlingen94	2012-03-01	652	598	595	0	652	598
546213	Gerlingen94	2012-09-01	630	612	572	0	631	612
546213	Gerlingen94	2013-02-01	665	641	655	0	665	641
1633223	Gessler	2013-07-01	8	8	7	0	8	8
1633223	Gessler	2013-08-01	2	2	1	0	2	2
403282	GisManiac	2013-09-01	14	15	1	0	15	15
447903	Glassman	2012-11-01	3	3	2	0	3	3
6513	Glen	2013-03-01	0	0	0	0	231	193
6513	Glen	2013-04-01	6238	5384	6174	0	6007	5191
6513	Glen	2013-05-01	387	341	383	0	387	341
520239	Gutsycat	2015-10-01	7	0	6	0	7	0
392101	HCWT	2011-01-01	62	53	56	0	63	53
2755647	HHilton	2015-03-01	1	0	0	0	1	0
2440748	Hair By Jacki	2014-11-01	9	4	4	0	10	4
1611	Harry Wood	2008-11-01	19	10	2	1	20	10
1611	Harry Wood	2011-06-01	0	0	0	0	104	103
1611	Harry Wood	2011-07-01	103	103	103	0	0	0
50118	Hawkeye	2012-10-01	16	11	11	0	16	11
339917	Hedaja	2012-11-01	1	0	0	0	1	0
644252	Henry702	2012-03-01	6	6	2	0	8	8
644252	Henry702	2012-04-01	2	2	1	0	0	0
1680091	Heyheyitshay	2013-08-01	46	47	41	0	47	47
1680091	Heyheyitshay	2013-11-01	55	55	54	0	55	55
1680091	Heyheyitshay	2014-09-01	163	163	162	0	163	163
207581	Hjart	2014-03-01	17	2	16	0	17	2
67862	HolgerJeromin	2011-08-01	71	36	54	0	71	36
67862	HolgerJeromin	2012-11-01	4	4	3	0	4	4
67862	HolgerJeromin	2014-01-01	1	0	0	0	1	0
3152286	Hubii	2015-08-01	1	0	0	0	1	0
580469	Hundehalter	2012-11-01	17	0	16	0	17	0
1874594	Infinite Wholesale	2014-01-01	1	1	0	0	1	1
703517	Iowa Kid	2014-04-01	0	1	0	0	1	1
703517	Iowa Kid	2014-05-01	1	2	1	0	2	2
703517	Iowa Kid	2014-06-01	2	0	1	0	2	0
703517	Iowa Kid	2015-11-01	172	95	138	0	172	95
2277040	Islanit2	2014-08-01	0	0	0	0	1	0
395974	Isolde	2011-01-01	2	2	1	0	2	2
558778	JB82	2013-03-01	4	4	3	0	4	4
558778	JB82	2014-05-01	17	14	10	0	18	14
604646	JDaniels	2012-02-01	1	1	0	0	1	1
324047	J_W	2010-08-01	8	0	7	0	8	0
741163	JaLooNz	2012-09-01	307	202	262	0	307	202
2555308	Jack J Jia	2015-01-01	2	2	2	0	3	2
587790	JaggedMind	2012-07-01	3	0	2	0	3	0
49738	JaimeReyes	2008-12-01	30	0	5	0	31	0
100736	Jason2	2009-05-01	10	0	0	0	11	0
23351	JasonWoof	2012-12-01	14	8	6	0	14	8
656864	Jean Bully	2013-03-01	4	2	4	0	5	2
125318	Jens Remus	2014-06-01	4	2	3	0	4	2
1219839	Jgre	2013-02-01	31	21	20	0	32	21
317481	JimBinLV	2010-07-01	119	114	54	7	119	114
3263143	John Keezer	2015-09-01	1	1	0	0	1	1
1964404	John Van Zandt	2014-03-01	6	6	5	0	6	6
460313	JohnIreland	2011-05-01	7	0	0	0	8	0
74617	JohnSmith	2010-06-01	14	0	4	0	15	0
