uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
25720	!i!	2012-11-01	133	133	129	0	133	133
1129128	-G-	2012-12-01	1	1	0	0	1	1
410071	0331	2011-02-01	55	52	45	0	55	52
410071	0331	2011-07-01	52	26	49	0	52	26
170672	1248	2010-02-01	1	0	0	0	1	0
1680743	17hertz	2013-07-01	4	4	3	0	4	4
1869537	1gn1710n	2014-01-01	28	13	24	0	28	13
37392	25or6to4	2009-07-01	42	27	27	0	43	27
37392	25or6to4	2009-11-01	1	1	0	0	1	1
37392	25or6to4	2010-02-01	1	2	0	0	2	2
37392	25or6to4	2012-09-01	30	20	22	0	31	20
37392	25or6to4	2014-06-01	17	3	13	0	17	3
37392	25or6to4	2014-07-01	3	0	2	0	3	0
1963258	30degrees	2014-03-01	2	2	1	0	2	2
100901	3rdGenBruin	2009-04-01	81	0	15	0	82	0
632378	3yoda	2014-08-01	1411	1377	1382	0	1411	1377
42429	42429	2008-11-01	3	1	1	0	4	1
42429	42429	2009-10-01	2	3	0	0	3	3
42429	42429	2010-05-01	5	3	1	0	6	3
42429	42429	2011-10-01	15	0	0	0	16	0
42429	42429	2011-11-01	1	0	0	0	2	0
745841	503Greg	2012-10-01	16	7	11	0	17	7
1865358	5623user98238	2014-01-01	2	1	1	0	3	1
2355917	56kDialup2010	2014-09-01	1	1	0	0	1	1
2391934	7161	2014-10-01	6	6	5	0	6	6
2298886	77HUB	2014-08-01	1	1	0	0	1	1
699554	7dhd	2012-06-01	30	15	24	0	30	15
1796744	95llopez17	2013-11-01	1	1	0	0	1	1
1735688	>LAND	2014-07-01	76	51	72	0	76	51
21323	AE35	2012-11-01	0	0	0	0	1	0
21323	AE35	2013-04-01	1	0	0	0	1	0
236938	AI6PG	2010-02-01	1	2	1	0	2	2
236938	AI6PG	2010-05-01	0	0	0	0	1	0
236938	AI6PG	2011-10-01	11	11	9	0	11	11
236938	AI6PG	2012-05-01	105	104	93	0	106	104
236938	AI6PG	2012-09-01	46	43	43	0	46	43
2061894	AJRalhambra	2014-05-01	10	3	7	0	10	3
2503012	AJ_LA	2014-12-01	169	167	168	0	169	167
656396	AKJo	2013-06-01	199	71	175	0	199	71
82317	AM909	2009-05-01	4520	1913	1491	0	4521	1913
82317	AM909	2009-06-01	5161	3386	2885	4	5162	3386
82317	AM909	2009-07-01	26182	6216	6736	0	26284	6293
82317	AM909	2009-08-01	11590	8546	8570	1	11773	8723
82317	AM909	2009-09-01	25954	17566	15881	8	25672	17312
82317	AM909	2009-10-01	18158	11407	11606	6	18158	11407
82317	AM909	2009-11-01	10396	5940	6820	0	10640	6032
82317	AM909	2009-12-01	21984	12116	14166	0	21976	12205
82317	AM909	2010-01-01	19439	10483	15351	26	19628	10472
82317	AM909	2010-02-01	18116	10062	14637	0	17694	9892
82317	AM909	2010-03-01	14163	5316	8973	0	14163	5316
82317	AM909	2010-04-01	6595	4266	5560	0	6596	4266
82317	AM909	2010-05-01	13777	9070	11570	6	14151	9317
82317	AM909	2010-06-01	4104	2085	3269	0	3731	1838
82317	AM909	2010-07-01	10190	6398	8715	9	10190	6398
82317	AM909	2010-08-01	30205	15840	26806	0	30205	15840
82317	AM909	2010-09-01	13792	6730	11765	2	13792	6730
82317	AM909	2010-10-01	1357	817	1079	0	1358	817
82317	AM909	2010-11-01	5058	2087	4235	0	5059	2087
82317	AM909	2010-12-01	2857	1713	2136	0	2857	1713
82317	AM909	2011-01-01	16309	10228	14914	0	16309	10228
82317	AM909	2011-02-01	16408	10388	14674	0	16409	10388
82317	AM909	2011-03-01	5578	3125	5122	0	5578	3125
82317	AM909	2011-06-01	5	0	4	0	5	0
82317	AM909	2011-08-01	256	158	240	0	256	158
82317	AM909	2011-10-01	2500	2004	2272	0	2500	2004
82317	AM909	2011-11-01	1207	594	1040	0	1207	594
82317	AM909	2011-12-01	1310	902	1177	0	1310	902
82317	AM909	2012-01-01	4773	3489	4556	0	4805	3503
82317	AM909	2012-02-01	537	435	520	1	506	421
82317	AM909	2012-03-01	0	0	0	0	79	41
82317	AM909	2012-04-01	1932	1115	1794	0	1853	1074
82317	AM909	2012-05-01	8492	4724	6984	1	8492	4724
82317	AM909	2012-06-01	1115	673	887	0	1116	673
82317	AM909	2012-07-01	2421	2135	2386	0	2422	2135
1867471	AMPM Car Rentals	2014-01-01	2	2	1	0	2	2
838709	AMY-jin	2012-10-01	254	154	209	0	255	154
838709	AMY-jin	2012-11-01	2	1	1	0	2	1
838709	AMY-jin	2012-12-01	63	16	54	0	64	16
1211748	ASBrenner	2013-01-01	6	5	5	0	7	5
2356296	Aaaron16	2014-09-01	4	4	3	0	4	4
53073	Aaron Lidman	2008-07-01	1090	1015	429	0	1091	1015
53073	Aaron Lidman	2012-03-01	2683	2553	2239	0	2683	2553
53073	Aaron Lidman	2012-04-01	4841	3675	3902	0	4842	3675
53073	Aaron Lidman	2012-05-01	6343	4283	5138	0	6343	4283
53073	Aaron Lidman	2012-06-01	4435	3352	4024	0	4542	3459
53073	Aaron Lidman	2012-07-01	14996	10003	12504	0	14890	9896
53073	Aaron Lidman	2012-08-01	3458	2333	2905	1	3458	2333
53073	Aaron Lidman	2012-09-01	2718	2166	2459	0	2718	2166
53073	Aaron Lidman	2012-10-01	22562	14809	20479	0	23026	15098
53073	Aaron Lidman	2012-11-01	7526	4852	7019	0	7062	4563
53073	Aaron Lidman	2012-12-01	9586	7976	9051	1	9586	7976
53073	Aaron Lidman	2013-02-01	2723	2272	2535	0	3344	2837
53073	Aaron Lidman	2013-03-01	13281	10518	12719	0	13665	10772
53073	Aaron Lidman	2013-04-01	14901	11266	14295	0	13896	10447
53073	Aaron Lidman	2013-05-01	9048	6248	8710	0	9048	6248
