uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
55782	0123456789	2009-12-01	4	4	4	0	5	4
55782	0123456789	2010-08-01	21	18	12	0	21	18
55782	0123456789	2010-09-01	10	11	8	0	11	11
55782	0123456789	2010-11-01	2	0	1	0	2	0
55782	0123456789	2012-04-01	24	19	20	0	25	19
1706673	02f603653	2013-10-01	1	1	0	0	1	1
42429	42429	2011-11-01	1	0	1	0	2	0
715371	715371	2015-11-01	0	0	0	0	1	0
184757	97wrangler	2009-10-01	2	2	1	0	2	2
184757	97wrangler	2012-01-01	486	398	411	0	486	398
184757	97wrangler	2012-02-01	168	122	149	0	169	122
184757	97wrangler	2013-01-01	24	23	21	0	24	23
184757	97wrangler	2013-02-01	6	6	4	0	7	6
184757	97wrangler	2013-03-01	98	93	78	0	99	93
184757	97wrangler	2013-05-01	5	3	4	0	5	3
184757	97wrangler	2013-09-01	1	0	1	0	2	0
184757	97wrangler	2013-11-01	35	35	27	0	36	35
184757	97wrangler	2014-02-01	7	4	4	0	8	4
184757	97wrangler	2014-06-01	1	1	0	0	1	1
1976630	A T R Birkett	2014-03-01	78	76	75	0	78	76
172180	AMB	2013-06-01	1	0	0	0	1	0
1882123	AMWigan	2014-01-01	46	20	35	0	46	20
238520	AMcCann	2010-02-01	37	36	6	0	37	36
238520	AMcCann	2011-10-01	33	33	31	0	33	33
88491	Acehole	2009-02-01	70	38	31	0	70	38
88491	Acehole	2009-03-01	0	0	0	0	1	0
4410	Adam Boardman	2007-08-01	24	25	2	0	25	25
968411	AdamFunk	2015-02-01	0	1	0	0	1	1
1843134	Al Teno	2013-12-01	4	4	0	0	4	4
102218	Alan Fleming	2009-02-01	96	4	14	0	97	4
102218	Alan Fleming	2009-06-01	167	59	62	0	168	59
102218	Alan Fleming	2014-01-01	5	0	2	0	6	0
1694331	Alan Hurdle	2013-08-01	2	3	2	0	3	3
74257	Aldoc	2009-02-01	33	33	26	0	34	33
74257	Aldoc	2009-06-01	178	179	155	0	179	179
85218	Aleks-Berlin	2014-11-01	0	0	0	0	1	0
81314	Alex_L33	2008-11-01	30	3	0	0	31	3
2407769	Alexandra Park Heritage	2014-10-01	0	1	0	0	1	1
21014	Ally76	2012-08-01	1	1	0	0	1	1
709568	AlreadyBeenTaken	2012-06-01	7	7	5	0	7	7
1818794	Altfish	2014-02-01	6	6	6	0	7	6
1016290	Amaroussi	2013-02-01	3	0	0	0	4	0
1016290	Amaroussi	2014-01-01	1	0	0	0	1	0
1016290	Amaroussi	2014-08-01	5	4	4	0	5	4
76301	Anand	2009-06-01	2	2	1	0	3	2
76301	Anand	2010-04-01	1	1	0	0	1	1
31231	Andre68	2009-01-01	3	0	1	0	3	0
3338661	Andreas Jostel	2015-10-01	3	0	2	0	3	0
2111379	Andrew Bonney	2014-06-01	4	4	1	0	4	4
53881	Andrew Dunlop	2012-05-01	20	19	18	0	20	19
53881	Andrew Dunlop	2012-09-01	1	0	0	0	1	0
53881	Andrew Dunlop	2013-01-01	2	0	0	0	3	0
53881	Andrew Dunlop	2013-04-01	159	149	145	0	159	149
53881	Andrew Dunlop	2013-05-01	17	17	13	0	17	17
53881	Andrew Dunlop	2015-03-01	1	0	0	0	1	0
777434	Andrew Holcroft	2012-08-01	6	2	5	0	6	2
777434	Andrew Holcroft	2013-02-01	4	4	3	0	4	4
1723873	Andrew Rose	2013-08-01	14	14	10	0	14	14
1379	AndrewMcCarthy	2015-02-01	12	10	11	0	12	10
670432	Andy Lowry	2012-04-01	11	4	5	0	12	4
529040	Andy P	2011-09-01	18	6	9	0	18	6
1826142	Andy57	2015-03-01	13	12	12	0	13	12
151510	AndyCooll	2009-07-01	1	1	0	0	1	1
151510	AndyCooll	2011-05-01	88	46	45	0	89	46
242798	AnkEric	2012-09-01	34	0	26	0	35	0
63149	AntonyW	2011-09-01	23	21	22	0	23	21
63149	AntonyW	2013-08-01	9	8	8	0	9	8
63149	AntonyW	2013-11-01	5	2	4	0	5	2
355003	Are_we_nearly_there_yet	2010-10-01	8	3	4	0	9	3
244459	Artyomka	2011-07-01	10	0	8	0	11	0
1791529	Asgarth1977	2013-10-01	35	30	34	0	35	30
1791529	Asgarth1977	2013-11-01	514	346	459	0	514	346
613493	AshKay	2012-03-01	7	0	6	0	7	0
179362	Ashimema	2010-01-01	80	49	33	0	80	49
1969477	Asten59	2014-03-01	1	0	0	0	1	0
357346	Azizur	2010-10-01	20	15	2	0	20	15
322785	BCNorwich	2012-04-01	15	8	14	0	15	8
322785	BCNorwich	2012-05-01	2	0	1	0	2	0
322785	BCNorwich	2012-08-01	225	5	222	0	225	5
322785	BCNorwich	2012-09-01	16	0	15	0	16	0
322785	BCNorwich	2012-10-01	1	1	0	0	1	1
322785	BCNorwich	2013-01-01	2	0	1	0	2	0
322785	BCNorwich	2013-06-01	0	1	0	0	1	1
322785	BCNorwich	2013-07-01	3	0	2	0	3	0
322785	BCNorwich	2013-11-01	1	1	0	0	1	1
322785	BCNorwich	2014-03-01	8	2	7	0	8	2
322785	BCNorwich	2014-05-01	17	6	16	0	17	6
322785	BCNorwich	2014-06-01	1	1	0	0	1	1
322785	BCNorwich	2014-07-01	13	0	12	0	13	0
322785	BCNorwich	2014-10-01	9	3	8	0	9	3
322785	BCNorwich	2015-01-01	346	4	341	0	346	4
322785	BCNorwich	2015-03-01	2	0	1	0	2	0
322785	BCNorwich	2015-05-01	1	0	0	0	1	0
322785	BCNorwich	2015-06-01	4	0	3	0	4	0
322785	BCNorwich	2015-07-01	1	1	0	0	1	1
322785	BCNorwich	2015-08-01	23	10	22	0	23	10
322785	BCNorwich	2015-12-01	10	3	9	0	10	3
673026	Backler	2012-05-01	5	5	4	0	6	5
374907	Baggypants	2010-11-01	12	0	1	0	13	0
374907	Baggypants	2013-11-01	2	1	1	0	2	1
2905735	Balthier Lionheart	2015-05-01	1	0	0	0	1	0
141535	Banana Bunch	2011-07-01	9	6	5	0	9	6
72235	Basstoelpel	2012-04-01	7	6	1	0	7	6
210880	BeerOfTheTrip	2010-02-01	5	0	4	0	5	0
210880	BeerOfTheTrip	2010-03-01	21	17	7	0	22	17
210880	BeerOfTheTrip	2011-05-01	8	0	1	0	8	0
210880	BeerOfTheTrip	2012-09-01	0	0	0	0	1	0
256872	Bees	2010-04-01	99	76	41	0	100	76
2274	Ben	2006-05-01	40	41	16	5	41	41
1897948	BenFireCask	2014-01-01	0	0	0	0	1	0
89943	Bengatzer	2011-04-01	0	0	0	0	1	0
89943	Bengatzer	2011-06-01	0	0	0	0	1	0
89943	Bengatzer	2011-11-01	2	0	0	0	2	0
92878	Bernard L	2009-01-01	27	0	15	0	28	0
478876	Bertie Magoo	2011-06-01	1	1	0	0	1	1
