uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
597926	#HELP!T7	2012-03-01	16	14	13	0	17	14
597926	#HELP!T7	2012-06-01	195	180	99	0	195	180
487406	10Jama	2011-07-01	20	6	7	0	20	6
72264	51114u9	2014-09-01	7	5	2	0	7	5
2202395	6U5T4V	2014-07-01	1180	931	943	0	1180	931
2021972	99Percent	2014-04-01	4	3	0	0	4	3
905267	@JCdelValle	2012-09-01	11	10	9	0	11	10
132599	AGuevaraG	2009-06-01	152	0	11	0	153	0
132599	AGuevaraG	2009-08-01	6	0	0	0	7	0
122516	ALeDonne	2013-11-01	5	2	4	0	5	2
82317	AM909	2009-07-01	3	0	1	0	4	0
53073	Aaron Lidman	2012-08-01	3474	3209	3375	1	3474	3209
2191238	Abbendymion	2014-07-01	2377	1326	1709	0	2377	1326
1959666	Abvik	2014-02-01	1	1	0	0	1	1
1707648	Adonay	2013-08-01	6	0	4	0	6	0
1082025	AdrianSolis	2012-11-01	127	115	112	0	128	115
1082025	AdrianSolis	2013-07-01	9	4	7	0	9	4
664487	Adwolfo	2012-04-01	3	4	3	0	4	4
1756480	Aguz22	2013-09-01	3	3	3	0	4	3
26869	Ailatix	2009-01-01	37	38	14	0	38	38
797774	Ainarita	2012-08-01	55	51	54	0	55	51
473104	AlaskaDave	2013-02-01	2	1	1	0	2	1
1945665	AlbaM	2014-02-01	45	37	38	0	46	37
59582	Albert Bihler	2014-08-01	43	42	42	0	43	42
266832	Alcibi	2010-04-01	6	3	5	0	7	3
2376078	AleJim	2014-10-01	14	8	13	0	14	8
1476146	Alecs01	2014-12-01	240	236	239	0	240	236
352914	Alejandra Degollado Garcia	2010-10-01	99	43	76	0	99	43
438353	Alejandro Alex	2011-09-01	30	16	16	0	30	16
716904	Alejandro Gzu	2012-07-01	1	1	0	0	1	1
162382	Alejandro Lobos Kunstmann	2009-08-01	1172	560	418	0	1173	560
162382	Alejandro Lobos Kunstmann	2010-08-01	55	41	23	0	56	41
162382	Alejandro Lobos Kunstmann	2010-09-01	105	82	25	0	106	82
85218	Aleks-Berlin	2014-11-01	5	1	3	1	5	1
797784	Alex Morales	2012-08-01	8	5	4	0	8	5
69441	Alexei	2008-09-01	1	0	0	0	1	0
69441	Alexei	2008-10-01	53	0	0	0	54	0
1792131	Alexmaciasg	2013-10-01	93	92	90	0	93	92
437062	Alexter6277	2011-04-01	184	44	120	0	184	44
2178006	Alfrex	2014-07-01	8	8	7	0	8	8
1719937	Alhe	2013-08-01	7	7	6	0	7	7
342881	Alvaro Lopez	2010-09-01	1	1	0	0	1	1
888456	AmbiWeb	2012-09-01	0	0	0	0	1	0
2593196	Amibonilla	2015-01-01	11	11	10	0	11	11
31231	Andre68	2009-01-01	0	0	0	0	1	0
31231	Andre68	2009-04-01	2	0	1	0	2	0
845879	Andresuco	2012-09-01	567	366	331	0	567	366
845879	Andresuco	2012-10-01	2	2	1	0	2	2
845879	Andresuco	2013-05-01	8	8	7	0	8	8
845879	Andresuco	2013-08-01	1182	1147	1047	2	1183	1147
845879	Andresuco	2013-09-01	11	11	10	0	11	11
845879	Andresuco	2013-11-01	43	43	42	0	43	43
845879	Andresuco	2014-05-01	204	203	203	0	204	203
845879	Andresuco	2014-06-01	516	432	481	0	516	432
845879	Andresuco	2014-07-01	1	1	0	0	1	1
845879	Andresuco	2015-01-01	895	709	852	0	895	709
592819	Andrew Fish	2013-11-01	34	18	31	0	34	18
592819	Andrew Fish	2013-12-01	23	14	22	0	23	14
347904	AndroOTF	2010-09-01	162	143	136	0	162	143
347904	AndroOTF	2011-05-01	45	20	38	0	45	20
1433922	Antalo	2014-09-01	5	1	4	0	5	1
798344	Antonio Zamudio	2012-08-01	5	2	2	0	5	2
1660712	Anyanka13	2013-07-01	1	1	1	0	2	1
423291	Aquin	2013-01-01	1	0	0	0	1	0
1945655	Areli	2014-02-01	132	125	116	1	132	125
2161984	Argumento	2014-07-01	47	47	46	0	47	47
2575315	Armando80	2015-01-01	1	0	0	0	1	0
122855	ArmandoRM	2009-05-01	131	100	35	0	132	100
620740	Armin Von Ray	2012-03-01	18	9	11	0	19	9
1201327	ArturoRocha	2013-01-01	222	13	57	0	222	13
1201327	ArturoRocha	2013-02-01	2	0	1	0	2	0
1201327	ArturoRocha	2013-03-01	46	2	45	0	46	2
1201327	ArturoRocha	2013-05-01	15	14	13	0	15	14
586094	Arudo	2012-01-01	15	15	8	0	15	15
586094	Arudo	2012-12-01	26	22	20	0	27	22
2377995	Ashantil	2014-12-01	22	22	21	0	22	22
1862605	AstroArias	2014-01-01	271	270	263	0	271	270
1862605	AstroArias	2014-04-01	1	0	0	0	1	0
19237	Aurelien Jacobs	2009-12-01	9	2	6	0	10	2
19237	Aurelien Jacobs	2010-01-01	0	0	0	0	1	0
