uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
25720	!i!	2010-06-01	1	1	0	0	1	1
170672	1248	2010-02-01	1	0	0	0	1	0
37392	25or6to4	2010-02-01	8	8	7	0	8	8
37392	25or6to4	2014-06-01	7	1	6	0	7	1
632378	3yoda	2014-03-01	425	424	423	0	425	424
42429	42429	2009-12-01	802	19	61	0	802	19
42429	42429	2010-01-01	482	24	32	0	483	24
42429	42429	2011-03-01	2307	2039	1576	47	2307	2039
42429	42429	2011-11-01	4	0	0	0	5	0
42429	42429	2015-10-01	7499	6410	7333	0	7499	6410
42429	42429	2015-11-01	8254	7261	8215	4	8254	7261
1372630	5DiamondDelicacies	2013-04-01	1	1	0	0	1	1
362307	80 West	2010-10-01	4	2	2	0	5	2
1745187	9003x	2013-09-01	23	23	22	0	23	23
1745187	9003x	2014-03-01	8	9	3	0	9	9
2058761	AHeneen	2014-08-01	121	106	82	0	122	106
64065	AKC	2011-04-01	60	60	43	0	61	60
441065	ALCE Samuel Paul	2013-05-01	316	308	307	0	316	308
122516	ALeDonne	2013-11-01	1	0	0	0	1	0
140636	A_Ride_4_Ever	2009-06-01	4	5	4	0	5	5
53073	Aaron Lidman	2013-06-01	76	76	74	0	76	76
53073	Aaron Lidman	2013-07-01	182	179	179	0	182	179
153711	AaronAsAChimp	2012-11-01	29	2	12	0	30	2
912425	Adam Culp	2012-09-01	30	30	25	0	31	30
443130	Alan Bragg	2015-10-01	27	7	26	0	27	7
443130	Alan Bragg	2016-01-01	9	8	8	0	9	8
1821266	Alan-L	2013-11-01	4	4	0	0	4	4
85218	Aleks-Berlin	2016-01-01	2	0	1	0	3	0
951623	Alexhh	2012-11-01	6	4	4	0	6	4
1373621	AllgäuCycle	2015-08-01	148	148	147	0	148	148
1884815	AnaG	2014-01-01	1	1	1	0	2	1
643704	AnaMaria9384	2012-03-01	1	1	0	0	1	1
1810641	Anchor Associates	2013-11-01	2	2	1	0	2	2
4054	Andre Engels	2012-09-01	41	40	29	0	41	40
31231	Andre68	2014-03-01	11	0	10	0	11	0
31231	Andre68	2014-11-01	2	0	1	0	2	0
214969	AndrewBuck	2014-04-01	0	0	0	0	1	0
214969	AndrewBuck	2014-05-01	1	0	0	0	0	0
202283	Andy9FromSpace	2015-01-01	2	2	2	0	3	2
1225650	Andyinflorida	2013-02-01	0	1	0	0	1	1
486556	Angel Li	2011-07-01	1	1	0	0	1	1
1907435	Ariel Aronowicz	2014-01-01	1	1	1	0	2	1
3030574	ArqPeralta	2015-07-01	7	7	2	0	7	7
626122	ArturoDeutsch	2012-10-01	0	1	0	0	1	1
1171517	AssBlaster	2012-12-01	68	61	3	0	69	61
1171517	AssBlaster	2013-01-01	61	5	29	0	62	5
1850567	Atkins80	2013-12-01	11	11	10	0	11	11
418829	Atlantic Ocean Club	2011-03-01	4	4	4	0	5	4
651869	Aurimas Fišeras	2014-05-01	0	0	0	0	1	0
2047891	Avida226	2014-04-01	4	4	3	0	4	4
902646	B-rock	2014-12-01	97	38	95	0	97	38
902646	B-rock	2015-01-01	26	13	25	0	26	13
902646	B-rock	2015-02-01	16	11	15	0	16	11
322785	BCNorwich	2012-11-01	0	0	0	0	1	0
322785	BCNorwich	2012-12-01	6	1	5	0	6	1
408202	BFX	2012-11-01	1	0	0	0	1	0
2574196	BMimlitch	2015-01-01	17	10	10	0	17	10
373152	BTM21	2010-11-01	0	0	0	0	1	0
1860540	Babe Froman	2014-01-01	1	1	0	0	1	1
2546809	Bellyenvy Maternity	2014-12-01	1	0	0	0	1	0
2933274	Ben Preston	2015-07-01	6	6	5	0	6	6
2933274	Ben Preston	2015-08-01	4	4	2	0	4	4
