uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
108030	-=alexl=-	2009-03-01	1	0	0	0	1	0
108030	-=alexl=-	2012-03-01	53	11	10	0	54	11
381669	-=sAm=-	2010-12-01	1	1	0	0	1	1
138146	123RaZoR321	2010-06-01	100	33	64	0	100	33
138146	123RaZoR321	2010-08-01	1	0	0	0	1	0
138146	123RaZoR321	2011-08-01	6	2	2	0	7	2
138146	123RaZoR321	2012-04-01	136	76	55	0	137	76
536362	1ak	2011-10-01	0	1	0	0	1	1
325737	40°	2010-07-01	0	0	0	0	1	0
325737	40°	2010-08-01	0	0	0	0	1	0
325737	40°	2011-06-01	7	8	2	0	8	8
325737	40°	2011-08-01	1	2	1	0	2	2
42429	42429	2011-11-01	0	0	0	0	1	0
367549	4elkash	2010-11-01	16	9	12	0	17	9
715371	715371	2013-10-01	0	0	0	0	1	0
412864	8eter	2012-01-01	0	1	0	0	1	1
648920	::::	2014-11-01	21	21	21	0	22	21
672960	AKQJTs	2012-05-01	1204	1028	1050	0	1205	1028
672960	AKQJTs	2012-06-01	2	1	1	0	3	1
672960	AKQJTs	2012-07-01	2	2	1	0	2	2
133332	AMDmi3	2014-03-01	1	0	0	0	1	0
2336082	AMRACK	2014-09-01	1	1	0	0	1	1
479964	AQUARIUS	2011-07-01	27	5	14	0	27	5
416054	ARTAPRO	2011-03-01	2	1	1	0	2	1
1250911	Aaatraveller	2014-06-01	0	1	0	0	1	1
514430	Acorn	2012-06-01	1	1	0	0	1	1
433700	Active	2011-04-01	1	1	0	0	2	1
433700	Active	2011-05-01	5	1	2	0	5	1
1816789	Adormo	2013-12-01	0	1	0	0	1	1
168296	AexBTC	2009-09-01	157	122	32	0	157	122
168296	AexBTC	2010-08-01	4	4	3	0	4	4
168296	AexBTC	2013-08-01	35	35	25	0	35	35
1242072	Akitak	2013-02-01	2	1	1	0	2	1
1923272	Aleh777	2014-02-01	2	1	1	0	2	1
1996314	Alejo Hladkij	2014-03-01	2	0	2	0	3	0
1553146	Aleks_by	2014-04-01	70	55	36	0	70	55
1553146	Aleks_by	2014-05-01	54	42	33	0	55	42
487698	Aleksey Smolsky	2011-10-01	1	1	0	0	1	1
511995	Alenin_Andrew	2011-10-01	5	5	1	0	6	5
511995	Alenin_Andrew	2012-11-01	1	0	0	0	1	0
542026	Alessss	2011-10-01	3	2	0	0	3	2
542026	Alessss	2012-02-01	28	27	23	0	28	27
542026	Alessss	2012-10-01	37	17	27	0	38	17
542026	Alessss	2012-12-01	162	151	153	0	162	151
542026	Alessss	2013-01-01	64	56	58	0	64	56
542026	Alessss	2013-02-01	4	4	3	0	4	4
542026	Alessss	2013-04-01	1	0	0	0	1	0
542026	Alessss	2013-06-01	0	0	0	0	1	0
542026	Alessss	2013-11-01	133	107	101	0	134	107
542026	Alessss	2013-12-01	111	89	102	0	112	89
542026	Alessss	2014-01-01	1	0	0	0	2	0
542026	Alessss	2014-02-01	47	46	46	0	48	46
548882	Alex Frost	2011-11-01	1	0	0	0	1	0
2356357	Alex Kaigorodov	2014-09-01	2	1	0	0	3	1
521029	Alex Lapikov	2011-09-01	0	0	0	0	1	0
521029	Alex Lapikov	2012-03-01	0	1	0	0	1	1
86834	Alex Snitko	2011-05-01	9	10	3	0	10	10
86834	Alex Snitko	2011-08-01	10	8	2	0	11	8
86834	Alex Snitko	2012-01-01	7	8	0	0	8	8
377130	Alex-smog	2010-11-01	57	42	39	0	58	42
377130	Alex-smog	2010-12-01	821	611	514	0	822	611
83677	Alex555	2008-12-01	2	0	0	0	3	0
2009255	AlexBreems	2014-03-01	2	0	1	0	2	0
2506592	AlexYar	2014-12-01	2	2	1	0	2	2
209460	AlexZolotarev	2011-09-01	6	5	4	0	7	5
209460	AlexZolotarev	2011-10-01	2	3	0	0	3	3
209460	AlexZolotarev	2011-12-01	4	2	0	0	4	2
209460	AlexZolotarev	2012-11-01	1	1	0	0	1	1
209460	AlexZolotarev	2013-04-01	2	1	0	0	3	1
209460	AlexZolotarev	2013-12-01	1	1	1	0	2	1
209460	AlexZolotarev	2014-05-01	2	2	1	0	2	2
2028965	Alex_Sk	2014-04-01	19	20	11	0	20	20
1880994	Alex_blr	2014-01-01	55	50	42	0	56	50
