uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1784428	!Андрей!	2013-10-01	4	0	3	0	4	0
377791	#daf	2014-02-01	3	1	2	0	3	1
1835528	*Quasar*	2013-12-01	1	0	0	0	2	0
316411	- Meellaira Ahr -	2011-06-01	3	3	2	0	3	3
316411	- Meellaira Ahr -	2012-04-01	20	10	19	0	20	10
1450993	-=AreKs=-	2013-05-01	5	6	0	0	6	6
151525	-=dk=-	2009-07-01	578	543	417	0	579	543
151525	-=dk=-	2009-08-01	161	93	145	0	162	93
491706	-James-	2014-09-01	20	19	19	0	20	19
289087	-Phoenix	2010-07-01	13	2	10	0	14	2
289087	-Phoenix	2012-12-01	6	4	4	0	6	4
520276	-XJ-	2011-09-01	1	0	0	0	1	0
520276	-XJ-	2011-12-01	4	4	3	0	5	4
2906575	-balagur-	2015-05-01	3	3	0	0	3	3
290413	-error	2014-03-01	0	1	0	0	1	1
2088952	0n1y	2014-10-01	3	3	2	0	3	3
289001	0ver	2010-05-01	41	29	16	0	42	29
610278	0x2102	2012-03-01	12	7	8	0	12	7
610278	0x2102	2012-09-01	129	97	93	0	129	97
610278	0x2102	2012-10-01	1	2	0	0	2	2
610278	0x2102	2012-12-01	7	6	3	0	8	6
610278	0x2102	2013-01-01	20	17	9	0	20	17
610278	0x2102	2013-04-01	15	15	9	0	16	15
610278	0x2102	2013-06-01	236	161	145	0	236	161
610278	0x2102	2013-07-01	468	254	268	0	469	254
610278	0x2102	2013-08-01	38	19	32	0	39	19
610278	0x2102	2013-10-01	1	1	0	0	1	1
610278	0x2102	2013-12-01	57	12	28	0	57	12
610278	0x2102	2014-01-01	152	93	62	0	153	93
610278	0x2102	2014-02-01	58	54	44	0	58	54
610278	0x2102	2014-03-01	150	67	82	0	150	67
610278	0x2102	2014-04-01	80	54	57	0	81	54
610278	0x2102	2014-05-01	22	15	19	0	22	15
610278	0x2102	2014-06-01	530	303	242	0	530	303
610278	0x2102	2014-07-01	1187	543	730	0	1187	543
610278	0x2102	2014-08-01	639	298	443	0	639	298
610278	0x2102	2014-09-01	377	212	311	0	378	212
610278	0x2102	2014-10-01	101	34	81	0	102	34
610278	0x2102	2014-11-01	292	98	210	0	292	98
610278	0x2102	2014-12-01	61	25	48	0	62	25
610278	0x2102	2015-01-01	362	291	292	0	363	291
610278	0x2102	2015-02-01	25	9	20	0	25	9
610278	0x2102	2015-03-01	921	673	739	0	921	673
610278	0x2102	2015-04-01	1398	550	1237	0	1398	550
610278	0x2102	2015-05-01	256	92	205	0	256	92
610278	0x2102	2015-06-01	160	79	133	0	160	79
610278	0x2102	2015-07-01	203	60	193	0	203	60
610278	0x2102	2015-08-01	192	95	161	0	192	95
610278	0x2102	2015-09-01	11	5	10	0	11	5
610278	0x2102	2015-10-01	11	11	10	0	11	11
610278	0x2102	2015-11-01	17	1	16	0	17	1
