uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
584291	0x006A	2012-01-01	12	10	11	0	13	10
1420318	4b696d	2014-08-01	4	1	0	0	4	1
2164436	6simplex	2014-09-01	10	4	5	0	11	4
2315146	7erj	2014-10-01	1	1	0	0	1	1
2482809	AJAYFULWARIYA	2014-11-01	0	1	0	0	1	1
1890105	AJUPS	2014-02-01	19	18	18	0	19	18
2482792	AMAN VISHWAKARMA	2014-11-01	16	9	14	0	16	9
12946	AND	2008-02-01	27122	27123	14940	254	27123	27123
3339378	ANIKET DAWKHAR	2015-10-01	13	13	12	0	13	13
1821999	Aadesh	2013-11-01	24	16	15	0	24	16
1821999	Aadesh	2013-12-01	1023	1020	460	0	1023	1020
1821999	Aadesh	2014-01-01	2935	2926	1133	0	2935	2926
2497312	Aakanksha	2014-12-01	6	6	5	0	6	6
29411	Aamod	2008-03-01	29	0	9	0	30	0
29411	Aamod	2011-06-01	43	20	25	0	44	20
2484327	Aarshiya khan	2014-11-01	6	6	3	0	7	6
3061505	Aashish Tandon	2015-07-01	1	0	0	0	1	0
2145715	Aasmaa Shaha	2014-06-01	11	12	11	0	12	12
603364	Abhijeet97	2012-02-01	14	7	3	0	15	7
48964	Abhilash	2008-07-01	1	1	0	0	1	1
646616	Abhinav Aggarwal	2012-04-01	4	5	0	0	5	5
137938	Abhishek Nagrale	2010-04-01	145	124	108	0	145	124
2893860	Aditi poojari	2015-05-01	5	2	5	0	6	2
1026783	AdyShake	2013-04-01	1	1	1	0	2	1
482800	Adya	2011-07-01	8	8	1	0	9	8
2891100	Aishwarya94	2015-06-01	3	3	2	0	3	3
1427922	Ajay Matharu	2013-05-01	1	1	0	0	1	1
728104	Ajit Deshmukh	2012-07-01	14	13	13	1	14	13
1868885	Akhil_	2014-01-01	8	9	3	0	9	9
1448054	Aki_87	2013-05-01	46	40	45	0	46	40
2484329	Akshay Bhalerao	2014-11-01	41	37	27	0	41	37
164316	Akshay Guleria	2015-01-01	32	28	27	0	32	28
1773667	Al3xThomas	2013-10-01	1	1	0	0	1	1
1773667	Al3xThomas	2013-12-01	1	1	0	0	1	1
3367858	Alan Issac	2015-11-01	2	0	0	0	2	0
85218	Aleks-Berlin	2015-06-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-12-01	1	0	0	0	1	0
