uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
16315	-jha-	2011-01-01	13	6	11	0	13	6
170672	1248	2009-12-01	1	0	0	0	1	0
1813850	2snm1	2013-12-01	1	1	0	0	1	1
42429	42429	2010-04-01	2	0	1	0	2	0
42429	42429	2011-04-01	77	0	49	0	77	0
31138	5EE	2009-09-01	156	0	123	0	157	0
425742	A O	2011-05-01	0	0	0	0	1	0
1758189	A Solution Co Ltd	2013-09-01	5	5	4	0	5	5
2483501	Aaliyah Lakeman	2014-11-01	24	24	23	0	24	24
514293	Abungu	2011-09-01	20	20	16	0	20	20
5891	Accurimbono	2009-01-01	1108	90	170	0	1109	90
483101	Aikus	2012-05-01	8	8	7	0	8	8
85218	Aleks-Berlin	2014-11-01	0	0	0	0	1	0
1849360	Alex Masita	2013-12-01	10	10	9	0	10	10
1103866	Alienx	2013-05-01	25	25	22	0	25	25
547959	Allan Lykke Christensen	2011-11-01	12	5	10	0	12	5
1016290	Amaroussi	2014-08-01	1	0	0	0	1	0
172867	AmiFritz	2012-12-01	217	122	210	0	217	122
1850261	Amrish Shah	2013-12-01	5	5	4	0	5	5
214969	AndrewBuck	2011-08-01	28	18	28	0	29	18
214969	AndrewBuck	2011-09-01	1256	1253	131	0	1257	1253
214969	AndrewBuck	2013-08-01	72	37	46	0	72	37
2461019	Anne Qoey	2014-11-01	1743	1726	1715	0	1744	1726
2461019	Anne Qoey	2014-12-01	40	40	39	0	40	40
474781	Apollowokabi12	2011-06-01	1	1	0	0	2	1
701372	Aredhel	2012-08-01	1	0	0	0	1	0
38066	ArjanO	2013-09-01	19	15	7	0	19	15
38265	Atuti	2012-02-01	13	0	5	0	13	0
474570	Auma Tom	2011-06-01	52	52	42	0	52	52
651869	Aurimas Fišeras	2014-05-01	10	4	9	0	10	4
400795	Ayub Gitonga	2011-09-01	1	0	0	0	1	0
322785	BCNorwich	2012-07-01	2	0	1	0	2	0
322785	BCNorwich	2013-08-01	113	32	112	0	113	32
37109	Baruch	2009-06-01	0	0	0	0	1	0
72235	Basstoelpel	2012-09-01	170	171	101	7	171	171
9796	Ben VdA	2012-06-01	29	29	28	0	29	29
521872	Bentez	2011-09-01	570	516	362	0	571	516
521872	Bentez	2011-10-01	12	12	2	0	12	12
474572	Bernard Njenga	2011-06-01	29	20	25	0	30	20
3516	BiIbo	2009-02-01	2	0	1	0	3	0
123574	Bigglefaffer	2009-05-01	13	0	11	0	14	0
261009	Blasio	2010-04-01	96	61	31	0	97	61
261009	Blasio	2010-06-01	32	6	8	0	32	6
261009	Blasio	2011-04-01	73	61	53	0	74	61
261009	Blasio	2011-05-01	57	12	22	0	57	12
261009	Blasio	2011-10-01	180	164	107	0	180	164
261009	Blasio	2011-11-01	1369	1284	919	0	1370	1284
261009	Blasio	2011-12-01	818	683	552	0	818	683
261009	Blasio	2012-02-01	125	20	104	0	125	20
261009	Blasio	2012-03-01	1450	749	1273	0	1450	749
261009	Blasio	2012-07-01	91	57	79	0	91	57
261009	Blasio	2012-08-01	114	60	71	0	114	60
261009	Blasio	2012-11-01	1618	1434	1440	2	1618	1434
261009	Blasio	2012-12-01	12	6	2	0	12	6
261009	Blasio	2013-01-01	124	39	84	0	124	39
261009	Blasio	2013-04-01	2	2	1	0	2	2
261009	Blasio	2013-05-01	213	122	89	0	214	122
261009	Blasio	2014-01-01	90	87	86	0	90	87
261009	Blasio	2014-03-01	326	214	294	0	326	214
261009	Blasio	2014-04-01	233	79	224	0	233	79
261009	Blasio	2014-06-01	72	38	35	0	72	38
261009	Blasio	2014-07-01	226	43	19	0	227	43
261009	Blasio	2014-08-01	469	164	197	0	470	164
261009	Blasio	2014-09-01	253	230	243	0	254	230
261009	Blasio	2014-10-01	191	119	189	0	191	119
223946	Brian Herbert	2015-01-01	33	32	32	0	33	32
404039	Brio	2011-02-01	1	1	0	0	1	1
355242	Bryce C Nesbitt	2011-11-01	9	0	8	0	9	0
355242	Bryce C Nesbitt	2013-07-01	1	0	0	0	1	0
355242	Bryce C Nesbitt	2013-08-01	1	0	0	0	1	0
355242	Bryce C Nesbitt	2013-10-01	1	0	0	0	1	0
511250	CPM	2011-09-01	31	17	30	0	31	17
761416	Casa Twiga	2013-10-01	1	1	0	0	1	1
2343654	Cephas Nderi	2014-09-01	35	35	34	0	35	35
397467	CharlieOscar	2013-01-01	3	4	0	0	4	4
415989	Chasia	2011-12-01	2	2	1	0	2	2
527923	Chip Kingsbury	2011-09-01	2	1	1	0	2	1
314635	Christian Ledermann	2010-07-01	153	85	113	0	153	85
314635	Christian Ledermann	2010-08-01	164	127	99	2	164	127
314635	Christian Ledermann	2010-09-01	2	3	1	0	3	3
314635	Christian Ledermann	2010-12-01	9	4	8	0	9	4
314635	Christian Ledermann	2011-02-01	73	45	60	0	73	45
314635	Christian Ledermann	2011-09-01	29	30	10	0	30	30
314635	Christian Ledermann	2011-10-01	43	26	26	0	43	26
314635	Christian Ledermann	2012-10-01	17	17	6	0	18	17
314635	Christian Ledermann	2012-12-01	25	25	20	0	25	25
