uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
2580428	-HA-	2015-01-01	4	4	3	0	4	4
1743170	11_silver_11	2013-09-01	0	0	0	0	1	0
632506	1234abcd	2012-03-01	1	1	0	0	1	1
170672	1248	2010-02-01	52	0	45	0	52	0
2527291	1800getarugs	2014-12-01	1	1	0	0	1	1
931055	1HealthPlz	2012-10-01	3400	3341	3287	0	3400	3341
931055	1HealthPlz	2012-11-01	372	372	368	0	372	372
931055	1HealthPlz	2012-12-01	2502	2502	2467	0	2502	2502
500050	1architect	2011-08-01	86	75	35	0	86	75
2590897	203Marketing	2015-01-01	3	3	2	0	3	3
37392	25or6to4	2009-09-01	1	1	1	0	2	1
37392	25or6to4	2010-02-01	0	1	0	0	1	1
1964176	2600	2014-03-01	1	1	0	0	1	1
2557539	2dh3uif7y2s	2015-01-01	1	0	0	0	1	0
1956615	310emon	2014-03-01	3	1	2	0	4	1
3038556	3dw	2015-07-01	2	2	2	0	3	2
632378	3yoda	2013-06-01	11	12	2	0	12	12
632378	3yoda	2013-07-01	7033	5381	5379	0	7033	5381
632378	3yoda	2013-08-01	14790	11921	12334	0	14790	11921
632378	3yoda	2013-09-01	4068	3551	2128	0	4069	3551
632378	3yoda	2013-10-01	1114	1002	937	0	1114	1002
632378	3yoda	2013-11-01	9298	7559	8059	0	9298	7559
632378	3yoda	2013-12-01	3253	2226	2992	13	3253	2226
632378	3yoda	2014-01-01	8272	6440	7719	1	8272	6440
632378	3yoda	2014-02-01	19368	14768	17289	0	19368	14768
632378	3yoda	2014-03-01	5182	4208	4978	0	5183	4208
632378	3yoda	2014-04-01	32451	26354	30343	0	32452	26354
632378	3yoda	2014-05-01	3468	2635	3010	0	3469	2635
632378	3yoda	2014-06-01	1	0	0	0	9	8
632378	3yoda	2014-07-01	8	8	7	0	0	0
632378	3yoda	2014-09-01	874	19	612	0	874	19
632378	3yoda	2014-11-01	5363	3187	4299	0	5363	3187
632378	3yoda	2014-12-01	267	239	262	0	267	239
632378	3yoda	2015-01-01	139	58	110	0	139	58
632378	3yoda	2015-02-01	358	311	350	0	358	311
632378	3yoda	2015-03-01	219	193	218	0	219	193
632378	3yoda	2015-05-01	819	621	814	0	819	621
632378	3yoda	2015-06-01	1285	939	1191	0	1285	939
632378	3yoda	2015-08-01	554	504	552	0	554	504
632378	3yoda	2015-10-01	110	53	108	0	110	53
632378	3yoda	2015-11-01	8258	3879	8054	0	8258	3879
632378	3yoda	2015-12-01	454	257	452	0	454	257
632378	3yoda	2016-01-01	220	181	219	0	220	181
42429	42429	2009-03-01	18120	2860	3677	0	18121	2860
42429	42429	2009-10-01	671	347	309	0	671	347
42429	42429	2009-12-01	535	163	294	0	535	163
42429	42429	2010-01-01	3959	3614	3484	0	3959	3614
42429	42429	2010-02-01	27109	23671	22541	1	27110	23671
42429	42429	2010-05-01	19	4	5	0	19	4
42429	42429	2010-10-01	6550	3590	3882	0	6550	3590
42429	42429	2010-11-01	4356	3255	3404	0	4356	3255
42429	42429	2010-12-01	5965	4988	4987	0	5966	4988
42429	42429	2011-01-01	9381	7065	7618	1	9381	7065
42429	42429	2011-10-01	11	0	1	0	12	0
