uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
978554	-Ced-	2012-10-01	54	47	23	0	55	47
96568	-ed-	2009-02-01	1067	713	130	0	1068	713
16315	-jha-	2008-04-01	92	79	9	1	93	79
16315	-jha-	2008-05-01	1282	1074	317	7	1283	1074
16315	-jha-	2008-07-01	147	132	42	0	148	132
16315	-jha-	2008-11-01	516	17	3	0	517	17
16315	-jha-	2009-06-01	2	3	0	0	3	3
2291177	00u	2014-09-01	3	3	2	0	3	3
55782	0123456789	2009-02-01	30	0	1	0	31	0
55782	0123456789	2010-01-01	8	5	3	0	8	5
55782	0123456789	2010-02-01	2	3	2	0	3	3
55782	0123456789	2010-03-01	3	0	1	0	4	0
2364492	024680	2014-09-01	155	0	68	0	155	0
1269905	03July	2013-03-01	2	1	0	0	3	1
852239	03jpr	2012-09-01	3	2	2	0	4	2
147186	0liver	2009-07-01	11	8	0	0	11	8
147186	0liver	2010-12-01	25	23	20	0	25	23
147186	0liver	2011-07-01	11	10	8	0	11	10
147186	0liver	2012-06-01	38	28	35	0	38	28
2023451	0xx0	2014-04-01	3	2	0	0	4	2
2023451	0xx0	2014-08-01	35	8	18	0	35	8
2023451	0xx0	2014-09-01	1	0	0	0	1	0
993686	100010038	2012-10-01	48	45	30	0	48	45
138321	10zorglub	2012-05-01	4	4	3	0	4	4
35935	13 digits	2010-04-01	0	1	0	0	1	1
268977	16pide	2013-09-01	151	74	128	0	151	74
268977	16pide	2013-10-01	122	108	115	0	122	108
268977	16pide	2013-11-01	34	31	31	0	34	31
268977	16pide	2013-12-01	30	30	28	0	30	30
268977	16pide	2014-05-01	5	4	4	0	5	4
49803	20100	2008-07-01	37	18	7	0	38	18
49803	20100	2010-01-01	42	40	16	0	43	40
49803	20100	2011-04-01	0	1	0	0	1	1
49803	20100	2012-09-01	12	12	6	0	12	12
49803	20100	2013-05-01	69	69	54	0	69	69
236030	20_100	2010-12-01	6	6	1	0	6	6
1367202	22843346001	2013-04-01	308	197	275	0	308	197
88302	232 U 1	2008-12-01	1153	128	83	0	1154	128
88302	232 U 1	2009-01-01	36119	4464	2528	2	36120	4464
88302	232 U 1	2009-02-01	14	5	5	0	15	5
88302	232 U 1	2009-07-01	184	110	26	0	185	110
88302	232 U 1	2010-05-01	1637	958	1177	0	1638	958
88302	232 U 1	2010-06-01	1	1	0	0	1	1
88302	232 U 1	2012-05-01	17	9	16	0	17	9
88302	232 U 1	2012-09-01	0	0	0	0	1	0
88302	232 U 1	2012-10-01	59	47	45	0	59	47
313135	2D - OSM	2010-07-01	34	6	8	0	35	6
313135	2D - OSM	2010-11-01	14	10	6	0	15	10
473650	3615fabe	2011-06-01	3	3	0	0	4	3
1785780	3asyG33	2013-10-01	1	1	0	0	1	1
831841	3dsman	2012-08-01	63	53	45	0	64	53
831841	3dsman	2013-02-01	1	1	0	0	1	1
831841	3dsman	2014-07-01	32	31	31	0	33	31
632378	3yoda	2014-08-01	1780	1681	1681	0	1781	1681
1368659	42Bonifaz	2013-04-01	1	1	0	0	1	1
1368659	42Bonifaz	2013-05-01	3	2	1	0	3	2
1368659	42Bonifaz	2014-07-01	9	6	8	0	9	6
1008499	4lex11s	2014-12-01	49	49	48	0	49	49
2075293	4t0m!k	2014-05-01	1	0	0	0	1	0
395161	6arms1leg	2012-05-01	1	0	0	0	1	0
644438	6ril95100	2012-03-01	6	5	5	0	7	5
715371	715371	2013-10-01	0	0	0	0	1	0
159842	78grosours	2014-12-01	25	21	24	0	25	21
363326	78michel	2014-02-01	94	49	80	0	94	49
480867	7clem	2011-07-01	13	8	5	0	14	8
1085279	7homa5	2012-11-01	7	7	3	0	7	7
2275413	883Rrider	2014-08-01	4	3	3	0	5	3
2430543	91pepe	2014-10-01	8	6	7	0	8	6
2430543	91pepe	2015-01-01	7	5	6	0	7	5
705182	@5M-user	2012-06-01	256	223	110	0	257	223
705182	@5M-user	2012-07-01	518	464	302	0	519	464
705182	@5M-user	2012-08-01	14	8	9	0	15	8
1822394	@JFCoulon	2013-11-01	0	0	0	0	1	0
2046159	@LS@	2014-07-01	2	2	1	0	2	2
701999	@irvb	2012-06-01	16	11	11	0	17	11
1055434	@rthemis	2012-11-01	0	1	0	0	1	1
1803006	@rthy	2013-11-01	3	0	1	0	3	0
453203	A(i)rpenteur	2011-05-01	48	40	45	0	48	40
453203	A(i)rpenteur	2013-11-01	625	24	562	0	625	24
1386533	A-xis	2013-04-01	1	0	0	0	2	0
1386533	A-xis	2014-06-01	1	0	0	0	1	0
698023	AAmadeus	2012-06-01	2	2	1	0	2	2
1947974	AB NETT SERVICES	2014-02-01	6	1	1	0	7	1
710201	ABalssa	2012-06-01	323	184	209	0	324	184
710201	ABalssa	2012-07-01	927	750	661	0	927	750
710201	ABalssa	2012-08-01	16	15	10	0	16	15
710201	ABalssa	2012-09-01	529	457	447	0	529	457
710201	ABalssa	2012-10-01	12	12	2	0	13	12
710201	ABalssa	2012-11-01	43	44	27	0	44	44
710201	ABalssa	2013-02-01	19	17	17	0	19	17
710201	ABalssa	2015-01-01	12	11	11	0	12	11
1461463	ABrejeon	2013-05-01	12	12	11	0	12	12
