uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
0	total	2005-04-01	35	36	19	0	35	36
0	total	2005-05-01	7288	7289	1376	0	7288	7289
0	total	2005-06-01	5953	5953	1102	0	5953	5953
0	total	2005-07-01	18134	18135	2194	0	18134	18135
0	total	2005-08-01	7224	7225	1117	0	7224	7225
0	total	2005-09-01	1883	1884	420	0	1883	1884
0	total	2005-10-01	16348	16348	3943	0	16348	16348
0	total	2005-11-01	27168	27169	5958	0	27168	27169
0	total	2005-12-01	36572	36573	12454	0	36572	36573
0	total	2006-01-01	66358	66359	19261	0	66358	66359
0	total	2006-02-01	63344	63345	20114	0	63344	63345
0	total	2006-03-01	40229	40230	11761	0	40229	40230
0	total	2006-04-01	58257	58257	15165	0	58257	58257
0	total	2006-05-01	5143267	5143268	5080741	0	5143267	5143268
0	total	2006-06-01	2233801	2233802	2165852	0	2233801	2233802
0	total	2006-07-01	2937534	2937535	2811707	0	2937534	2937535
0	total	2006-08-01	2731860	2731860	2525841	0	2731860	2731860
0	total	2006-09-01	2997251	2997252	2773500	0	2997251	2997252
0	total	2006-10-01	2491784	2491785	2252396	0	2491784	2491785
0	total	2006-11-01	459946	459947	158385	0	459946	459947
0	total	2006-12-01	1295133	1295134	357506	0	1295133	1295134
0	total	2007-01-01	2120472	2120472	683168	0	2120472	2120472
0	total	2007-02-01	641940	641941	216616	0	641940	641941
0	total	2007-03-01	610089	610090	130124	0	610089	610090
0	total	2007-04-01	1449481	1449482	326304	0	1449481	1449482
0	total	2007-05-01	1624772	1624773	498758	0	1624772	1624773
0	total	2007-06-01	1213851	1213852	316950	0	1213851	1213852
0	total	2007-07-01	1906259	1906260	594598	0	1906259	1906260
0	total	2007-08-01	5165614	5165615	887795	0	5165614	5165615
0	total	2007-09-01	22481202	22481202	1004629	0	22481202	22481202
0	total	2007-10-01	36516051	34150727	4379688	0	36516051	34150727
0	total	2007-11-01	53381138	50382252	2275255	0	53381138	50382252
0	total	2007-12-01	58263227	54848108	2000638	0	58263227	54848108
0	total	2008-01-01	47247540	43900603	4757992	0	47247540	43900603
0	total	2008-02-01	6853476	5131694	2931277	0	6853476	5131694
0	total	2008-03-01	6704919	4930750	1987409	0	6704919	4930750
0	total	2008-04-01	7353841	5314335	2194623	0	7353841	5314335
0	total	2008-05-01	8540522	6411070	2092848	0	8540522	6411070
0	total	2008-06-01	9255595	6630291	2785886	0	9255595	6630291
0	total	2008-07-01	10202632	6989672	3347256	0	10202632	6989672
0	total	2008-08-01	13835106	9724717	4764999	0	13835106	9724717
0	total	2008-09-01	12347636	8042320	4122045	0	12347636	8042320
0	total	2008-10-01	27451625	7378047	3892151	0	27451625	7378047
0	total	2008-11-01	26301164	6555384	3833299	0	26301164	6555384
0	total	2008-12-01	27597181	7934887	4504611	0	27597181	7934887
0	total	2009-01-01	37852458	15008746	8389606	0	37852458	15008746
0	total	2009-02-01	33280787	14245386	7401934	0	33280787	14245386
0	total	2009-03-01	36879785	10484405	7635469	0	36879785	10484405
0	total	2009-04-01	29491660	16325197	11461238	0	29491660	16325197
0	total	2009-05-01	28886402	23232750	17902766	0	28886402	23232750
0	total	2009-06-01	20219500	15374090	11174869	0	20219500	15374090
0	total	2009-07-01	25623712	19512716	13313096	0	25623712	19512716
0	total	2009-08-01	56803916	24692900	36586460	0	56803916	24692900
0	total	2009-09-01	72657311	33299745	51801799	0	72657311	33299745
0	total	2009-10-01	75093888	31835891	52510960	0	75093888	31835891
0	total	2009-11-01	70772702	24310980	46164135	0	70772702	24310980
0	total	2009-12-01	66545244	24325328	45317801	0	66545244	24325328
0	total	2010-01-01	30963650	19143427	17110352	0	30963650	19143427
0	total	2010-02-01	36685964	26968022	24577172	0	36685964	26968022
0	total	2010-03-01	31460707	20447620	17363157	0	31460707	20447620
0	total	2010-04-01	36595059	29204621	20076934	0	36595059	29204621
0	total	2010-05-01	50652672	42624965	34997337	0	50652672	42624965
0	total	2010-06-01	42577140	34837696	29053053	0	42577140	34837696
0	total	2010-07-01	49883020	38852395	34827223	0	49883020	38852395
0	total	2010-08-01	55548165	46425355	41013820	0	55548165	46425355
0	total	2010-09-01	48397865	38769120	35257814	0	48397865	38769120
0	total	2010-10-01	48129556	38663821	35510288	0	48129556	38663821
