uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
42429	42429	2012-04-01	10	10	9	0	10	10
42429	42429	2012-07-01	811	638	778	0	811	638
42429	42429	2012-12-01	120	93	118	0	120	93
42429	42429	2013-01-01	378	352	365	0	378	352
47064	7503146	2014-09-01	25	17	17	0	26	17
1941929	AColgan	2014-05-01	5	5	0	0	5	5
1941929	AColgan	2014-07-01	7	4	4	0	7	4
122516	ALeDonne	2013-11-01	2	1	1	0	2	1
1539368	Adam Martin	2013-11-01	3	0	2	0	4	0
441780	Alain Duchesneau	2012-12-01	34	22	21	0	34	22
441780	Alain Duchesneau	2013-01-01	2	0	1	0	2	0
321497	Alain512	2011-10-01	7	7	6	0	7	7
321497	Alain512	2011-11-01	7	7	6	1	7	7
1757753	Alexandre Boulanger	2013-09-01	16	13	7	0	16	13
1757753	Alexandre Boulanger	2013-10-01	836	748	785	0	836	748
3600	Alistair	2006-09-01	55	56	7	26	56	56
387523	Alouette955	2011-10-01	8	8	7	0	8	8
387523	Alouette955	2012-09-01	13	13	11	0	13	13
387523	Alouette955	2012-11-01	1	1	0	0	1	1
387523	Alouette955	2013-03-01	2	2	1	0	2	2
387523	Alouette955	2014-05-01	10	10	9	0	10	10
4939	Amazed	2014-03-01	4	3	3	0	4	3
888456	AmbiWeb	2012-09-01	1	0	0	0	2	0
172867	AmiFritz	2014-02-01	20	0	18	0	20	0
2350928	Andmersal	2014-09-01	7	7	6	0	7	7
2047819	AndréDC	2014-04-01	11	8	9	0	11	8
619967	AntAgna	2012-03-01	33	29	31	0	33	29
22481	Antoine Beaupré	2012-01-01	0	1	0	0	1	1
1963402	Apuq	2014-03-01	44	26	22	0	44	26
2163460	ArianeBM	2014-07-01	11	7	7	0	11	7
1259039	AtomicJo	2013-03-01	465	392	341	0	465	392
1259039	AtomicJo	2013-07-01	16	5	14	0	16	5
192395	BBO	2012-03-01	0	0	0	0	1	0
2018120	BIT2BLOC	2014-04-01	4	0	1	0	5	0
295669	Bernux	2010-05-01	7	4	0	0	8	4
295669	Bernux	2010-06-01	39	18	11	0	40	18
971715	BestGoodGuy	2012-10-01	2	1	1	0	2	1
3516	BiIbo	2009-02-01	18	0	9	0	18	0
209529	BkQc	2009-12-01	11	11	8	0	11	11
209529	BkQc	2014-06-01	2	2	1	0	2	2
209529	BkQc	2014-07-01	7	7	6	0	8	7
762332	Bleuet Mapper	2012-10-01	0	1	0	0	1	1
76077	Bootprint	2013-02-01	3	1	1	0	4	1
595246	BrunoRemy	2012-01-01	154	112	58	0	187	134
595246	BrunoRemy	2012-02-01	3008	2477	1748	0	2977	2455
595246	BrunoRemy	2012-03-01	4	5	1	0	5	5
595246	BrunoRemy	2012-04-01	11446	9551	9911	0	11446	9551
595246	BrunoRemy	2012-05-01	3814	2658	2614	0	3814	2658
595246	BrunoRemy	2012-06-01	1035	710	640	0	1036	710
595246	BrunoRemy	2012-07-01	1743	1134	1319	1	1743	1134
595246	BrunoRemy	2012-08-01	88	63	68	0	89	63
595246	BrunoRemy	2012-10-01	104	68	89	0	105	68
595246	BrunoRemy	2012-11-01	11845	9758	9732	0	13560	11420
595246	BrunoRemy	2012-12-01	6886	6105	6068	0	5172	4443
595246	BrunoRemy	2013-01-01	8479	219	8218	0	8480	219
595246	BrunoRemy	2013-02-01	792	0	767	0	793	0
595246	BrunoRemy	2013-03-01	7652	2977	6775	0	7808	3089
595246	BrunoRemy	2013-04-01	1126	933	570	0	996	842
595246	BrunoRemy	2013-05-01	1834	1487	1587	0	1809	1466
595246	BrunoRemy	2013-06-01	906	727	735	0	964	784
595246	BrunoRemy	2013-07-01	469	362	300	0	411	305
595246	BrunoRemy	2013-08-01	468	348	226	0	468	348
595246	BrunoRemy	2013-09-01	2258	1645	1967	0	2258	1645
595246	BrunoRemy	2013-10-01	657	388	525	0	665	396
595246	BrunoRemy	2013-11-01	1275	836	821	1	1267	828
595246	BrunoRemy	2014-01-01	15	11	12	0	15	11
595246	BrunoRemy	2014-02-01	3747	2808	3170	0	3952	2932
595246	BrunoRemy	2014-03-01	8950	6636	7889	0	8746	6513
595246	BrunoRemy	2014-04-01	11473	10579	7312	6	11475	10579
595246	BrunoRemy	2014-05-01	3130	2644	2028	0	3128	2643
595246	BrunoRemy	2014-06-01	10732	2082	9095	0	10732	2082
595246	BrunoRemy	2014-07-01	2224	1886	2123	0	2224	1886
595246	BrunoRemy	2014-08-01	6922	3814	6577	0	7176	3996
595246	BrunoRemy	2014-09-01	12182	7370	11605	0	11929	7188
595246	BrunoRemy	2014-10-01	3281	1582	3091	0	3281	1582
595246	BrunoRemy	2014-11-01	621	308	599	0	642	313
595246	BrunoRemy	2014-12-01	3539	1433	3445	0	3518	1428
595246	BrunoRemy	2015-01-01	612	306	606	0	612	306
282700	BrunoTD	2010-05-01	14	0	11	0	14	0
355242	Bryce C Nesbitt	2011-09-01	3	0	2	0	4	0
355242	Bryce C Nesbitt	2011-11-01	0	0	0	0	1	0
355242	Bryce C Nesbitt	2013-07-01	1	0	0	0	1	0
2287200	Buraddo	2014-08-01	4	0	3	0	4	0
839460	Bushbird	2012-08-01	3	3	2	1	3	3
2543823	CaFre	2014-12-01	3	0	2	0	3	0
2114588	Charles Brunet	2014-06-01	1	0	0	0	1	0
1242864	Chloed	2014-08-01	1	0	0	0	1	0
1383062	Chris Filip	2013-11-01	2	1	0	0	2	1
251543	ChrissW-R1	2014-02-01	1	0	0	0	1	0
2956	Christopher	2014-06-01	72	61	67	0	72	61
503155	Chummy	2011-08-01	1	1	0	0	1	1
503155	Chummy	2012-07-01	1	0	0	0	1	0
2252553	CindyBil	2014-08-01	3	3	2	0	3	3
69716	Circeus	2008-09-01	618	588	101	2	819	754
69716	Circeus	2008-10-01	36784	4999	4617	22	36584	4833
69716	Circeus	2008-11-01	2347	199	981	2	2347	199
69716	Circeus	2008-12-01	10656	1225	1965	0	10657	1225
69716	Circeus	2009-01-01	79	4	2	0	80	4
69716	Circeus	2009-02-01	38	2	2	0	39	2
69716	Circeus	2009-03-01	31	0	1	0	32	0
69716	Circeus	2009-04-01	0	0	0	0	75	69
69716	Circeus	2009-05-01	295	226	123	0	221	157
69716	Circeus	2009-07-01	18	14	17	0	18	14
69716	Circeus	2009-08-01	110	95	65	3	110	95
69716	Circeus	2009-09-01	62	27	28	0	63	27
69716	Circeus	2009-10-01	28	27	17	0	29	27
69716	Circeus	2009-11-01	6	5	3	0	6	5
69716	Circeus	2010-12-01	93	32	80	0	94	32
69716	Circeus	2011-05-01	4	5	4	0	5	5
69716	Circeus	2012-03-01	0	0	0	0	1	0
69716	Circeus	2013-01-01	3	0	0	0	4	0
69716	Circeus	2013-10-01	32	20	14	0	32	20
69716	Circeus	2013-11-01	1	1	0	0	1	1
307511	Coplander	2010-06-01	2	2	1	0	2	2
228639	Cot	2010-02-01	20	0	12	0	20	0
1672182	Cpt_Morgan	2013-07-01	274	257	192	0	274	257
472614	Crunch57	2014-03-01	2	1	0	0	2	1
2353146	Cuisina	2014-09-01	1	2	0	0	2	2
1844633	Curieuxdenature	2013-12-01	21	17	20	0	21	17
1229680	Cycloroute de Bellechasse	2013-02-01	1	1	0	0	1	1
262009	DOHCtor	2014-12-01	20	20	19	0	20	20
13442	Damouns	2014-08-01	8	8	0	0	8	8
1762508	DanCarmich	2013-10-01	185	81	107	0	185	81
1225178	DangerousCello	2013-02-01	1	0	0	0	1	0
2107115	Daniel Ferland	2014-06-01	18	8	15	0	18	8
2107115	Daniel Ferland	2014-11-01	1	0	0	0	1	0
1785732	Danny Lapierre	2013-11-01	529	448	455	0	529	448
648915	Dany boy	2012-04-01	5	5	4	0	5	5
1428961	DavidHuard	2013-05-01	14	0	13	0	14	0
1675562	Digit23	2014-10-01	40	27	39	0	40	27
1916735	DoloranVandore	2014-02-01	21	21	20	0	21	21
168558	DopplerFX	2009-09-01	807	75	246	0	807	75
168558	DopplerFX	2009-10-01	13022	4485	7011	0	13023	4485
168558	DopplerFX	2012-05-01	28	26	21	0	28	26
1198074	DoubleA	2013-10-01	1	0	0	0	1	0
292665	Dr Kludge	2013-06-01	6	6	5	0	6	6
388276	Dreff	2010-12-01	6	1	5	0	6	1
388276	Dreff	2011-01-01	747	703	696	7	747	703
388276	Dreff	2011-02-01	18	18	18	1	19	18
388276	Dreff	2011-03-01	61	58	39	0	62	58
388276	Dreff	2014-03-01	43	9	42	0	43	9
2506705	E G	2014-12-01	794	749	757	0	794	749
2506705	E G	2015-01-01	159	143	153	0	159	143
1745294	Efyx	2013-09-01	53	33	8	0	54	33
1420318	Elchi13	2014-10-01	86	61	85	0	86	61
2370403	Enialyug Yamel	2014-09-01	0	0	0	0	1	1
2370403	Enialyug Yamel	2014-10-01	1	1	0	0	0	0
2581991	EspaceLab	2015-01-01	1	1	0	0	1	1
83557	Esperanza36	2011-10-01	7	6	3	0	8	6
1424897	Fabien Deschodt	2013-05-01	34	17	30	0	34	17
677560	Faster Logistics Montréal	2012-08-01	21	0	6	0	22	0
677560	Faster Logistics Montréal	2012-10-01	1	0	0	0	1	0
671946	FauconLab	2012-05-01	4	0	3	0	4	0
1810528	Fr3d3rik	2013-11-01	30	14	24	0	31	14
24555	Francois Marier	2014-08-01	5	5	4	0	5	5
2453047	François ULaval	2014-11-01	31	21	29	0	31	21
1626	FredB	2008-08-01	117	103	60	1	118	103
1210716	Frederic Morin	2013-01-01	7	7	6	0	7	7
17944	Frederic Sheedy	2007-11-01	52	33	31	13	52	33
17944	Frederic Sheedy	2008-02-01	2442	2337	1448	24	2443	2337
17944	Frederic Sheedy	2008-03-01	239	240	39	0	240	240
17944	Frederic Sheedy	2008-10-01	264	44	62	0	265	44
17944	Frederic Sheedy	2009-05-01	195	189	69	0	196	189
15741	Fritsch	2007-11-01	1	1	0	1	1	1
28950	Frédéric Brière	2008-03-01	42	42	21	2	42	42
253476	Frédéric Laurent	2010-03-01	114	3	42	0	115	3
253476	Frédéric Laurent	2010-04-01	4	0	3	0	4	0
253476	Frédéric Laurent	2011-11-01	123	11	89	0	123	11
253476	Frédéric Laurent	2012-03-01	0	1	0	0	1	1
253476	Frédéric Laurent	2012-06-01	29	24	11	0	29	24
253476	Frédéric Laurent	2013-02-01	30	4	19	0	31	4
253476	Frédéric Laurent	2014-01-01	568	313	405	0	569	313
253476	Frédéric Laurent	2014-05-01	734	252	607	0	734	252
253476	Frédéric Laurent	2014-06-01	1	0	1	0	2	0
253476	Frédéric Laurent	2014-08-01	3	0	2	0	3	0
161619	FvGordon	2014-01-01	13	5	7	0	14	5
161619	FvGordon	2014-02-01	18	2	17	0	18	2
459760	GAL010	2011-05-01	8	6	5	0	8	6
1712918	GGGMain	2013-08-01	0	1	0	0	1	1
988720	Gab Lemieux	2012-10-01	70	37	67	0	70	37
92957	Gaguelicious	2009-01-01	53	2	35	0	54	2
92957	Gaguelicious	2009-02-01	2	2	0	0	3	2
2427146	GahN	2014-10-01	16	15	12	0	16	15
72305	GarthPS	2009-10-01	12	12	2	0	12	12
401068	Gaston P	2011-01-01	16	0	15	0	16	0
1759493	Gendronjulie	2013-09-01	6	7	6	0	7	7
1195092	GizMoQC	2013-01-01	5	1	4	0	5	1
120468	Gone	2010-01-01	0	0	0	0	1	0
120468	Gone	2010-02-01	143	67	93	0	143	67
296183	GoneCamping	2010-06-01	2	2	0	0	2	2
86289	Gustry	2013-03-01	1	0	0	0	1	0
1675621	Guy Bruneau	2013-08-01	1	2	0	0	2	2
1712401	Géoludic	2013-08-01	5308	2847	782	0	5309	2847
1712401	Géoludic	2013-09-01	11399	4260	6861	0	11399	4260
1712401	Géoludic	2013-10-01	6878	5011	6212	0	6878	5011
1712401	Géoludic	2013-11-01	6648	4226	4855	0	6648	4226
1712401	Géoludic	2013-12-01	558	366	514	0	558	366
1712401	Géoludic	2014-10-01	707	254	657	0	707	254
190389	HHCacher	2012-10-01	0	0	0	0	1	0
190389	HHCacher	2013-02-01	0	0	0	0	1	0
190389	HHCacher	2013-07-01	0	0	0	0	1	0
190389	HHCacher	2013-08-01	0	0	0	0	1	0
190389	HHCacher	2014-05-01	0	0	0	0	1	0
25504	Head	2010-08-01	1	0	0	0	2	0
1297663	Hernan Corrales	2013-03-01	4	5	3	0	5	5
106914	Hobgoblin	2014-12-01	29	5	28	0	29	5
17981	IanReid	2008-01-01	268	204	47	9	269	204
1758931	Jack Pham	2013-10-01	2	2	1	0	2	2
235692	Jean-Francois Legendre	2012-04-01	1	0	0	0	1	0
689769	Jean-Mi50	2012-05-01	13	8	10	0	13	8
2348755	Jean-Pierre Jr Dubuc	2014-09-01	436	308	332	0	436	308
221492	JeanT	2010-01-01	16	0	15	0	16	0
1725081	Jeanne_lb	2013-08-01	1	1	1	0	2	1
1044834	Jesse Phillips	2013-01-01	40	14	10	0	41	14
701661	Job3-14	2012-06-01	7	7	6	0	7	7
2095129	Jobillico	2014-05-01	2	2	1	0	2	2
18630	Jocelyn Delalande	2013-06-01	1	2	1	0	2	2
101611	JoergB	2010-11-01	1	1	0	0	1	1
837425	Jonathan ZHAO	2013-12-01	1	0	0	0	1	0
662793	Jérémie Gravel	2012-05-01	3	3	2	0	3	3
617867	Kowaq	2012-03-01	1	1	0	0	1	1
71251	LatLng	2011-07-01	151	152	139	0	152	152
2318	Latze	2011-01-01	188	188	149	0	188	188
2195436	Le Vélurbaniste	2014-10-01	1763	655	1425	0	1763	655
2195436	Le Vélurbaniste	2015-01-01	27	20	26	0	27	20
38209	Lelio_it	2011-08-01	25	25	24	0	25	25
640281	Lemxseb	2012-03-01	12	9	12	0	13	9
299539	Lenezir	2014-07-01	4	2	2	0	4	2
299539	Lenezir	2014-08-01	1	1	0	0	1	1
299539	Lenezir	2014-09-01	2	0	1	0	3	0
674919	Lostmule	2012-07-01	1	0	0	0	1	0
674919	Lostmule	2014-06-01	1	1	1	0	2	1
167425	Louis Lamontagne	2009-09-01	3142	2075	1674	0	3155	2088
167425	Louis Lamontagne	2009-10-01	21	21	15	0	9	8
167425	Louis Lamontagne	2009-11-01	2	2	1	0	2	2
167425	Louis Lamontagne	2010-02-01	7	0	0	0	8	0
167425	Louis Lamontagne	2010-05-01	180	155	135	0	180	155
167425	Louis Lamontagne	2010-06-01	55	56	50	0	56	56
167425	Louis Lamontagne	2010-08-01	169	158	22	0	170	158
