uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
581161	67879798	2012-01-01	20	18	18	0	21	18
541424	@rjhordan	2013-01-01	31	31	25	0	31	31
541424	@rjhordan	2013-04-01	3	3	0	0	3	3
541424	@rjhordan	2014-11-01	2	2	1	0	2	2
353000	Adad95	2010-10-01	5	5	2	0	6	5
353000	Adad95	2012-06-01	9	4	8	0	9	4
1816789	Adormo	2013-12-01	3	3	3	0	4	3
139043	AlNo	2009-07-01	6251	5503	3165	67	6251	5503
139043	AlNo	2009-08-01	9390	8617	6959	40	9390	8617
139043	AlNo	2009-09-01	4727	4217	2754	33	4728	4217
139043	AlNo	2009-10-01	1829	1777	1050	2	1830	1777
139043	AlNo	2009-11-01	3697	3402	2726	8	3698	3402
139043	AlNo	2009-12-01	10141	9956	8628	113	10142	9956
139043	AlNo	2010-01-01	20045	19727	17816	66	20045	19727
139043	AlNo	2010-02-01	6710	6591	6274	2	6710	6591
139043	AlNo	2010-04-01	163	162	151	0	163	162
139043	AlNo	2010-05-01	7052	6842	5912	4	7052	6842
139043	AlNo	2010-06-01	1807	1791	1531	4	1807	1791
139043	AlNo	2010-07-01	15214	14953	13186	35	15214	14953
139043	AlNo	2010-08-01	2238	2157	1970	2	2239	2157
139043	AlNo	2010-11-01	16553	16309	15631	63	16553	16309
139043	AlNo	2010-12-01	3905	3526	3460	13	3905	3526
139043	AlNo	2011-01-01	1348	1239	1252	8	1348	1239
139043	AlNo	2011-03-01	641	614	584	0	641	614
139043	AlNo	2011-04-01	11679	10658	10137	81	11713	10680
139043	AlNo	2011-05-01	3886	3661	3613	4	3852	3639
139043	AlNo	2011-06-01	13804	12540	13052	44	13804	12540
139043	AlNo	2011-07-01	2357	1996	2261	9	2357	1996
139043	AlNo	2011-08-01	4349	4218	4125	1	4349	4218
139043	AlNo	2011-09-01	4516	4385	2850	0	4517	4385
139043	AlNo	2011-11-01	1662	1581	1190	0	1662	1581
139043	AlNo	2012-01-01	21	22	15	0	22	22
139043	AlNo	2012-02-01	400	384	258	0	401	384
139043	AlNo	2012-03-01	804	799	569	0	804	799
139043	AlNo	2012-04-01	384	358	333	0	384	358
139043	AlNo	2012-05-01	7663	7617	7636	10	7663	7617
139043	AlNo	2012-06-01	4916	4854	4869	2	4916	4854
139043	AlNo	2012-07-01	1500	1360	1372	0	1500	1360
139043	AlNo	2012-08-01	2799	2088	2618	0	2799	2088
139043	AlNo	2013-02-01	17	15	10	0	18	15
139043	AlNo	2013-10-01	336	331	301	1	336	331
139043	AlNo	2013-11-01	4368	4326	4333	2	4368	4326
139043	AlNo	2014-02-01	32	33	24	0	33	33
139043	AlNo	2014-03-01	2459	2303	2286	5	2459	2303
139043	AlNo	2014-10-01	21	16	20	0	21	16
59588	Alamo	2008-12-01	16034	2371	2366	4	16035	2371
1479464	Alan Silva	2013-05-01	4	4	3	1	4	4
2046858	Alanderson	2014-04-01	32	32	31	0	32	32
1897624	Alberto Carneiro	2014-01-01	14	11	11	0	14	11
85218	Aleks-Berlin	2014-11-01	78	1	57	0	78	1
1297423	Alessandro83	2013-03-01	38	20	30	0	38	20
343624	Alex Gama	2010-09-01	1	1	0	0	1	1
882393	Alex Rolex Joias	2012-10-01	0	1	0	0	1	1
2246349	Alex_Silva	2014-08-01	1	0	0	0	1	0
149097	AlexanderF	2010-01-01	0	0	0	0	1	0
226013	Alexandre Cosendey	2010-01-01	41	3	17	0	42	3
2016434	Alexandre Miranda	2014-04-01	4	1	0	0	5	1
171085	Alexandre Nascimento	2009-09-01	17	16	15	0	17	16
171085	Alexandre Nascimento	2011-12-01	1	1	0	0	1	1
578482	Alexandre1973	2012-03-01	0	1	0	0	1	1
840688	AlexandreNery	2012-08-01	5	6	4	0	6	6
893594	Alexandrecw	2012-09-01	12606	10513	10138	3	12606	10513
893594	Alexandrecw	2012-10-01	43323	41090	39816	18	43323	41090
