uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
31138	5EE	2009-09-01	2166	509	1184	0	2167	509
31138	5EE	2009-10-01	392	57	218	0	392	57
31138	5EE	2009-12-01	6	6	3	0	7	6
2049407	96_Pablo	2014-04-01	33	31	31	0	33	31
21323	AE35	2013-04-01	0	0	0	0	1	0
1122654	AHerrera	2012-12-01	1	1	0	0	1	1
1232726	AKHilario	2013-02-01	1	0	0	0	1	0
40023	ALE!	2010-02-01	564	529	412	8	565	529
40023	ALE!	2010-03-01	3693	3276	2922	22	3694	3276
40023	ALE!	2011-01-01	6	4	5	1	6	4
40023	ALE!	2012-02-01	103	70	83	0	104	70
40023	ALE!	2013-01-01	32	32	15	0	32	32
40023	ALE!	2013-03-01	574	390	390	0	575	390
40023	ALE!	2013-06-01	206	164	128	0	206	164
40023	ALE!	2013-07-01	445	211	311	0	446	211
40023	ALE!	2013-08-01	1172	594	925	0	1173	594
40023	ALE!	2013-09-01	3851	1394	2933	0	3852	1394
40023	ALE!	2013-10-01	3791	1341	3255	0	3791	1341
40023	ALE!	2013-11-01	1308	425	1010	0	1309	425
40023	ALE!	2013-12-01	1196	535	1167	0	1196	535
40023	ALE!	2014-01-01	2198	1210	2044	0	2300	1271
40023	ALE!	2014-02-01	1087	860	1040	0	985	799
40023	ALE!	2014-03-01	825	360	769	0	864	379
40023	ALE!	2014-04-01	1606	680	1521	0	1567	661
40023	ALE!	2014-05-01	507	328	486	0	507	328
40023	ALE!	2014-06-01	811	463	715	0	812	463
40023	ALE!	2014-07-01	327	204	324	0	327	204
40023	ALE!	2014-08-01	62	30	41	0	62	30
40023	ALE!	2014-09-01	726	440	709	0	726	440
40023	ALE!	2014-10-01	438	63	375	0	438	63
40023	ALE!	2014-11-01	124	84	122	0	124	84
40023	ALE!	2014-12-01	61	36	59	0	61	36
40023	ALE!	2015-01-01	19	6	17	0	19	6
2275787	ALEAGUILERADE	2014-08-01	31	30	30	0	31	30
697778	ARTERIX7	2014-08-01	55	49	48	0	55	49
697778	ARTERIX7	2014-10-01	31	27	30	0	31	27
697778	ARTERIX7	2014-11-01	95	86	94	0	95	86
697778	ARTERIX7	2014-12-01	2	2	1	0	2	2
697778	ARTERIX7	2015-01-01	9	9	8	0	9	9
609079	AdinaB	2012-06-01	0	0	0	0	1	0
1751121	Al128	2013-09-01	122	81	73	0	122	81
365896	AlbertoAstorga	2010-11-01	325	3	263	0	325	3
1968090	Alecita	2014-03-01	13	6	10	0	13	6
2504640	Alejan	2014-12-01	1	0	0	0	1	0
85218	Aleks-Berlin	2014-11-01	1	0	1	0	2	0
164382	Alex Correa	2009-10-01	7	7	6	0	7	7
308191	Alfred!	2010-06-01	4	3	1	0	4	3
340846	Alsolcru	2010-08-01	0	1	0	0	1	1
870954	Altec	2012-09-01	0	0	0	0	1	0
1989642	Alvaro52	2014-03-01	3	1	2	0	3	1
439483	AlvaroUrzua	2011-05-01	1	1	0	0	1	1
1016290	Amaroussi	2014-08-01	2	0	2	0	3	0
308318	Amnios	2010-06-01	0	0	0	0	1	0
346364	Andreas29	2012-10-01	1	1	0	0	1	1
1973567	Andree Fouere	2014-03-01	6	1	5	0	6	1
426525	Andres Bahamondes	2011-03-01	34	23	10	0	35	23
544794	Andres Junge	2012-02-01	98	77	81	0	98	77
544794	Andres Junge	2013-05-01	10	3	8	0	10	3
2050819	Andres Junge (Yaykuy Bitcoin Chile)	2014-04-01	15	10	8	0	15	10
28686	Andres Valle	2008-02-01	13	13	10	1	14	13
2306890	AndresGB	2014-09-01	13	3	11	0	13	3
1951270	Andres_dp	2014-02-01	3	3	1	0	3	3
21778	Andrew McMillan	2008-08-01	30	30	18	0	31	30
242460	AndrewHightower	2010-03-01	11	11	10	0	11	11
242460	AndrewHightower	2011-04-01	11	11	9	0	11	11
871168	AnthraxTLITD	2012-09-01	84	20	64	0	85	20
111444	Anuro Croador	2009-03-01	211	18	25	0	212	18
111444	Anuro Croador	2009-04-01	10	0	5	0	10	0
111444	Anuro Croador	2010-11-01	0	0	0	0	1	0
111444	Anuro Croador	2011-05-01	1	1	0	0	1	1
2174209	Anzhelika	2014-07-01	1	0	0	0	1	0
446972	Anónimo	2011-06-01	1	1	0	0	1	1
446972	Anónimo	2011-07-01	10	10	6	0	11	10
446972	Anónimo	2011-10-01	31	21	27	0	31	21
446972	Anónimo	2011-11-01	419	331	288	0	419	331
446972	Anónimo	2012-01-01	805	751	712	0	806	751
446972	Anónimo	2012-02-01	889	513	727	0	889	513
446972	Anónimo	2012-03-01	59	41	53	0	59	41
446972	Anónimo	2012-05-01	591	462	432	0	591	462
446972	Anónimo	2012-06-01	441	269	375	0	441	269
446972	Anónimo	2013-04-01	25	21	22	0	25	21
446972	Anónimo	2013-06-01	11	9	10	0	11	9
446972	Anónimo	2014-04-01	462	256	457	0	462	256
273635	Aonikenk	2011-06-01	0	0	0	0	1	0
618813	ApokalipsyS	2013-11-01	0	0	0	0	1	0
93616	AppleSky	2009-01-01	22	0	7	0	23	0
340643	Arbaruk	2010-08-01	11	10	5	0	12	10
1913567	Arcontes	2014-02-01	1	0	1	0	2	0
220353	Arkanus	2010-01-01	5	0	2	0	6	0
674817	Armin Cifuentes	2012-05-01	7	0	0	0	8	0
70454	Arthas	2008-10-01	21	0	0	0	22	0
70454	Arthas	2008-11-01	154	0	18	0	155	0
435571	Arturo Santiago	2011-04-01	1528	1280	999	3	1528	1280
626122	ArturoDeutsch	2012-03-01	5	1	2	0	6	1
626122	ArturoDeutsch	2012-04-01	54	14	35	0	54	14
626122	ArturoDeutsch	2012-05-01	36	34	33	0	36	34
626122	ArturoDeutsch	2012-10-01	0	1	0	0	1	1
626122	ArturoDeutsch	2013-09-01	1	1	0	0	1	1
626122	ArturoDeutsch	2014-11-01	1	0	1	0	2	0
626122	ArturoDeutsch	2014-12-01	19	17	18	0	19	17
626155	Asimil	2014-06-01	1	1	0	0	1	1
196556	Awo	2011-07-01	123	124	24	0	124	124
196556	Awo	2012-05-01	38	20	18	0	39	20
196556	Awo	2014-07-01	270	255	268	0	270	255
196556	Awo	2014-08-01	119	100	100	0	119	100
196556	Awo	2014-09-01	266	229	261	0	266	229
196556	Awo	2014-10-01	64	56	63	0	64	56
196556	Awo	2014-11-01	37	35	36	0	37	35
196556	Awo	2014-12-01	1	1	0	0	1	1
45652	B1mbo	2014-04-01	1	0	0	0	1	0
45652	B1mbo	2014-05-01	0	1	0	0	1	1
45652	B1mbo	2014-09-01	7	0	6	0	7	0
45652	B1mbo	2014-12-01	14	14	13	0	14	14
408202	BFX	2012-10-01	2	0	0	0	2	0
37109	Baruch	2009-06-01	0	0	0	0	1	0
3516	BiIbo	2008-06-01	0	0	0	0	1	0
3516	BiIbo	2009-02-01	11	0	5	0	11	0
3516	BiIbo	2010-11-01	1	0	0	0	1	0
3516	BiIbo	2011-04-01	1	0	0	0	1	0
1926784	BiciPunto	2014-02-01	8	6	6	0	8	6
329453	Biff	2013-06-01	1	0	0	0	1	0
567282	Blackemo	2011-12-01	2333	104	534	0	2334	104
988540	Bleaplaza	2012-10-01	4	1	2	0	4	1
1836471	Blobo123	2013-12-01	2	0	1	0	2	0
629794	BobSt	2012-03-01	1	0	0	0	1	0
355242	Bryce C Nesbitt	2015-01-01	1	1	0	0	1	1
166129	BugBuster	2009-09-01	0	0	0	0	1	0
166129	BugBuster	2009-10-01	3	0	0	0	4	0
1960024	BuganiniQ	2014-05-01	19	0	9	0	20	0
331224	Burrope	2010-08-01	588	209	194	0	589	209
331224	Burrope	2010-09-01	134	33	45	0	135	33
1311559	Byron Pisero	2013-03-01	21	21	20	0	21	21
435124	CATA	2011-04-01	93	32	16	0	94	32
1849524	CD-07508	2013-12-01	1	1	0	0	1	1
255500	COYOT3ON3	2010-04-01	36	0	21	0	36	0
1870551	CReyes	2014-01-01	49	43	48	0	49	43
1988340	Caamilogfx	2014-03-01	1	1	0	0	1	1
614053	Cabezon	2012-03-01	95	13	57	0	95	13
614053	Cabezon	2012-09-01	13	2	8	0	14	2
614053	Cabezon	2013-05-01	161	45	155	0	161	45
1959208	Camilo Mercado	2014-02-01	0	0	0	0	20	15
1959208	Camilo Mercado	2014-03-01	47	39	46	0	27	24
2245553	CamiloGTR	2014-08-01	9	6	8	0	9	6
174822	Canabis	2012-02-01	0	0	0	0	1	0
687664	Carlos Allende	2012-05-01	4	4	0	0	4	4
167144	Carlos Troncoso	2009-09-01	26	5	9	0	27	5
