uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
32651	--IKS--	2009-06-01	71	71	70	0	71	71
2014880	00rac	2014-04-01	2	2	1	0	2	2
2264883	11mission	2014-08-01	10	10	9	0	10	10
542575	123maps	2013-09-01	6	6	2	0	6	6
170672	1248	2010-02-01	23	0	21	0	23	0
1872555	1530291	2014-01-01	5	3	2	0	5	3
1513091	1dnorlund	2013-06-01	9	9	8	0	9	9
1317293	2003900	2013-03-01	1	1	0	0	1	1
37392	25or6to4	2009-09-01	8	1	4	0	8	1
37392	25or6to4	2010-02-01	0	1	0	0	1	1
37392	25or6to4	2012-11-01	2	2	1	0	2	2
42429	42429	2009-03-01	212	2	26	0	213	2
42429	42429	2011-10-01	36	14	3	0	37	14
1679550	49fourdoorsedan	2013-07-01	5	5	3	0	5	5
745841	503Greg	2012-10-01	12	0	7	0	13	0
2084794	515rlb	2014-05-01	2	2	1	0	2	2
2275413	883Rrider	2014-08-01	679	635	652	0	679	635
2275413	883Rrider	2014-12-01	1	1	0	0	1	1
1735688	>LAND	2014-01-01	28	21	17	0	28	21
2014627	AAH96	2014-04-01	1	1	0	0	1	1
2559994	AD206	2015-01-01	6	5	5	0	6	5
21323	AE35	2012-11-01	2	0	1	0	2	0
122516	ALeDonne	2013-11-01	8	5	7	0	8	5
838709	AMY-jin	2012-12-01	1	1	0	0	1	1
2354418	AMouthyPotato	2014-09-01	1	1	0	0	1	1
53073	Aaron Lidman	2014-02-01	1	1	0	0	1	1
2142390	Aaron Nguyen	2014-06-01	1	1	0	0	1	1
27328	Aaron Racicot	2011-03-01	13	13	8	0	13	13
27328	Aaron Racicot	2012-02-01	269	244	237	0	269	244
985491	Aaron's Bicycle Repair	2012-10-01	0	1	0	0	1	1
985491	Aaron's Bicycle Repair	2013-09-01	1	0	1	0	2	0
447760	AaronPeterson	2011-05-01	23	22	22	0	24	22
923244	AbbigaleC	2012-09-01	0	1	0	0	1	1
1200642	Abby BMI	2013-01-01	2	2	1	0	3	2
