uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1524781	11이현신	2013-06-01	37	37	36	0	37	37
1524713	3245wrefgdhbvb	2013-06-01	34	32	30	0	35	32
42429	42429	2013-04-01	877	529	636	0	877	529
42429	42429	2013-05-01	1037	887	831	0	1037	887
42429	42429	2014-10-01	49	48	48	0	49	48
42429	42429	2014-11-01	205	204	203	2	205	204
42429	42429	2015-10-01	16	10	15	0	16	10
672137	8iseoii	2012-05-01	1	1	0	0	1	1
387507	Agmenor	2011-07-01	1	1	0	0	1	1
687318	Aideny	2012-05-01	1	1	0	0	1	1
705333	Albertus Liberius	2012-06-01	1345	1089	974	0	1345	1089
705333	Albertus Liberius	2012-08-01	311	245	197	0	312	245
705333	Albertus Liberius	2012-10-01	61	58	51	0	61	58
705333	Albertus Liberius	2012-11-01	46	46	41	0	47	46
705333	Albertus Liberius	2012-12-01	57	57	56	0	57	57
705333	Albertus Liberius	2013-02-01	0	0	0	0	1	0
705333	Albertus Liberius	2013-09-01	34	23	15	0	35	23
705333	Albertus Liberius	2013-11-01	88	75	74	0	89	75
705333	Albertus Liberius	2013-12-01	316	269	272	0	316	269
705333	Albertus Liberius	2014-08-01	99	76	81	0	99	76
705333	Albertus Liberius	2014-10-01	762	668	677	0	763	668
705333	Albertus Liberius	2014-11-01	175	162	139	0	175	162
705333	Albertus Liberius	2015-03-01	6	0	5	0	6	0
705333	Albertus Liberius	2015-10-01	66	59	65	0	66	59
705333	Albertus Liberius	2015-11-01	169	139	164	0	169	139
705333	Albertus Liberius	2015-12-01	154	147	153	0	154	147
705333	Albertus Liberius	2016-01-01	181	171	180	0	181	171
85218	Aleks-Berlin	2015-06-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-11-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-12-01	1	0	0	0	1	0
85218	Aleks-Berlin	2016-01-01	1	0	0	0	1	0
613232	Amigos_Conmigo	2012-03-01	2	1	1	0	2	1
613232	Amigos_Conmigo	2012-06-01	4	4	3	0	4	4
113813	AndersAndersson	2010-11-01	0	0	0	0	1	0
1785022	Andrew Hazlett	2014-02-01	5	6	2	0	6	6
1785022	Andrew Hazlett	2014-03-01	47	4	41	0	47	4
2332839	AndrewJD2	2014-10-01	4	4	4	0	5	4
2332839	AndrewJD2	2014-11-01	16	15	14	0	16	15
2332839	AndrewJD2	2015-07-01	49	49	45	0	49	49
2332839	AndrewJD2	2015-09-01	4	4	3	0	4	4
1794594	Anne10	2013-11-01	14	11	10	0	14	11
499426	Ant_SY	2011-08-01	58	50	40	0	59	50
687329	Anthony-Chris	2012-05-01	1	1	0	0	2	1
96181	April	2009-02-01	38	0	0	0	39	0
38066	ArjanO	2011-10-01	1	1	0	0	1	1
38066	ArjanO	2011-11-01	3	4	0	0	4	4
2303021	BABABA	2014-09-01	0	0	0	0	1	0
670341	BBIBBIBi	2012-04-01	2	1	1	0	2	1
816596	BJ Kim	2012-08-01	18	12	9	0	18	12
1956589	BONGSAM	2014-02-01	35	33	28	0	35	33
1956589	BONGSAM	2015-02-01	56	53	46	0	56	53
