uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
251844	*B*	2010-03-01	31	0	27	0	32	0
253127	*socks*	2010-12-01	97	98	12	0	98	98
113739	--Mark--	2009-04-01	8	0	6	0	8	0
7017	1guess	2007-03-01	52	53	10	0	0	0
7017	1guess	2007-04-01	285	286	71	17	339	339
7017	1guess	2007-05-01	6	7	0	0	7	7
7017	1guess	2007-11-01	142	78	22	0	143	78
7017	1guess	2008-02-01	59	53	5	0	60	53
7017	1guess	2008-03-01	334	323	79	0	335	323
7017	1guess	2008-06-01	0	0	0	0	1	0
7017	1guess	2008-12-01	37	19	19	0	37	19
7017	1guess	2009-01-01	382	35	37	0	383	35
7017	1guess	2009-03-01	52	0	18	0	53	0
7017	1guess	2009-08-01	7	4	2	0	8	4
7017	1guess	2010-12-01	80	66	67	0	80	66
7017	1guess	2011-06-01	4	4	3	0	4	4
1965170	2046smh	2014-03-01	603	603	590	0	603	603
113738	30asp	2009-04-01	14	6	1	0	15	6
113738	30asp	2009-05-01	4	2	0	0	5	2
113738	30asp	2009-08-01	78	23	20	0	79	23
113738	30asp	2014-09-01	1	1	0	0	2	1
113738	30asp	2014-10-01	13	9	12	0	13	9
654753	3ln	2012-04-01	127	127	126	0	127	127
654753	3ln	2012-12-01	31	17	27	0	31	17
42429	42429	2011-05-01	29	10	8	0	29	10
42429	42429	2011-11-01	330	256	256	0	331	256
2443200	4T2ZxQZV	2014-11-01	2	1	1	0	2	1
1420318	4b696d	2015-01-01	177	69	115	0	178	69
1420318	4b696d	2015-05-01	65	8	38	0	66	8
991349	4ebees	2012-10-01	15	14	14	0	15	14
991349	4ebees	2014-01-01	31	31	29	0	32	31
1240109	5hwb	2013-02-01	41	29	38	0	41	29
1240109	5hwb	2013-03-01	19	0	17	0	19	0
1240109	5hwb	2013-04-01	60	57	58	0	60	57
1240109	5hwb	2014-05-01	45	45	36	0	45	45
1240109	5hwb	2014-10-01	3	3	0	0	4	3
1240109	5hwb	2016-01-01	15	11	14	0	15	11
575631	74t3r	2011-12-01	1	1	1	0	2	1
1238	80n	2008-01-01	1	0	0	0	1	0
1172604	84ace	2012-12-01	5	4	4	0	5	4
906723	92037	2012-09-01	8	1	1	0	8	1
104353	99of9	2009-03-01	9	0	7	0	9	0
505011	99scilla111	2011-08-01	3	3	3	0	4	3
1532724	A Warnock	2013-06-01	1	1	0	0	1	1
2219245	ABsTraCt cafe oz	2014-07-01	5	6	5	0	6	6
95410	AKeats	2009-02-01	311	7	7	0	312	7
2643389	ALZH	2015-07-01	6	6	5	0	6	6
2382064	ASTCA	2014-10-01	2	1	1	0	2	1
1781546	Abbe98	2015-02-01	18	13	0	0	19	13
561418	AdamCJones	2011-11-01	1	1	0	0	1	1
2371613	AdamEdgley	2014-10-01	3	0	2	0	3	0
1850371	Addyboddo	2014-09-01	2	0	1	0	2	0
344371	Agesworth	2010-09-01	2	2	1	0	3	2
2886280	Aglatong	2015-05-01	12	12	11	0	12	12
2174816	AlanSydney	2014-07-01	5	5	1	0	5	5
551209	Alanl	2011-11-01	269	266	254	5	269	266
473104	AlaskaDave	2014-05-01	8	2	7	0	8	2
637777	Albert1955	2012-03-01	6	6	5	0	6	6
85218	Aleks-Berlin	2014-10-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-06-01	0	0	0	0	1	0
85218	Aleks-Berlin	2015-11-01	2	0	1	0	2	0
2269937	Alex Brak	2014-08-01	3	3	2	0	3	3
1964680	Alex645654	2014-03-01	8	3	7	0	8	3
1874371	AlexCoric	2014-01-01	4	4	3	0	4	4
296984	AlexDeem	2010-06-01	1	2	0	0	2	2
1949545	AlexHamiltonAUS	2014-02-01	10	1	0	0	11	1
1949545	AlexHamiltonAUS	2014-04-01	4	4	2	0	4	4
79475	AlexOnTheBus	2010-09-01	685	365	430	0	686	365
79475	AlexOnTheBus	2010-10-01	265	127	96	0	265	127
79475	AlexOnTheBus	2013-06-01	2003	860	1184	0	2003	860
335845	Alfski	2010-08-01	8	3	6	0	8	3
335845	Alfski	2011-02-01	15	16	11	0	16	16
335845	Alfski	2013-08-01	19	0	5	0	19	0
1592128	Allan Adolphson	2013-06-01	5	5	4	0	5	5
916567	AlmightyOlive	2012-09-01	65	1	22	0	65	1
933763	AloisMusil	2012-10-01	2	0	1	0	2	0
541283	Alpha Beta	2011-10-01	6	4	3	0	7	4
1874263	Altonius	2014-01-01	170	145	148	0	171	145
535676	Amber Blair	2011-10-01	12	1	12	0	13	1
353043	Anders Hovmöller	2012-11-01	3	3	2	0	3	3
31231	Andre68	2009-03-01	8	0	3	0	9	0
31231	Andre68	2009-08-01	1	0	0	0	1	0
31231	Andre68	2012-02-01	2	1	1	0	2	1
31231	Andre68	2014-04-01	5	0	4	0	5	0
1889	Andrew	2006-04-01	31	32	6	19	32	32
12562	Andrew Bennetts	2007-08-01	11	12	1	0	12	12
12562	Andrew Bennetts	2011-06-01	5	5	4	0	5	5
189580	Andrew Calvin	2009-10-01	26	17	15	0	26	17
189580	Andrew Calvin	2010-07-01	5	6	0	0	6	6
189580	Andrew Calvin	2011-04-01	33	27	21	0	33	27
