uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1819875	22HERTZ	2013-11-01	3	3	2	0	3	3
2456530	23WLakeshore	2014-11-01	4	4	3	0	4	4
538338	2JOUR	2011-10-01	4	2	1	0	4	2
80605	2dfx	2008-11-01	526	0	2	0	970	0
80605	2dfx	2008-12-01	872	0	193	0	430	0
80605	2dfx	2009-02-01	604	0	38	0	605	0
80605	2dfx	2009-03-01	917	13	187	0	918	13
362425	3023ogilvyd	2010-10-01	4	2	3	0	5	2
42429	42429	2012-05-01	162	57	156	0	162	57
42429	42429	2012-06-01	597	297	567	0	597	297
42429	42429	2013-01-01	6	2	5	0	6	2
113934	554	2009-04-01	229	0	92	0	229	0
500871	68arti	2012-12-01	193	194	184	0	194	194
47064	7503146	2014-09-01	6	3	5	0	6	3
302341	A Linstrum 	2010-06-01	0	1	0	0	1	1
443004	A1ik	2011-04-01	0	1	0	0	1	1
247674	ALAMBAS	2010-03-01	5	4	2	0	6	4
1363264	APAssociates	2013-04-01	4	4	3	0	4	4
1103322	ARiddZ	2013-01-01	24	0	23	0	24	0
94442	AS1	2009-01-01	40	0	18	0	41	0
622527	Aamirb	2012-03-01	18	14	7	0	18	14
83120	Adam_Canada	2008-12-01	235	0	0	0	236	0
83120	Adam_Canada	2009-01-01	299	0	5	0	300	0
83120	Adam_Canada	2009-04-01	49	0	13	0	50	0
6616	Adamm	2007-07-01	16	16	14	7	16	16
6616	Adamm	2007-08-01	27	27	12	13	27	27
501026	Adi900	2011-08-01	1	2	1	0	2	2
501026	Adi900	2011-10-01	330	330	239	0	330	330
1373507	Adrian Borrmann	2013-04-01	2	0	1	0	3	0
671464	AidenM	2012-04-01	0	0	0	0	2	2
671464	AidenM	2012-05-01	2	2	1	0	0	0
26869	Ailatix	2009-01-01	4	2	1	0	5	2
324428	Alan Page	2010-07-01	16	7	5	0	16	7
324428	Alan Page	2010-08-01	4	2	1	0	4	2
473104	AlaskaDave	2013-02-01	0	0	0	0	1	0
654379	Alex Jenkins	2012-05-01	0	1	0	0	1	1
2460232	AlexTheTechGuy	2014-11-01	0	1	0	0	1	1
149097	AlexanderF	2009-12-01	3	0	1	0	4	0
677361	AlfredoArias	2012-05-01	4	1	1	0	5	1
311694	Alistair Boyer	2010-06-01	0	0	0	0	1	0
977708	Alsone	2012-10-01	424	164	350	0	424	164
1189040	Amazing77	2013-01-01	2	3	2	0	3	3
767873	Ami Ganguli	2012-07-01	0	0	0	0	1	0
2182734	Anandt	2014-07-01	15	12	7	0	16	12
1869781	AndiG88	2014-07-01	17	0	17	0	18	0
4054	Andre Engels	2013-02-01	0	1	0	0	1	1
1203960	Andre Pereira	2013-01-01	21	0	20	0	21	0
31231	Andre68	2009-04-01	3	0	1	0	3	0
31231	Andre68	2009-08-01	43	0	12	0	44	0
592819	Andrew Fish	2013-12-01	181	105	179	0	181	105
13492	Andrew Irwin	2008-04-01	73	73	0	2	74	73
165756	Andrew Overholt	2009-08-01	5	5	4	0	5	5
165756	Andrew Overholt	2009-09-01	2	2	1	0	2	2
34114	Andry	2008-04-01	8	9	1	0	9	9
34114	Andry	2009-07-01	23	18	1	0	24	18
34114	Andry	2011-03-01	2	3	0	0	3	3
1894290	Andybeller	2014-01-01	4	2	0	0	5	2
1424539	AnjoMan	2014-11-01	24	19	23	0	24	19
711251	Ansar88	2012-06-01	2	1	0	0	2	1
91313	Aquarius47	2009-01-01	354	0	31	0	355	0
137541	ArbiterXero	2014-05-01	117	111	102	0	117	111
137541	ArbiterXero	2014-06-01	5436	5136	5266	0	5436	5136
1868955	ArcherofSkye	2014-01-01	4	0	3	0	4	0
2161419	Arcseco	2014-07-01	7	2	6	0	7	2
1342732	Arctic_1980	2013-09-01	0	0	0	0	1	0
55148	Artaxerxes	2009-04-01	19	0	7	0	20	0
2148385	Astro Marketing Ltd	2014-06-01	2	1	0	0	3	1
273047	Athir	2010-04-01	8	2	1	0	9	2
2103963	AtomSplitter97	2014-06-01	2	2	1	0	2	2
2055358	AtulOSM	2014-04-01	1	1	0	0	1	1
2055358	AtulOSM	2015-01-01	0	1	0	0	1	1
1675554	Augusto Chaves	2013-07-01	1	1	0	0	1	1
1244255	Aurelia Kyles	2013-03-01	1	2	0	0	2	2
136216	Avernar	2009-06-01	269	127	146	0	270	127
192395	BBO	2010-09-01	0	0	0	0	1	0
1753487	BDM391	2013-09-01	35	35	34	0	35	35
1828672	BEI Group	2013-12-01	0	1	0	0	1	1
234955	BJBond	2010-02-01	27	4	22	0	27	4
188012	BJC	2009-10-01	0	0	0	0	1	0
1988324	BQ Jones	2014-03-01	1	2	0	0	2	2
1893047	BareOaks	2014-01-01	31	12	24	0	31	12
1847875	Barnabas Khan	2013-12-01	4	4	3	0	4	4
1212573	Be A Mapper	2013-01-01	80	70	20	0	81	70
1212573	Be A Mapper	2013-04-01	1	0	0	0	2	0
1212573	Be A Mapper	2013-05-01	7	1	0	0	6	1
1212573	Be A Mapper	2013-06-01	3	1	2	0	4	1
1212573	Be A Mapper	2013-10-01	7	4	1	0	8	4
1212573	Be A Mapper	2014-01-01	9	4	6	0	9	4
1212573	Be A Mapper	2014-02-01	13	8	11	0	14	8
1212573	Be A Mapper	2014-03-01	120	43	97	0	120	43
1212573	Be A Mapper	2014-05-01	1	1	0	0	2	1
1212573	Be A Mapper	2014-06-01	16	7	3	0	17	7
1212573	Be A Mapper	2014-07-01	5	2	1	0	5	2
1212573	Be A Mapper	2014-09-01	5	2	2	0	5	2
1212573	Be A Mapper	2014-10-01	0	1	0	0	1	1
1212573	Be A Mapper	2014-11-01	14	10	11	0	14	10
26494	BeeRich	2008-02-01	0	0	0	0	1	0
15276	Ben Konrath	2009-07-01	386	25	219	0	386	25
15276	Ben Konrath	2009-08-01	3	0	2	0	3	0
15276	Ben Konrath	2009-09-01	2	2	1	0	3	2
15276	Ben Konrath	2009-10-01	1	1	0	0	1	1
15276	Ben Konrath	2009-11-01	42	1	32	0	42	1
15276	Ben Konrath	2009-12-01	1	2	1	0	2	2
15276	Ben Konrath	2010-01-01	0	0	0	0	1	0
15276	Ben Konrath	2011-07-01	3	3	2	0	3	3
15276	Ben Konrath	2012-05-01	4	0	1	0	5	0
