uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
187650	 Alex Duffield	2009-10-01	78	3	28	0	78	3
2418586	1547Gary	2014-10-01	0	1	0	0	1	1
42429	42429	2010-12-01	12	12	11	0	12	12
1420318	4b696d	2015-11-01	1	1	0	0	1	1
47064	7503146	2014-09-01	16	14	15	0	16	14
47064	7503146	2015-03-01	3	2	2	0	3	2
1735688	>LAND	2014-01-01	178	103	153	0	179	103
2416575	ACervantes	2014-10-01	48	40	47	0	48	40
1900122	ADITmax	2014-01-01	21	7	5	0	21	7
64065	AKC	2010-04-01	171	165	61	0	171	165
64065	AKC	2010-05-01	178	155	82	0	178	155
64065	AKC	2010-06-01	140	134	57	0	140	134
64065	AKC	2010-07-01	145	139	46	0	146	139
838709	AMY-jin	2012-08-01	3	2	0	0	4	2
1813957	AOEspiritu	2013-11-01	11	10	10	0	11	10
2483501	Aaliyah Lakeman	2014-11-01	11	11	10	0	11	11
930661	Aaron Hilton	2012-09-01	2	0	1	0	2	0
53073	Aaron Lidman	2013-06-01	3	4	0	0	4	4
53073	Aaron Lidman	2013-07-01	29	2	27	0	29	2
1963528	Achilnos	2014-03-01	25	20	8	0	26	20
5306	Adam Dunn	2007-01-01	38	39	13	11	39	39
5306	Adam Dunn	2007-02-01	128	129	40	35	129	129
5306	Adam Dunn	2008-06-01	11	12	0	3	12	12
5306	Adam Dunn	2008-07-01	1178	1046	435	77	1179	1046
5306	Adam Dunn	2008-08-01	40	39	32	6	41	39
5306	Adam Dunn	2008-09-01	96	31	0	0	97	31
5306	Adam Dunn	2008-10-01	160	139	6	0	161	139
5306	Adam Dunn	2008-11-01	21	15	0	0	22	15
5306	Adam Dunn	2009-02-01	1	0	0	0	2	0
5306	Adam Dunn	2009-04-01	27	23	2	0	28	23
5306	Adam Dunn	2009-06-01	4	3	1	0	5	3
5306	Adam Dunn	2009-07-01	0	1	0	0	1	1
5306	Adam Dunn	2009-10-01	25	6	7	0	26	6
5306	Adam Dunn	2009-11-01	9944	7617	5947	0	9945	7617
5306	Adam Dunn	2009-12-01	3469	2766	2261	0	3469	2766
5306	Adam Dunn	2010-01-01	4877	2845	3041	0	4877	2845
5306	Adam Dunn	2010-02-01	20747	17008	15573	1	20748	17008
5306	Adam Dunn	2010-07-01	145	146	97	0	146	146
5306	Adam Dunn	2010-10-01	202	182	107	0	203	182
5306	Adam Dunn	2011-02-01	1	1	0	0	1	1
5306	Adam Dunn	2011-03-01	7	4	0	0	8	4
332549	Adam Dunn Imports	2010-09-01	5	6	0	0	6	6
332549	Adam Dunn Imports	2010-10-01	183	178	60	0	184	178
1891976	AdamWill	2014-01-01	515	88	362	0	515	88
322409	Adra_	2010-07-01	11	6	10	0	11	6
3095	Alan	2007-09-01	3506	3507	368	104	3507	3507
3095	Alan	2008-02-01	21	22	0	0	22	22
3095	Alan	2008-03-01	683	660	138	10	684	660
3095	Alan	2008-04-01	68	42	3	0	69	42
3095	Alan	2008-05-01	28	24	19	0	29	24
