date	count	v1count	blankcount
2006-09-24	11	11	1
2006-11-02	8	8	1
2006-11-04	1	1	0
2007-01-27	2	2	1
2007-01-28	8	8	3
2007-01-31	1	1	1
2007-02-02	9	9	0
2007-02-05	33	33	3
2007-02-10	48	48	4
2007-02-11	4	4	0
2007-02-21	7	7	3
2007-02-22	15	15	2
2007-03-01	13	13	1
2007-03-04	2	2	2
2007-03-05	2	2	1
2007-03-08	1	1	0
2007-03-10	14	14	2
2007-03-17	56	56	2
2007-03-18	99	99	1
2007-03-19	29	29	2
2007-03-20	20	20	1
2007-03-21	10	10	0
2007-03-22	10	10	0
2007-03-24	1	1	0
2007-03-26	2	2	0
2007-03-28	18	18	2
2007-03-29	1	1	0
2007-03-30	1	1	0
2007-04-01	42	42	4
2007-04-04	1	1	1
2007-04-05	14	14	2
2007-04-08	27	27	1
2007-04-09	59	59	2
2007-04-10	3	3	0
2007-04-12	9	9	0
2007-04-14	10	10	0
2007-04-16	7	7	1
2007-04-19	20	20	1
2007-04-20	2	2	0
2007-04-23	70	70	0
2007-04-24	53	53	0
2007-04-30	19	19	0
2007-05-02	16	16	0
2007-05-03	9	9	0
2007-05-07	2	2	1
2007-05-23	3	3	1
2007-05-24	1	1	0
2007-06-07	11	11	0
2007-06-09	283	283	10
2007-06-10	387	387	4
2007-06-11	129	129	4
2007-06-12	82	82	4
2007-06-13	5	5	0
2007-06-14	75	75	0
2007-06-15	1	1	0
2007-06-16	16	16	0
2007-06-17	5	5	1
2007-06-19	18	18	1
2007-06-20	48	48	6
2007-06-21	45	45	0
2007-06-23	164	164	6
2007-06-26	115	115	4
2007-06-27	1	1	0
2007-06-28	51	51	3
2007-06-29	21	21	0
2007-06-30	5	5	0
2007-07-01	79	79	7
2007-07-02	43	43	1
2007-07-03	58	58	2
2007-07-04	81	81	1
2007-07-08	274	274	4
2007-07-09	20	20	0
2007-07-10	2	2	0
2007-07-11	1	1	0
2007-07-28	31	31	1
2007-08-08	12	12	0
2007-08-09	53	53	10
2007-08-10	14	14	2
2007-08-14	216	216	4
2007-08-21	82	82	2
2007-08-23	1	1	0
2007-08-24	1	1	0
2007-09-08	77694	77694	245
2007-09-13	1	1	0
2007-09-14	1	1	0
2007-09-20	2	2	0
2007-09-21	4	4	0
2007-09-23	1	1	0
2007-09-24	4	4	0
2007-09-25	90	90	1
2007-09-27	74	74	0
2007-09-28	68	68	0
2007-09-29	19	19	0
2007-09-30	80	80	1
2007-10-01	20	20	0
2007-10-03	34	34	0
2007-10-05	100	100	0
2007-10-06	31	31	0
2007-10-07	838	285	1
2007-10-08	220	124	0
2007-10-09	76	27	0
2007-10-10	1230	463	0
2007-10-11	892	250	0
2007-10-12	1106	430	0
2007-10-13	4	0	0
2007-10-14	874	95	0
2007-10-15	1970	646	0
2007-10-16	1661	455	0
2007-10-17	221	53	0
2007-10-18	136	43	0
2007-10-19	46	8	0
2007-10-20	17	17	0
2007-10-21	14	0	0
2007-10-22	137	60	0
2007-10-23	945	415	0
2007-10-25	1	0	0
2007-10-27	81	29	0
2007-10-28	525	436	0
2007-10-29	392	350	0
2007-10-30	102	65	0
2007-10-31	519	200	0
2007-11-01	277	95	0
2007-11-02	159	77	0
