date	count	v1count	blankcount
2006-04-17	27	27	19
2007-02-11	866	866	23
2007-02-12	1178	1178	30
2007-02-13	1582	1582	39
2007-02-14	14	14	0
2007-02-17	2089	2089	47
2007-02-18	704	704	18
2007-02-19	365	365	11
2007-02-21	112	112	3
2007-02-22	228	228	6
2007-02-23	658	658	18
2007-02-24	998	998	21
2007-03-10	23	23	0
2007-03-20	55	55	0
2007-03-21	88	88	6
2007-03-30	473	473	20
2007-06-30	11	11	0
2007-07-03	4145	4145	171
2007-07-04	11	11	0
2007-07-05	574	574	43
2007-07-06	1682	1682	184
2007-07-07	1	1	0
2007-07-10	61	61	16
2007-07-22	13	13	0
2007-07-23	95	95	3
2007-08-27	13	13	0
2007-08-28	129	129	1
2007-09-03	264	264	15
2007-09-04	166	166	16
2007-09-07	105	105	2
2007-09-11	8	8	0
2007-09-12	231	231	0
2007-09-13	82	82	0
2007-09-14	185	185	0
2007-09-15	86	86	0
2007-09-18	96	96	3
2007-09-21	52	52	0
2007-09-24	7	7	1
2007-09-25	370	370	17
2007-09-26	584	584	31
2007-09-27	1003	1003	18
2007-09-28	171	171	2
2007-09-29	42	42	0
2007-10-01	376	376	1
2007-10-03	558	558	1
2007-10-04	504	504	2
2007-10-05	308	308	0
2007-10-08	931	283	7
2007-10-09	28	12	0
2007-10-10	253	109	0
2007-10-11	49	15	0
2007-10-12	31	10	0
2007-10-13	28	18	0
2007-10-14	24	22	0
2007-10-15	1198	521	1
2007-10-16	93	52	0
2007-10-17	451	180	0
2007-10-18	2575	936	0
2007-10-19	522	147	0
2007-10-20	32	4	0
2007-10-23	22	1	0
2007-10-29	115	47	0
2007-10-30	175	60	0
2007-10-31	246	102	2
2007-11-01	261	70	0
2007-11-02	379	162	0
2007-11-03	113	17	0
2007-11-04	51	20	0
2007-11-05	937	365	13
2007-11-06	39	4	0
2007-11-07	268	26	0
2007-11-08	252	39	0
2007-11-09	275	50	0
2007-11-10	168	24	0
2007-11-11	198	130	0
2007-11-12	615	110	0
2007-11-13	2154	907	0
2007-11-14	199	36	0
2007-11-15	117	27	0
2007-11-16	52	11	0
2007-11-17	275	90	0
2007-11-18	4	1	0
2007-11-20	4	2	0
2007-11-21	574	283	0
2007-11-22	9	1	0
2007-11-23	71	28	0
2007-11-24	92	9	0
2007-11-25	589	220	2
2007-11-26	266	132	0
2007-11-27	864	772	1
2007-11-28	803	292	3
2007-11-29	115	32	0
2007-11-30	1269	529	7
2007-12-03	947	389	0
2007-12-04	26	9	0
2007-12-05	140	100	0
2007-12-09	4	2	0
2007-12-10	130	37	0
2007-12-11	304	90	0
2007-12-16	44	0	0
2007-12-19	545	136	0
2007-12-21	1	1	1
2007-12-24	38	31	0
2008-01-01	53	37	0
2008-01-25	47	0	0
2008-01-27	1	0	0
2008-02-10	84	83	0
2008-02-17	2	0	0
2008-02-18	18	4	0
2008-02-22	34	34	0
2008-03-06	200	150	4
2008-03-07	114	101	0
2008-03-08	59	47	1
2008-03-09	212	193	0
2008-03-10	1	0	0
2008-03-11	54	47	0
2008-03-12	21	8	0
2008-03-13	17	11	0
2008-03-15	79	26	0
2008-03-18	4	4	0
2008-03-20	178	123	7
2008-03-25	7	0	0
2008-03-26	7	2	0
2008-03-27	144	132	11
2008-03-28	123	101	10
2008-03-29	75	61	1
2008-04-01	13	7	0
2008-04-03	22	0	0
2008-04-04	483	0	0
2008-04-05	1082	905	8
2008-04-06	48	25	0
2008-04-09	45	16	0
2008-04-10	6	6	0
2008-04-13	1	1	0
2008-04-16	6	3	0
2008-04-17	82	64	0
2008-04-19	222	142	0
2008-04-20	323	168	4
2008-04-21	1046	875	0
2008-04-22	1326	1066	0
2008-04-23	919	666	0
2008-04-24	167	118	0
2008-04-25	1131	1113	15
2008-04-26	1952	1912	3
2008-04-28	540	478	0
2008-04-29	181	128	0
2008-04-30	702	533	0
2008-05-01	284	169	0
2008-05-02	24	13	0
2008-05-03	773	623	0
2008-05-04	550	371	0
2008-05-05	306	240	0
2008-05-06	806	602	0
2008-05-07	98	53	0
2008-05-08	221	181	1
2008-05-09	134	86	0
2008-05-11	2	0	0
2008-05-12	46	45	0
2008-05-14	27	1	0
2008-05-15	46	46	0
2008-05-17	3	2	0
2008-05-18	1097	797	0
2008-05-19	904	727	3
2008-05-20	882	523	0
2008-05-21	80	20	0
2008-05-22	478	377	0
2008-05-23	475	359	1
2008-05-24	510	315	0
2008-05-25	501	322	0
2008-05-26	539	397	0
2008-05-27	95	58	0
2008-05-28	40	28	0
2008-05-30	291	206	0
2008-05-31	1841	1388	0
2008-06-01	1807	1567	3
2008-06-02	1541	1455	22
2008-06-03	168	109	0
2008-06-04	6	1	0
2008-06-05	362	329	0
2008-06-06	225	204	6
2008-06-07	2	1	0
2008-06-08	379	364	0
2008-06-09	254	247	4
2008-06-10	36	20	0
2008-06-11	228	165	0
2008-06-12	277	240	0
2008-06-13	39	28	0
2008-06-14	20	13	0
2008-06-15	128	99	0
2008-06-16	153	83	0
2008-06-17	277	247	4
2008-06-18	64	56	0
2008-06-21	31	28	0
2008-06-23	22	15	0
2008-06-24	58	34	1
2008-06-25	49	39	0
2008-06-26	1	0	0
2008-06-27	64	0	0
2008-06-28	6	2	0
2008-06-29	1	1	0
2008-07-01	1	0	0
2008-07-03	16	5	0
2008-07-04	7	0	0
2008-07-09	203	175	0
2008-07-11	219	152	0
2008-07-13	892	570	0
2008-07-14	309	43	0
2008-07-15	17	0	0
2008-07-17	26	26	0
2008-07-18	12	8	0
2008-07-19	10	10	0
2008-07-20	3	1	0
2008-07-22	111	104	0
2008-07-24	25	22	0
2008-07-28	503	302	8
2008-07-29	2055	161	3
2008-07-30	11	11	0
2008-07-31	25	25	0
2008-08-01	1	0	0
2008-08-02	2	0	0
2008-08-03	130	93	1
2008-08-04	49	20	0
2008-08-05	128	96	0
2008-08-06	27	23	0
2008-08-07	450	346	0
2008-08-08	45	45	0
2008-08-09	290	234	0
2008-08-12	3	1	0
2008-08-14	3	2	0
2008-08-15	907	788	0
2008-08-18	90	70	0
2008-08-20	2	0	0
2008-08-21	73	69	0
2008-08-22	25	17	0
2008-08-23	275	208	0
2008-08-24	2	1	0
2008-08-25	577	571	6
2008-08-26	474	451	0
2008-08-28	720	520	0
2008-08-29	111	86	0
2008-08-30	1275	1257	10
2008-08-31	3757	3389	0
2008-09-01	1760	1715	23
2008-09-02	13	13	0
2008-09-03	173	149	0
2008-09-04	39	29	0
2008-09-05	10	8	0
2008-09-06	1104	1008	0
2008-09-07	445	380	0
2008-09-08	355	350	0
2008-09-09	636	537	2
2008-09-10	106	105	0
2008-09-11	548	524	2
2008-09-12	659	620	11
2008-09-13	863	764	0
2008-09-14	361	330	0
2008-09-15	103	80	0
2008-09-16	54	49	0
2008-09-17	5	0	0
2008-09-18	548	495	0
2008-09-19	18	9	0
2008-09-21	8	8	0
2008-09-22	27	26	0
2008-09-23	1	0	0
2008-09-25	120	115	0
2008-09-26	148	94	0
2008-09-27	142	128	0
2008-09-28	729	628	2
2008-09-29	2576	2569	2
2008-09-30	734	89	0
2008-10-01	233	158	0
2008-10-02	48	44	0
2008-10-03	402	277	0
2008-10-04	324	202	0
2008-10-06	474	474	1
2008-10-07	2622	829	1
2008-10-08	606	87	0
2008-10-10	294	293	0
2008-10-11	304	304	0
2008-10-12	55	5	0
2008-10-13	275	12	0
2008-10-17	48	0	0
2008-10-18	707	207	0
2008-10-19	4988	116	0
2008-10-21	272	96	1
2008-10-22	130	129	0
2008-10-23	1	1	0
2008-10-25	439	136	0
2008-10-26	583	268	0
2008-10-27	268	25	0
2008-10-29	1261	66	0
