date	count	v1count	blankcount
2005-11-16	1	1	1
2005-12-09	6	6	4
2006-05-26	6	6	3
2007-02-19	379	379	58
2007-02-20	120	120	10
2007-02-21	68	68	1
2007-02-23	28	28	1
2007-02-25	12	12	2
2007-02-28	115	115	4
2007-03-01	97	97	2
2007-03-05	59	59	8
2007-03-06	28	28	2
2007-03-07	91	91	6
2007-03-11	199	199	47
2007-03-12	268	268	14
2007-03-13	142	142	7
2007-03-15	55	55	0
2007-03-17	70	70	9
2007-03-18	2	2	2
2007-03-19	30	30	1
2007-03-20	64	64	0
2007-03-21	29	29	0
2007-03-23	36	36	3
2007-03-26	50	50	41
2007-03-27	28	28	7
2007-03-28	3	3	0
2007-04-02	2	2	0
2007-05-14	69	69	5
2007-06-10	47	47	3
2007-06-11	1	1	0
2007-06-12	124	124	5
2007-06-14	726	726	23
2007-06-19	288	288	23
2007-06-20	167	167	46
2007-06-24	119	119	6
2007-06-29	107	107	1
2007-07-02	24	24	4
2007-07-04	57	57	6
2007-07-19	35	35	2
2007-07-23	39	39	0
2007-07-24	259	259	74
2007-07-25	90	90	26
2007-07-26	417	417	115
2007-07-28	104	104	7
2007-07-30	157	157	30
2007-07-31	1	1	0
2007-08-01	88	88	4
2007-08-02	79	79	0
2007-08-03	194	194	1
2007-08-04	60	60	4
2007-08-06	95	95	5
2007-08-07	80	80	5
2007-08-08	4	4	2
2007-08-09	92	92	5
2007-08-10	301	301	6
2007-08-11	7	7	0
2007-08-13	33	33	0
2007-08-14	117	117	0
2007-08-15	25	25	0
2007-08-22	642	642	9
2007-08-23	244	244	7
2007-09-01	73	73	22
2007-09-06	1	1	0
2007-09-10	68	68	0
2007-09-14	112	112	5
2007-09-15	290	290	42
2007-09-16	73492	73492	1527
2007-09-17	5183	5183	8
2007-09-18	22	22	0
2007-09-19	635	635	21
2007-09-20	2173	2173	241
2007-09-21	76245	76245	2320
2007-09-22	70445	70445	1397
2007-09-23	336	336	1
2007-09-24	88	88	0
2007-09-25	572	572	0
2007-09-26	388	388	0
2007-09-27	508	508	21
2007-09-29	18	18	0
2007-09-30	1	1	0
2007-10-02	114	114	3
2007-10-03	517	517	5
2007-10-05	5683	5683	541
2007-10-06	54539	54539	870
2007-10-07	1173	763	5
2007-10-08	72	23	1
2007-10-09	152287	152233	2088
2007-10-11	171731	171416	1171
2007-10-12	998	39	0
2007-10-13	1342	51	0
2007-10-14	908	72	1
2007-10-15	1239	204	0
2007-10-16	1896	82	0
2007-10-17	620	54	0
2007-10-18	383	30	0
2007-10-19	1455	344	0
2007-10-20	169	2	0
2007-10-21	353	32	0
2007-10-22	745	92	0
2007-10-23	585	529	0
2007-10-24	677	275	0
2007-10-25	1195	795	1
2007-10-26	288	63	0
2007-10-27	6	0	0
2007-10-28	56187	56187	1364
2007-10-29	714	512	0
2007-10-30	2641	1190	0
2007-11-01	828	328	0
2007-11-02	5536	5536	260
2007-11-03	114	105	0
2007-11-04	1570	324	0
2007-11-05	1407	486	0
2007-11-06	750	331	1
2007-11-07	225	33	0
2007-11-08	1191	333	0
2007-11-10	290	11	0
2007-11-11	94	46	3
2007-11-12	39945	39709	1164
2007-11-13	5	0	0
2007-11-17	960	103	0
2007-11-18	6	0	0
2007-11-19	946	306	0
2007-11-20	486	426	0
2007-11-21	123	63	0
2007-11-23	8	8	0
2007-11-24	103	29	0
2007-11-25	183	14	0
2007-11-26	161	31	0
2007-11-27	169	8	0
2007-11-28	114	62	0
2007-12-01	199	97	0
2007-12-02	473	73	0
2007-12-03	138	22	0
2007-12-04	855	855	9
2007-12-06	278	138	0
2007-12-08	439	141	0
2007-12-09	624	620	96
2007-12-11	792	744	2
2007-12-12	639	23	0
2007-12-13	1424	1416	0
2007-12-14	2	0	0
2007-12-15	246	103	0
2007-12-16	1744	372	0
2007-12-18	229	25	0
2007-12-19	30	0	0
2007-12-21	23	21	0
2007-12-22	248	87	0
2007-12-23	758	333	0
2007-12-24	348	291	0
2007-12-25	289	120	0
2007-12-26	861	183	0
2007-12-27	362	40	0
2007-12-28	800	48	0
2007-12-29	393	39	0
2007-12-30	1950	227	0
2007-12-31	1052	186	0
2008-01-01	2299	422	0
2008-01-02	210	40	0
2008-01-03	505	135	0
2008-01-04	1022	190	0
