date	count	v1count	blankcount
2006-01-28	9	9	6
2006-02-01	50	50	14
2006-02-11	12	12	3
2006-08-05	23	23	6
2006-08-06	15	15	6
2006-09-24	15	15	7
2006-10-14	32	32	1
2006-10-28	28	28	14
2006-11-28	1	1	1
2006-11-30	6	6	1
2006-12-01	12	12	4
2006-12-03	37	37	11
2006-12-04	18	18	8
2006-12-06	34	34	13
2006-12-09	53	53	32
2006-12-11	13	13	6
2007-01-01	3	3	2
2007-01-10	7	7	1
2007-02-05	79	79	4
2007-02-17	14	14	1
2007-02-24	19	19	3
2007-02-25	6	6	4
2007-02-26	66	66	5
2007-02-27	37	37	2
2007-03-02	16	16	5
2007-03-15	78	78	5
2007-03-16	166	166	9
2007-03-17	21	21	3
2007-03-18	60	60	1
2007-03-19	44	44	7
2007-03-20	22	22	3
2007-03-21	45	45	2
2007-03-22	42	42	5
2007-03-23	38	38	2
2007-03-24	1063	1063	22
2007-03-25	361	361	13
2007-03-26	211	211	2
2007-03-27	181	181	2
2007-03-28	551	551	9
2007-03-29	62	62	2
2007-03-30	1103	1103	53
2007-03-31	328	328	3
2007-04-01	728	728	34
2007-04-02	124	124	3
2007-04-03	128	128	11
2007-04-04	152	152	2
2007-04-05	446	446	17
2007-04-06	111	111	6
2007-04-07	205	205	10
2007-04-08	419	419	15
2007-04-09	271	271	24
2007-04-10	187	187	4
2007-04-11	57	57	0
2007-04-12	406	406	23
2007-04-13	57	57	2
2007-04-14	298	298	12
2007-04-15	315	315	25
2007-04-16	404	404	6
2007-04-17	617	617	19
2007-04-18	381	381	14
2007-04-19	156	156	33
2007-04-20	299	299	23
2007-04-21	64	64	0
2007-04-22	571	571	9
2007-04-23	446	446	8
2007-04-24	230	230	3
2007-04-25	66	66	0
2007-04-26	221	221	1
2007-04-27	212	212	0
2007-04-28	69	69	0
2007-04-29	654	654	15
2007-04-30	291	291	28
2007-05-01	227	227	7
2007-05-02	254	254	18
2007-05-03	66	66	2
2007-05-04	15	15	1
2007-05-05	99	99	14
2007-05-06	2	2	0
2007-05-07	5	5	0
2007-05-08	3	3	0
2007-05-09	22	22	0
2007-05-10	9	9	1
2007-05-11	91	91	0
2007-05-12	21	21	0
2007-05-13	129	129	0
2007-05-14	117	117	0
2007-05-15	332	332	2
2007-05-16	203	203	11
2007-05-17	557	557	0
2007-05-18	795	795	13
2007-05-19	189	189	0
2007-05-21	421	421	9
2007-05-22	307	307	1
2007-05-23	118	118	21
2007-05-24	404	404	28
2007-05-25	140	140	19
2007-05-26	44	44	8
2007-05-27	631	631	4
2007-05-28	1192	1192	6
2007-05-29	90	90	2
2007-05-30	1216	1216	26
2007-05-31	906	906	10
2007-06-01	124	124	0
2007-06-02	977	977	46
2007-06-03	992	992	51
2007-06-04	573	573	0
2007-06-05	12	12	1
2007-06-06	10	10	0
2007-06-07	335	335	11
2007-06-09	16	16	2
2007-06-10	87	87	6
2007-06-11	833	833	0
2007-06-12	354	354	56
2007-06-13	1029	1029	0
2007-06-14	504	504	18
2007-06-15	38	38	2
2007-06-16	1452	1452	3
2007-06-17	113	113	6
2007-06-18	1781	1781	8
2007-06-19	832	832	15
2007-06-20	1093	1093	13
2007-06-21	1025	1025	8
2007-06-22	680	680	7
2007-06-23	690	690	8
2007-06-24	1472	1472	20
2007-06-25	514	514	6
2007-06-26	80	80	10
2007-06-27	149	149	8
2007-06-28	346	346	17
2007-06-29	154	154	7
2007-06-30	95	95	0
2007-07-02	227	227	4
2007-07-03	96	96	1
2007-07-04	38	38	2
2007-07-05	106	106	3
2007-07-06	279	279	13
2007-07-07	337	337	5
2007-07-08	44	44	0
2007-07-09	2	2	0
2007-07-10	1	1	0
2007-07-11	14	14	0
2007-07-12	11	11	0
2007-07-13	31	31	2
2007-07-14	219	219	4
2007-07-15	480	480	8
2007-07-16	211	211	12
2007-07-17	253	253	3
2007-07-18	429	429	9
2007-07-19	59	59	4
2007-07-20	152	152	2
2007-07-21	260	260	0
2007-07-22	1	1	0
2007-07-23	105	105	1
2007-07-24	228	228	4
2007-07-25	304	304	5
2007-07-26	17	17	0
2007-07-27	17	17	0
2007-07-28	287	287	7
