date	count	v1count	blankcount
2006-01-18	5	5	2
2007-01-18	125	125	10
2007-03-18	1	1	1
2007-03-24	1	1	1
2007-04-01	13	13	5
2007-06-05	7	7	2
2007-06-12	23	23	2
2007-06-15	241	241	12
2007-06-21	163	163	12
2007-06-28	297	297	8
2007-07-07	88	88	8
2007-07-08	111	111	2
2007-08-26	171	171	18
2007-09-23	51	51	2
2007-10-02	2	2	2
2007-10-03	428	428	22
2007-10-04	5	5	0
2007-10-06	818	818	59
2007-10-08	101829	101822	370
2007-10-09	29150	29123	116
2007-10-10	74841	74821	324
2007-10-11	117727	117724	543
2007-10-12	109356	109356	554
2007-10-13	101910	101910	428
2007-10-14	112299	112283	327
2007-10-15	148242	148242	333
2007-10-16	40865	40865	188
2007-10-17	18	16	0
2007-10-21	202	62	0
2007-10-22	4	1	0
2007-10-25	1	0	0
2007-10-29	27	27	0
2007-11-02	1	0	0
2007-11-20	1	0	0
2007-11-27	32	32	0
2007-11-30	1	0	0
2007-12-09	627	627	7
2007-12-18	1	1	0
2007-12-22	13	12	0
2008-01-05	4	1	0
2008-01-19	11018	11018	53
2008-01-21	152	0	0
2008-01-24	2	2	0
2008-01-26	1	0	0
2008-02-06	7	2	0
2008-02-07	38	0	0
2008-02-08	1	1	0
2008-02-12	1	1	0
2008-02-16	2	0	0
2008-02-23	3	3	0
2008-03-10	1	0	0
2008-03-28	3	0	0
2008-03-31	8	2	0
2008-04-02	3	0	0
2008-04-03	1	0	0
2008-04-04	1082	350	0
2008-04-13	527	527	5
2008-04-14	2104	2104	5
2008-04-15	214	169	0
2008-04-17	64	64	0
2008-04-20	205	183	0
2008-05-01	3	0	0
2008-05-03	4	4	0
2008-05-05	24	1	0
2008-05-10	581	581	13
2008-05-17	480	471	0
2008-05-18	1435	1110	0
2008-05-21	1	0	0
2008-05-22	358	211	0
2008-05-23	32	0	0
2008-05-26	19	17	0
2008-05-27	418	82	0
2008-05-28	64	17	0
2008-05-31	201	142	3
2008-06-01	38	38	0
2008-06-03	382	255	0
2008-06-06	35	17	0
2008-06-09	1	0	0
2008-06-10	94	12	0
2008-06-12	1962	1054	0
2008-06-13	576	403	0
2008-06-14	338	31	0
2008-06-16	187	124	0
2008-06-17	743	108	0
2008-06-18	713	209	0
2008-06-20	9	9	2
2008-06-22	3	3	0
2008-06-24	91	0	0
2008-06-25	13	1	0
2008-06-26	4	4	0
2008-06-30	889	842	0
2008-07-01	106	64	0
2008-07-03	32	4	0
2008-07-04	208	81	0
2008-07-06	230	157	0
2008-07-07	187	17	0
2008-07-10	927	122	0
2008-07-15	77	72	0
2008-07-16	597	247	0
2008-07-17	472	138	0
2008-07-18	129	1	0
2008-07-19	3385	588	0
2008-07-20	42	39	0
2008-07-24	4	4	0
2008-07-30	40	36	0
2008-07-31	1207	140	0
2008-08-04	405	2	0
2008-08-05	81	0	0
2008-08-06	516	381	0
2008-08-09	266	35	0
2008-08-10	1141	101	0
2008-08-11	1397	66	0
2008-08-14	1625	102	0
2008-08-15	459	56	0
2008-08-17	64	0	0
2008-08-18	469	0	0
2008-08-19	24	1	0
2008-08-20	94	2	0
2008-08-28	114	112	0
2008-09-02	125	0	0
2008-09-14	128	63	0
2008-09-16	45	45	0
2008-09-17	243	0	0
2008-09-25	71	45	0
2008-09-27	240	223	0
2008-09-28	479	478	0
2008-09-29	87	0	0
2008-09-30	181	79	0
2008-10-01	470	232	0
2008-10-02	918	551	0
2008-10-03	145	19	0
2008-10-12	343	192	0
2008-10-13	757	266	0
2008-10-14	260	90	0
2008-10-16	1	1	0
2008-10-17	1	0	0
2008-10-19	4	0	0
2008-10-24	74	21	0
2008-10-28	17	16	0
2008-10-30	1280	8	0
2008-11-01	525	316	0
2008-11-02	94	47	0
2008-11-05	304	108	0
2008-11-06	20	7	0
2008-11-07	1	0	0
2008-11-08	439	147	0
2008-11-09	168	67	0
2008-11-12	1	0	0
2008-11-14	4	0	0
2008-11-15	285	133	0
2008-11-17	13	6	0
2008-11-20	1384	247	0
2008-11-21	3	2	0
2008-11-22	484	310	0
2008-11-23	240	40	0
2008-11-24	2815	613	0
2008-11-25	43	10	0
2008-11-26	1	0	0
2008-11-27	23	0	0
2008-11-29	411	47	0
2008-12-01	12	0	0
2008-12-04	10	10	0
2008-12-05	148	58	0
2008-12-06	767	148	0
2008-12-07	237	6	0
2008-12-14	239	90	0
2008-12-15	87	4	0
2008-12-16	2	1	0
2008-12-17	8	8	0
