date	count	v1count	blankcount
2007-03-18	1	1	1
2007-05-26	222	222	32
2007-06-02	214	214	6
2007-06-16	81	81	15
2007-06-17	75	75	26
2007-06-19	30	30	0
2007-06-26	22	22	3
2007-06-30	67	67	3
2007-07-15	14	14	9
2007-07-17	14	14	2
2007-07-20	230	230	52
2007-07-24	207	207	10
2007-08-08	4	4	2
2007-10-17	7	0	0
2007-10-20	1748	1034	70
2007-10-21	2345	1121	19
2007-10-22	41	23	0
2007-10-23	621	375	4
2007-10-24	26	19	0
2007-10-25	41	36	1
2007-10-27	4126	2035	13
2007-10-30	955	448	0
2007-10-31	2594	2585	163
2007-11-02	408	348	0
2007-11-03	26	15	0
2007-11-04	137	96	0
2007-11-05	175	30	0
2007-11-06	6	0	0
2007-11-09	152	27	0
2007-11-10	50	0	0
2007-11-11	575	130	0
2007-12-13	27	17	0
2007-12-17	82	46	0
2007-12-18	414	177	1
2007-12-20	1247	630	13
2007-12-21	2	2	0
2007-12-26	262	146	0
2007-12-27	539	235	0
2007-12-28	638	387	26
2007-12-29	1891	1096	3
2007-12-30	318	318	116
2007-12-31	2541	2362	32
2008-01-01	1090	701	3
2008-01-02	42	0	0
2008-01-03	194	119	0
2008-01-04	2168	1848	7
2008-01-09	647	294	3
2008-01-10	436	241	0
2008-01-11	563	299	0
2008-01-12	36	8	3
2008-01-13	270	127	0
2008-01-14	457	270	0
2008-01-15	212	67	20
2008-01-16	1157	927	1
2008-01-17	1337	538	2
2008-01-18	737	316	0
2008-01-19	816	383	0
2008-01-20	174	102	0
2008-01-21	1	0	0
2008-01-22	1304	958	1
2008-01-23	6	4	0
2008-01-24	688	428	0
2008-01-25	41	37	0
2008-01-26	281	127	0
2008-01-27	142	132	15
2008-01-30	1	0	0
2008-01-31	53	30	2
2008-02-01	784	756	199
2008-02-02	929	597	26
2008-02-03	1240	527	0
2008-02-04	503	198	0
2008-02-05	474	41	0
2008-02-06	86	66	0
2008-02-07	10	10	5
2008-02-08	58	47	0
2008-02-09	291	160	0
2008-02-10	25	1	0
2008-02-12	4	3	2
2008-02-13	64	62	0
2008-02-14	3	0	0
2008-02-15	333	269	45
2008-02-16	1041	810	0
2008-02-17	276	243	0
2008-02-18	520	424	36
2008-02-19	4	4	0
2008-02-20	2	0	0
2008-02-21	95	71	0
2008-02-22	344	211	0
2008-02-25	171	158	0
2008-02-26	143	29	0
2008-02-27	179	101	4
2008-02-29	126	70	2
2008-03-01	1395	1016	0
2008-03-02	104	0	0
2008-03-03	154	145	28
2008-03-08	31	29	0
2008-03-09	91	39	0
2008-03-10	179	171	0
2008-03-12	33	5	0
2008-03-13	27	24	9
2008-03-14	533	528	36
2008-03-15	51	42	1
2008-03-16	226	169	1
2008-03-23	52	39	0
2008-03-25	4	0	0
2008-03-28	61	37	0
2008-04-02	6	0	0
2008-04-03	8	0	0
2008-04-05	141	73	0
2008-04-06	553	514	0
2008-04-07	952	517	2
2008-04-08	37	0	0
2008-04-09	199	1	0
2008-04-11	176	100	0
2008-04-12	189	9	0
2008-04-13	77	62	8
2008-04-14	22	22	1
2008-04-15	1	0	0
2008-04-16	21	16	0
2008-04-17	36	18	0
2008-04-18	59	5	0
2008-04-19	844	112	0
2008-04-20	388	54	0
2008-04-21	32	14	0
2008-04-22	863	754	1
2008-04-23	85	56	0
2008-04-24	66	46	4
