date	count	v1count	blankcount
2007-03-28	1	1	1
2007-04-06	371	371	164
2007-04-08	939	939	251
2007-04-27	58066	58066	2971
2007-09-13	927	927	106
2007-10-02	493	493	25
2007-12-13	1	0	0
2008-01-19	219	43	1
2008-03-08	3	1	1
2008-03-15	1	1	1
2008-03-21	533	0	0
2008-03-22	506	0	0
2008-03-24	1	0	0
2008-03-27	141	139	72
2008-03-28	1	1	1
2008-03-29	489	485	67
2008-04-09	28	27	6
2008-04-10	896	0	0
2008-04-22	61	45	1
2008-04-27	76	76	1
2008-04-28	15	14	0
2008-04-29	503	395	10
2008-04-30	209	195	3
2008-05-02	9	7	0
2008-05-04	869	831	37
2008-05-17	1	0	0
2008-05-19	1672	1049	111
2008-05-21	94	94	42
2008-05-22	3	2	0
2008-05-23	282	248	40
2008-05-24	94	18	7
2008-05-26	13	5	0
2008-05-28	4	4	2
2008-06-05	2	2	2
2008-06-06	57	27	0
2008-06-08	11	6	0
2008-06-09	84	66	6
2008-06-10	16	10	0
2008-06-11	3	0	0
2008-06-17	201	116	1
2008-06-18	39	22	1
2008-06-23	73	38	0
2008-06-24	102	65	5
2008-07-01	124	114	11
2008-07-02	108	108	0
2008-07-03	5	1	0
2008-07-04	101	90	0
2008-07-07	70	34	0
2008-07-09	61	53	2
2008-07-11	10	10	5
2008-07-12	244	242	3
2008-07-13	663	610	134
2008-07-14	2	0	0
2008-07-17	5	3	1
2008-08-04	9	9	1
2008-08-19	1	0	0
2008-08-25	378	373	71
2008-09-01	555	389	49
2008-09-02	1171	1171	159
2008-09-05	1	0	0
2008-09-08	1681	1680	89
2008-09-12	12	9	0
2008-09-14	5	5	0
2008-09-21	62	62	4
2008-09-22	2	0	0
2008-09-24	78	68	12
2008-09-26	194	194	84
2008-10-13	108	103	7
2008-10-14	119	61	0
2008-10-15	112	29	0
2008-10-17	234	125	0
2008-10-18	161	67	0
2008-10-19	98	50	1
2008-10-20	212	111	1
2008-10-21	13	12	0
2008-10-22	2	2	1
2008-10-24	244	156	0
2008-10-25	14	11	0
2008-10-26	103	96	6
2008-10-31	506	241	8
2008-11-12	426	421	127
2008-11-15	155	1	0
2008-11-17	703	330	15
2008-11-18	795	224	0
2008-11-25	1452	1358	154
2008-11-26	55	12	2
2008-12-01	4	4	0
2008-12-02	785	255	0
2008-12-06	89	0	0
2008-12-08	14	8	0
2008-12-11	62	41	0
2008-12-12	11	5	0
2008-12-18	47	37	0
2008-12-23	124	123	25
2008-12-24	1	0	0
2008-12-25	22	17	0
2008-12-27	75	70	6
2009-01-07	20	12	0
2009-01-15	100	17	1
2009-01-24	62	60	0
2009-01-26	9348	9348	1383
2009-01-27	264	264	0
2009-01-28	350	338	0
2009-01-29	3	3	0
2009-02-01	16153	15747	3178
2009-02-02	9	0	0
2009-02-05	7	5	3
2009-02-14	1	0	0
2009-02-20	2	0	0
2009-02-21	1	0	0
2009-02-24	1405	163	0
2009-02-28	1	0	0
2009-03-02	16	8	0
2009-03-03	111	7	0
2009-03-17	22	7	0
2009-03-20	175	40	0
2009-03-23	6	0	0
2009-03-26	146	0	0
2009-03-29	2	0	0
2009-04-04	2326	634	90
2009-04-05	192	0	0
2009-04-06	157	0	0
2009-04-07	15	0	0
2009-04-08	174	174	12
2009-04-13	10	10	0
2009-04-14	121	4	0
2009-04-27	573	570	0
2009-05-01	241	240	11
2009-05-04	94	93	1
2009-05-08	42	32	0
2009-05-09	129	119	32
2009-05-15	804	676	74
2009-05-16	853	845	22
2009-05-17	279	277	0
2009-05-18	119	110	5
2009-05-20	383	287	9
2009-05-22	49	49	6
2009-05-23	5	4	1
2009-05-24	410	410	15
2009-05-26	152	131	10
2009-05-29	88	80	0
2009-05-30	514	484	4
2009-05-31	340	323	7
2009-06-02	127	104	0
2009-06-04	587	509	6
2009-06-05	490	321	0
2009-06-06	1586	1359	1
2009-06-07	156	120	2
2009-06-08	671	471	13
2009-06-10	1	0	0
2009-06-12	1	0	0
2009-06-13	176	148	0
2009-06-14	1145	959	18
2009-06-15	5	4	1
2009-06-17	2	0	0
2009-06-18	376	376	116
2009-06-19	310	226	8
2009-06-20	1075	923	18
2009-06-21	530	487	2
2009-06-22	11	1	1
2009-06-23	36	2	0
2009-06-26	300	291	20
2009-06-29	68	68	10
2009-07-01	1	1	0
2009-07-02	94	44	0
2009-07-03	341	320	99
2009-07-04	6	5	0
2009-07-05	65	32	0
2009-07-08	10	0	0
2009-07-09	317	222	1
2009-07-12	8	5	0
2009-07-13	59	40	4
2009-07-15	10	8	0
2009-07-18	440	221	2
2009-07-21	645	205	0
2009-07-22	161	105	0
2009-07-23	318	211	20
2009-07-26	5	4	0
2009-07-27	502	91	0
2009-07-28	521	234	12
2009-07-29	74	22	0
2009-08-01	3323	1586	29
2009-08-02	1150	150	3
2009-08-06	14	10	0
2009-08-07	18	15	0
2009-08-11	142	54	0
2009-08-13	6	6	2
2009-08-15	664	347	1
2009-08-16	453	226	6
2009-08-17	314	218	0
2009-08-18	212	169	0
2009-08-19	75	49	1
2009-08-20	29	15	0
2009-08-21	10	2	2
2009-08-22	1	0	0
2009-08-23	272	265	12
2009-08-24	859	791	3
2009-08-26	282	273	46
2009-08-28	167	126	0
2009-08-29	1827	1826	126
2009-08-30	1	1	0
2009-08-31	314	152	0
2009-09-01	366	12	0
2009-09-02	2284	2218	278
2009-09-04	146	131	0
2009-09-05	20	7	0
2009-09-08	153	140	12
2009-09-12	4	4	0
2009-09-14	256	254	1
2009-09-16	1	0	0
2009-09-17	5	4	2
2009-09-18	15	10	0
2009-09-19	348	295	3
2009-09-21	62	43	0
2009-09-22	22	18	0
2009-09-23	24	18	0
2009-09-25	37	30	0
2009-09-26	64	59	0
2009-09-27	73	56	5
2009-10-01	1	0	0
2009-10-03	15	14	0
2009-10-04	3	0	0
2009-10-05	73	64	3
2009-10-06	5	5	4
2009-10-07	22	17	15
2009-10-08	404	382	6
2009-10-09	1488	1448	35
2009-10-12	43	9	0
2009-10-13	9	9	0
2009-10-14	1	0	0
2009-10-19	7	5	0
2009-10-20	10	9	0
2009-10-21	8	2	0
2009-10-22	1073	602	0
2009-10-23	20	20	0
2009-10-27	3	1	0
2009-10-29	33	0	0
2009-11-03	770	703	3
2009-11-04	12	0	0
2009-11-05	41	33	0
2009-11-11	18	1	0
2009-11-12	1582	1581	275
2009-11-16	2	0	0
2009-11-17	7	0	0
2009-11-18	3	0	0
2009-11-20	5	4	1
2009-11-21	28	28	0
2009-11-23	23	23	0
2009-11-24	2	1	1
