date	count	v1count	blankcount
2006-05-14	235	235	10
2006-06-25	8	8	2
2006-06-27	13	13	8
2006-07-01	139	139	50
2006-11-04	2706	2706	203
2006-11-15	51	51	13
2006-11-21	74	74	27
2006-11-23	67	67	31
2006-11-25	67	67	20
2006-11-26	229	229	31
2006-12-03	374	374	40
2006-12-09	61	61	13
2006-12-10	217	217	16
2006-12-16	78	78	4
2006-12-17	346	346	29
2006-12-23	23	23	0
2006-12-28	59	59	8
2006-12-31	531	531	83
2007-01-05	80	80	34
2007-01-06	274	274	6
2007-01-14	133	133	10
2007-01-24	158	158	19
2007-01-31	4	4	0
2007-02-04	72	72	10
2007-02-10	33	33	1
2007-02-11	430	430	22
2007-02-14	59	59	13
2007-02-18	26	26	0
2007-02-24	413	413	8
2007-03-08	16	16	0
2007-03-10	352	352	18
2007-04-01	318	318	13
2007-04-09	75	75	4
2007-04-29	334	334	61
2007-05-01	1672	1672	97
2007-05-02	4109	4109	210
2007-05-07	37	37	5
2007-05-08	96	96	28
2007-05-11	261	261	8
2007-05-12	223	223	15
2007-05-13	3817	3817	199
2007-05-14	209	209	5
2007-05-15	26	26	4
2007-05-16	6	6	0
2007-05-18	114	114	1
2007-05-19	925	925	56
2007-05-20	42	42	9
2007-05-27	45	45	6
2007-05-28	351	351	8
2007-06-02	6	6	0
2007-06-10	518	518	57
2007-06-11	1437	1437	145
2007-06-12	444	444	15
2007-06-13	165	165	1
2007-06-14	312	312	10
2007-06-15	22	22	0
2007-06-17	1102	1102	4
2007-06-24	40	40	0
2007-06-30	813	813	69
2007-07-03	2	2	0
2007-07-18	25	25	1
2007-08-07	17	17	0
2007-08-08	413	413	53
2007-08-10	355	355	24
2007-08-12	18	18	0
2007-08-13	149	149	1
2007-08-18	16	16	0
2007-08-20	3	3	0
2007-08-22	145	145	5
2007-08-25	230	230	12
2007-08-26	492	492	13
2007-08-27	1680	1680	83
2007-08-28	859	859	37
2007-08-29	11	11	5
2007-08-30	180	180	1
2007-08-31	102	102	14
2007-09-01	1478	1478	47
2007-09-02	486	486	20
2007-09-03	1083	1083	44
2007-09-04	380	380	8
2007-09-05	586	586	1
2007-09-06	898	898	16
2007-09-07	997	997	3
2007-09-08	1119	1119	24
2007-09-09	432	432	4
2007-09-10	726	726	13
2007-09-11	16	16	0
2007-09-13	148	148	11
2007-09-14	2	2	0
2007-09-17	361	361	13
2007-09-18	452	452	16
2007-09-19	728	728	121
2007-09-20	393	393	49
2007-09-21	397	397	7
2007-09-23	127	127	0
2007-09-25	222	222	19
2007-09-26	160	160	13
2007-09-27	5	5	3
2007-09-28	1054	1054	17
2007-09-29	1461	1461	114
2007-09-30	3426	3426	68
2007-10-01	2104	2104	8
2007-10-02	1588	1588	29
2007-10-03	1357	1357	80
2007-10-04	648	648	92
2007-10-05	1747	1747	24
2007-10-06	99	99	6
2007-10-08	1	1	1
2007-10-12	1	1	1
2007-10-13	1200	444	39
2007-10-16	113	32	0
2007-10-17	822	312	1
2007-10-18	757	59	0
2007-10-19	165	60	0
2007-10-20	2433	915	7
2007-10-21	47	21	0
2007-10-23	106	104	0
2007-10-24	772	538	1
2007-10-25	813	540	2
2007-10-26	2780	144	4
2007-10-27	5143	874	0
2007-10-28	4125	174	0
2007-10-29	1558	636	1
2007-10-30	107	18	0
2007-10-31	201	96	0
2007-11-01	574	388	1
2007-11-02	864	444	38
2007-11-03	229	171	0
2007-11-04	874	477	5
2007-11-05	87	80	0
2007-11-06	842	696	8
