date	count	v1count	blankcount
2007-01-02	115	115	9
2007-03-18	1	1	1
2007-04-24	1	1	1
2008-01-07	21	19	15
2008-01-26	1	0	0
2008-03-01	8	8	6
2008-03-02	1	0	0
2008-03-09	2	2	2
2008-03-12	2	1	1
2008-03-19	1	0	0
2008-04-13	154	153	37
2008-11-05	1	0	0
2009-01-11	44	40	19
2009-05-16	468	462	35
2009-06-01	3	2	1
2009-07-23	1	1	0
2010-01-25	153	153	3
2010-05-13	18484	18484	206
2010-05-15	545	130	0
2010-05-16	1	1	0
2010-05-17	46	6	0
2010-05-18	52	33	0
2010-05-28	1	0	0
2010-06-02	1	1	0
2010-08-03	2	2	0
2010-08-29	25	1	0
2010-09-01	67	14	0
2010-09-04	1112	80	0
2010-09-05	10	8	0
2010-09-14	124	86	0
2010-09-15	1	0	0
2010-09-24	235	69	1
2010-09-28	112	21	0
2010-10-19	32	8	0
2010-10-28	5	5	0
2010-11-28	1	0	0
2010-12-07	134	129	0
2010-12-27	52	46	0
2010-12-28	389	380	5
2010-12-29	11	8	0
2011-01-07	76	28	0
2011-01-08	217	90	0
2011-01-09	19	11	0
2011-01-19	136	96	0
2011-01-20	496	181	5
2011-01-22	7	3	0
2011-01-23	34	22	1
2011-01-24	169	144	4
2011-01-25	2	2	0
2011-01-30	172	34	0
2011-01-31	9	2	0
2011-02-01	178	107	0
2011-02-05	31	19	0
2011-02-06	542	445	1
2011-03-25	12	11	0
2011-04-10	35	30	0
2011-05-26	57	50	0
2011-06-07	13	2	0
2011-06-24	11	6	0
2011-06-30	7	4	0
2011-07-10	1260	144	0
2011-09-27	55	52	0
2011-11-21	11	10	0
2011-12-30	1	1	0
2012-01-03	1	1	0
2012-01-05	159	28	0
2012-01-06	206	187	13
2012-01-07	3	1	0
2012-01-08	1	1	0
2012-01-13	189	101	3
2012-01-16	60	14	0
2012-01-17	4	0	0
2012-01-23	61	61	0
2012-01-31	121	112	2
2012-02-04	38	21	0
2012-03-05	2	1	0
2012-05-25	4	4	0
2012-06-21	1705	1554	0
2012-06-27	25	0	0
2012-07-12	312	230	0
2012-07-13	18	3	0
2012-07-20	1	0	0
2012-07-24	727	588	0
2012-08-27	1	1	0
2012-10-23	10	3	0
2012-10-24	1	0	0
2012-11-12	2	2	1
2012-11-19	1	0	0
2012-11-23	104	104	0
2012-12-07	8	5	0
2012-12-09	3	0	0
2012-12-11	4	1	0
2012-12-14	1	1	0
2013-01-11	1	0	0
2013-01-20	3	2	0
2013-01-22	38	20	2
2013-01-23	6	4	0
2013-02-10	3	3	1
2013-02-15	1	1	0
2013-02-20	11	9	0
2013-02-25	740	421	1
2013-02-26	3	2	0
2013-02-28	28	2	0
2013-03-01	40	21	0
2013-03-12	781	450	0
2013-03-15	3	3	0
2013-03-19	1	0	0
2013-03-20	2	0	0
2013-03-25	1	0	0
2013-03-26	276	205	0
2013-03-27	75	58	0
2013-04-11	1	0	0
2013-04-17	11	11	0
2013-05-04	531	185	0
2013-05-06	23	13	0
2013-06-10	1	1	0
2013-06-12	41	40	0
2013-07-02	1090	380	0
2013-07-07	169	169	4
2013-07-10	1081	445	0
2013-07-11	3894	1948	0
2013-07-13	204	178	0
2013-07-14	1502	1188	0
2013-07-15	177	130	0
2013-07-16	1867	1579	1
2013-07-30	4	4	0
2013-08-07	32	32	0
2013-08-10	1	0	0
2013-08-23	1	1	0
2013-09-02	13	13	0
2013-09-16	9	9	0
2013-09-22	6	6	2
2013-09-23	16	0	0
2013-10-17	2	2	0
2013-11-04	1	1	0
2013-11-20	15	9	0
2013-11-26	17	15	0
2013-11-30	8	7	0
2013-12-07	1	0	0
2013-12-13	2	2	0
2013-12-14	5	0	0
2013-12-18	4	0	0
2013-12-21	1	0	0
2013-12-22	2	0	0
2013-12-25	7	2	0
2013-12-29	1	0	0
2013-12-31	1	0	0
2014-01-01	13	9	0
2014-01-03	39	39	0
2014-01-04	21	1	0
2014-03-09	21	4	0
2014-03-24	3	1	0
2014-03-31	146	141	0
2014-04-02	1	0	0
2014-04-03	1	0	0
2014-04-17	109	94	0
2014-04-28	33	33	0
2014-05-10	3	1	0
2014-05-13	27	27	0
2014-05-20	5	0	0
2014-05-22	1	0	0
2014-05-23	20	0	0
2014-05-24	13	1	0
2014-06-14	70	64	0
2014-06-18	89	69	3
2014-07-14	79	1	0
2014-07-24	261	259	0
2014-07-31	82	0	0
2014-08-03	42	31	0
2014-08-05	13	13	0
2014-08-08	82	4	0
2014-08-17	179394	179296	0
2014-08-18	42001	42000	0
2014-08-21	10000	10000	0
2014-08-22	186490	186490	0
2014-08-23	263519	263519	0
2014-08-24	336407	336407	0
2014-08-25	253362	253338	0
2014-08-26	378465	378465	0
2014-08-27	279431	279324	4
2014-08-28	229161	229115	2
2014-08-29	66338	66338	0
2014-08-31	116752	116592	0
2014-09-01	295135	295135	0
2014-09-02	236256	236115	3
2014-09-03	341	271	0
2014-09-12	137	44	0
2014-09-13	1866	1498	0
2014-09-17	19011	19011	2
2014-09-24	150	26	0
2014-10-10	605	474	0
2014-10-25	4	4	0
2014-11-07	34	21	2
2014-11-08	145	79	0
2014-11-13	44	30	0
2014-11-26	236	210	10
2014-11-28	120	83	1
2014-12-18	1	0	0
2014-12-23	44	0	0
2014-12-27	96	83	0
2014-12-28	1	1	0
2014-12-29	1	0	0
2015-01-02	1	0	0
2015-01-15	89	86	0
