date	count	v1count	blankcount
2007-03-18	1	1	1
2007-10-30	449	449	297
2007-11-10	461	461	6
2008-01-26	1	0	0
2008-02-04	5	2	2
2008-02-07	625	624	162
2008-02-08	3084	3084	449
2008-02-14	13	13	13
2008-02-15	2636	2635	437
2008-02-16	1642	1642	186
2008-02-17	2509	2319	673
2008-03-02	7	7	7
2008-03-05	51	51	45
2008-03-06	1	0	0
2008-03-19	57	55	33
2008-04-01	10	10	7
2008-04-19	4171	4119	337
2008-04-20	774	774	32
2008-04-24	22	22	13
2008-07-15	8	8	2
2008-09-05	41	39	22
2008-09-09	10	8	3
2008-09-18	18	12	0
2008-10-06	1363	278	77
2008-10-23	775	766	17
2008-10-27	44	44	4
2008-11-06	10	0	0
2008-11-07	3	0	0
2008-11-08	10	0	0
2008-11-13	51	17	7
2008-11-23	7	0	0
2009-01-02	30	28	18
2009-01-09	163655	163655	4764
2009-01-10	78420	78048	1887
2009-01-11	428	92	0
2009-01-12	2289	39	0
2009-02-06	2224	0	0
2009-02-07	1	0	0
2009-02-10	11	0	0
2009-02-12	96	60	10
2009-02-21	101	98	21
2009-02-22	1	0	0
2009-02-28	585	369	33
2009-03-05	1164	0	0
2009-03-07	970	0	0
2009-03-08	275	1	0
2009-03-10	1147	236	22
2009-03-11	56	0	0
2009-03-12	1	0	0
2009-03-16	493	493	45
2009-03-17	3	3	0
2009-03-27	1	0	0
2009-04-05	243	1	0
2009-04-14	71	71	1
2009-04-23	42	42	1
2009-05-13	89	89	0
2009-06-01	16	15	0
2009-06-18	6	4	0
2009-07-02	1	1	0
2009-07-22	1	0	0
2009-07-29	85	82	0
2009-07-31	1	1	0
2009-08-06	21	0	0
2009-08-11	95	0	0
2009-08-12	6	0	0
2009-08-13	3	0	0
2009-08-14	1	0	0
2009-08-15	4	0	0
2009-08-16	2	0	0
2009-08-17	2	0	0
2009-08-18	2	0	0
2009-08-20	5	5	3
2009-08-26	2	0	0
2009-08-27	1	0	0
2009-08-28	1	0	0
2009-08-30	134	36	0
2009-09-01	1	0	0
2009-09-03	40	0	0
2009-09-04	3	3	3
2009-09-07	1	0	0
2009-09-20	65	65	10
2009-09-24	1	0	0
2009-09-26	135	0	0
2009-09-27	36	36	9
2009-10-08	447	53	0
2009-12-10	49	48	0
2009-12-18	1	0	0
2010-01-03	1	0	0
2010-01-13	24544	23435	275
2010-01-14	27516	21164	138
2010-01-15	54856	42896	349
2010-01-16	126505	106634	4277
2010-01-17	108473	83725	903
2010-01-18	76423	62628	525
2010-01-19	88785	60929	1148
2010-01-20	62589	48952	646
2010-01-21	64135	51703	1013
2010-01-22	68981	50112	556
