date	count	v1count	blankcount
2007-03-09	3649	3649	166
2007-03-12	1	1	1
2007-03-15	365	365	19
2007-04-02	77	77	29
2007-04-03	106	106	6
2007-04-04	100	100	6
2007-04-17	83	83	7
2007-04-18	540	540	47
2007-04-19	31	31	17
2007-04-25	4650	4650	219
2007-04-26	5760	5760	298
2007-04-27	3	3	0
2007-05-03	8	8	8
2007-05-17	399	399	0
2007-05-18	171	171	7
2007-05-19	4	4	4
2007-05-23	236	236	15
2007-05-27	5	5	4
2007-06-01	9	9	1
2007-06-11	39	39	1
2007-07-02	55	55	0
2007-07-11	248	248	2
2007-07-24	24	24	11
2007-08-23	487	487	9
2007-08-24	474	474	6
2007-09-26	36	36	0
2007-11-10	5098	252	0
2007-11-27	37	25	0
2007-12-03	42	42	34
2007-12-06	26	19	1
2008-01-22	266	252	4
2008-01-26	1	0	0
2008-01-27	1	0	0
2008-01-28	236	232	0
2008-01-29	14	10	0
2008-01-31	108	82	1
2008-02-02	1173	1165	16
2008-02-05	1043	1033	33
2008-02-08	42	42	0
2008-02-12	38	38	4
2008-02-17	2057	1751	136
2008-02-18	800	796	11
2008-02-19	195	80	0
2008-02-20	752	687	15
2008-02-21	3617	2114	151
2008-02-22	367	340	5
2008-03-06	1	0	0
2008-03-08	226	173	4
2008-03-09	3323	2850	146
2008-03-10	10	10	8
2008-03-12	384	361	1
2008-03-13	2282	2062	7
2008-03-14	598	438	3
2008-03-15	67	60	6
2008-03-26	1579	1576	0
2008-03-27	2607	2606	9
2008-03-28	2600	2591	10
2008-03-29	1875	1871	8
2008-03-31	179	170	1
2008-04-02	1	0	0
2008-04-03	2	0	0
2008-04-04	1	0	0
2008-04-05	141	66	0
2008-04-06	129	122	0
2008-04-11	1005	826	20
2008-04-29	6	0	0
2008-05-05	59	48	0
2008-05-06	84	74	12
2008-05-16	83	0	0
2008-05-23	43	34	4
2008-05-25	319	297	1
2008-06-09	2173	707	2
2008-06-10	1879	1667	0
2008-06-11	1916	1785	1
2008-06-12	78	59	0
2008-06-16	8	3	0
2008-06-17	5	0	0
2008-07-02	915	687	0
2008-07-07	17	15	0
2008-07-08	112	95	0
2008-07-09	14	14	3
2008-07-11	1	1	0
2008-07-12	227	152	0
2008-07-13	1230	924	0
2008-07-14	1107	852	1
2008-07-15	526	285	0
2008-07-17	425	382	3
2008-07-23	87	85	1
2008-08-02	1139	870	10
2008-08-07	26	21	3
2008-08-14	868	852	47
2008-08-15	1817	1607	28
2008-08-17	802	771	8
2008-08-20	459	393	7
2008-08-21	5	1	0
2008-08-22	316	307	9
2008-08-24	3	3	0
2008-08-31	9	9	1
2008-09-10	51	51	0
2008-09-16	9	7	1
2008-09-19	1	0	0
2008-09-25	1	0	0
2008-09-27	2	2	0
2008-10-03	1	0	0
2008-10-12	2707	331	0
2008-10-27	32	0	0
2008-11-01	7	4	0
2008-11-02	1507	497	4
2008-11-03	58	22	0
2008-11-09	6	0	0
2008-11-10	54	53	1
2008-11-11	336	328	0
2008-11-13	341	195	0
2008-11-15	3	0	0
2008-11-22	9	9	0
2008-11-23	211	24	0
2008-12-01	477	0	0
