date	count	v1count	blankcount
2007-03-19	1	1	1
2007-06-04	635	635	51
2007-10-29	1620	651	25
2007-11-02	1638	641	39
2007-11-03	7	4	0
2007-11-09	654	654	33
2007-11-10	1748	998	82
2007-11-16	84	82	1
2007-11-20	363	277	21
2007-11-27	1218	686	84
2007-12-24	2256	1408	62
2007-12-27	840	650	24
2007-12-28	619	528	2
2007-12-29	43	29	0
2007-12-30	633	377	9
2008-01-02	17	16	7
2008-01-03	169	67	2
2008-01-19	355	346	50
2008-01-26	1	0	0
2008-02-03	18	17	0
2008-03-22	9	2	0
2008-04-03	1	0	0
2008-04-04	21	0	0
2008-04-13	6	6	1
2008-04-23	2	2	1
2008-05-01	43	41	5
2008-05-08	33	33	8
2008-05-13	9	6	0
2008-05-27	3	3	3
2008-06-03	19	19	2
2008-06-15	244	214	1
2008-06-22	18	0	0
2008-06-24	169	168	3
2008-07-03	513	507	30
2008-07-13	29	27	14
2008-07-24	1	0	0
2008-08-02	3	3	0
2008-08-04	44	44	0
2008-10-05	610	403	7
2008-10-09	15	0	0
2008-10-17	584	68	0
2008-10-24	922	0	0
2008-10-25	6688	1078	0
2008-11-01	12161	1431	30
2008-11-02	5654	579	9
2008-11-03	18756	1091	1
2008-11-04	17028	1123	9
2008-11-05	8900	593	2
2008-11-06	2364	81	0
2008-11-07	14793	447	1
2008-11-08	2432	155	1
2008-11-09	847	71	0
2008-11-13	969	159	1
2008-11-15	13193	1934	6
2008-11-16	785	175	2
2008-11-18	298	7	0
2008-11-19	159	37	1
2008-11-20	464	73	0
2008-11-21	2139	61	0
2008-11-22	516	8	0
2008-11-25	255	0	0
2008-11-26	41	5	0
2008-11-27	1	0	0
2008-11-28	7702	284	0
2008-11-29	4268	354	0
2008-11-30	11340	758	1
2008-12-01	1125	367	3
2008-12-02	4641	1097	21
2008-12-03	5591	841	1
2008-12-04	8876	679	8
2008-12-05	5766	851	29
2008-12-06	5028	565	30
2008-12-07	5943	598	2
2008-12-08	11761	874	17
2008-12-09	12	0	0
2008-12-10	1121	116	0
2008-12-11	1220	145	3
2008-12-12	1028	921	0
2008-12-13	1262	375	1
2008-12-14	2185	924	3
2008-12-15	8423	787	5
2008-12-16	1351	274	0
2008-12-17	11012	786	4
2008-12-18	1227	608	0
2008-12-19	3628	708	0
2008-12-20	537	509	0
2008-12-21	124	58	0
2008-12-22	301	255	0
2008-12-23	293	5	0
2008-12-24	1	0	0
2008-12-25	1697	4	0
2008-12-26	856	286	0
2008-12-27	2961	299	11
2008-12-28	1479	566	0
2008-12-29	1690	755	1
2008-12-30	588	190	1
2008-12-31	26	0	0
2009-01-01	981	490	1
2009-01-02	182	181	0
2009-01-03	1053	950	0
2009-01-04	747	743	8
2009-01-05	1044	977	3
2009-01-06	1573	1285	4
2009-01-07	1450	1133	0
2009-01-08	801	781	0
2009-01-09	695	533	6
2009-01-10	5522	2017	11
2009-01-11	1044	765	1
2009-01-12	9321	644	6
2009-01-13	971	957	5
2009-01-14	1061	1043	1
2009-01-15	485	456	0
2009-01-16	392	383	0
2009-01-17	661	653	1
2009-01-18	86	82	0
2009-01-19	101	101	0
2009-01-20	409	401	4
2009-01-21	152	151	2
2009-01-22	214	211	5
2009-01-23	57	0	0
2009-02-02	585	573	2
2009-02-03	167	159	1
2009-02-04	201	190	0
2009-02-06	388	388	1
2009-02-07	1351	766	2
2009-02-08	1334	1118	2
2009-02-10	1706	979	0
2009-02-11	830	744	0
2009-02-12	805	794	5
2009-02-13	16	16	0
2009-02-14	904	891	1
2009-02-15	828	426	0
2009-02-16	125	120	0
2009-02-17	393	385	0
2009-02-18	289	254	0
2009-02-19	372	182	0
2009-02-20	271	2	0
2009-02-21	555	511	0
2009-02-22	423	139	0
2009-02-23	165	164	0
2009-02-24	600	578	0
2009-02-25	1014	643	6
2009-02-26	350	342	0
2009-02-27	510	468	3
2009-02-28	450	356	0
2009-03-01	237	218	0
2009-03-02	144	138	0
2009-03-03	96	95	0
2009-03-04	400	332	0
2009-03-05	598	594	0
2009-03-06	1046	924	0
2009-03-07	1278	718	5
2009-03-08	576	546	0
2009-03-09	1092	1039	22
2009-03-10	397	315	3
2009-03-11	1397	1036	29
2009-03-12	3311	1131	18
2009-03-13	2832	564	5
2009-03-14	731	472	0
2009-03-15	486	411	0
2009-03-16	871	305	0
2009-03-17	911	861	1
2009-03-18	544	519	0
2009-03-19	194	149	0
2009-03-20	22	0	0
2009-03-22	78	27	0
2009-03-24	160	55	0
2009-03-25	132	109	0
