date	count	v1count	blankcount
2005-07-21	1	1	1
2005-07-22	31	31	2
2006-04-25	265	265	40
2006-04-26	118	118	3
2006-04-27	106	106	12
2006-04-29	144	144	7
2006-05-14	3	3	1
2006-10-06	334	334	10
2006-10-09	60	60	2
2007-03-18	2	2	2
2007-04-23	1	1	1
2007-06-04	545	545	32
2007-06-05	512	512	9
2007-06-07	297	297	2
2007-06-08	993	993	26
2007-06-10	1477	1477	30
2007-06-11	896	896	170
2007-07-05	127	127	2
2007-07-09	6	6	2
2007-08-01	415	415	40
2007-08-02	153	153	27
2007-08-03	57	57	3
2007-08-05	18	18	0
2007-08-06	2	2	1
2007-08-10	607	607	102
2007-08-12	20	20	19
2007-08-13	159	159	21
2007-08-15	268	268	85
2007-08-16	210	210	80
2007-08-19	14	14	0
2007-08-20	34	34	0
2007-09-16	4	4	0
2007-09-22	30	30	0
2007-09-24	1	1	0
2007-09-30	1	1	0
2007-10-03	28	28	1
2007-10-08	94	44	3
2007-10-14	1	1	1
2007-10-15	62	62	7
2007-10-24	2	2	0
2007-10-31	106	100	54
2007-11-04	1	0	0
2007-11-14	366	335	5
2007-11-16	7	0	0
2007-11-21	284	259	159
2007-11-22	135	106	94
2007-11-29	10	0	0
2007-12-08	10	10	0
2007-12-09	1	0	0
2007-12-10	20	20	6
2007-12-11	1	1	0
2007-12-16	37	24	0
2007-12-28	85	22	7
2007-12-29	2745	1087	53
2007-12-30	1393	926	285
2007-12-31	295	211	69
2008-01-01	666	528	16
2008-01-02	7	5	3
2008-01-08	21	9	1
2008-01-09	13	4	0
2008-01-10	308	308	17
2008-01-13	28	8	0
2008-01-15	5	2	0
2008-01-26	2	0	0
2008-02-01	37	0	0
2008-02-02	11	3	0
2008-02-03	5	0	0
2008-02-04	70	49	4
2008-02-05	11	1	0
2008-02-06	11	7	2
2008-02-07	53	43	23
2008-02-08	314	297	23
2008-02-09	11	8	4
2008-02-10	17	10	8
2008-02-14	3	1	0
2008-02-17	3	0	0
2008-02-21	2	0	0
2008-02-26	2	2	2
2008-03-03	194	192	25
2008-03-05	15	2	1
2008-03-06	290	275	5
2008-03-09	15	12	3
2008-03-10	102	74	2
2008-03-11	282	225	38
2008-03-12	17	17	2
2008-03-13	80	80	20
2008-03-14	453	453	113
2008-03-15	188	183	11
2008-03-23	21	18	0
2008-04-03	40	0	0
2008-04-20	30	21	4
2008-04-26	2	2	0
2008-05-07	4	2	1
2008-05-08	128	57	4
2008-05-09	2	2	0
2008-05-12	12	12	1
2008-05-17	1680	1492	54
2008-05-22	7	7	6
2008-05-23	468	465	3
2008-05-24	264	211	1
2008-05-25	657	609	0
2008-05-26	245	223	0
2008-05-27	455	363	1
2008-05-28	110	53	0
2008-05-29	361	326	41
2008-05-31	228	141	28
2008-06-01	178	115	6
2008-06-02	9	6	0
2008-06-03	1423	1319	17
2008-06-04	1016	953	27
2008-06-05	159	78	0
2008-06-06	49	24	8
2008-06-08	2	0	0
2008-06-10	26	12	0
2008-06-11	1398	1383	4
2008-06-12	1121	1023	0
2008-06-13	237	199	8
2008-06-14	283	264	5
2008-06-15	1244	1192	25
2008-06-16	632	340	23
2008-06-17	75	73	36
2008-06-18	1372	1301	1
2008-06-19	240	202	1
2008-06-21	5	1	0
2008-06-22	3632	984	10
2008-06-23	108	77	2
2008-06-24	1170	1149	227
2008-06-25	9	9	1
2008-06-26	580	408	0
2008-06-29	423	409	19
2008-06-30	871	853	2
2008-07-01	87	78	29
2008-07-02	775	371	29
2008-07-03	354	353	1
2008-07-04	1467	824	286
2008-07-05	25	14	1
2008-07-06	450	448	4
2008-07-07	11	6	2
2008-07-08	204	174	10
2008-07-09	98	57	7
2008-07-10	49	41	0
2008-07-11	158	23	2
2008-07-12	46	30	0
2008-07-13	800	765	4
2008-07-14	2762	2361	798
2008-07-15	1124	169	7
2008-07-16	474	314	67
2008-07-17	482	172	49
2008-07-19	196	120	14
2008-07-20	803	748	16
2008-07-21	2444	2216	36
2008-07-22	1424	1402	3
2008-07-23	120	103	5
2008-07-24	675	623	5
2008-07-25	89	81	2
2008-07-26	724	339	14
2008-07-27	136	76	0
2008-07-28	59	57	1
2008-07-29	139	131	0
2008-07-30	1	0	0
2008-07-31	1016	510	0
2008-08-01	166	166	44
2008-08-02	107	99	15
2008-08-03	6	0	0
2008-08-04	17	10	0
2008-08-05	485	448	2
2008-08-06	51	39	0
2008-08-07	331	254	1
2008-08-08	549	516	7
2008-08-09	1040	854	23
2008-08-10	743	396	0
2008-08-11	114	38	0
2008-08-12	305	277	26
2008-08-13	158	122	1
2008-08-14	83	73	2
2008-08-15	221	200	50
2008-08-16	352	295	2
2008-08-17	315	271	2
2008-08-18	77	62	0
2008-08-19	354	339	17
2008-08-22	304	211	0
2008-08-23	373	290	0
2008-08-24	344	263	0
2008-08-25	32	26	0
2008-08-26	516	238	2
2008-08-27	262	204	0
2008-08-28	116	78	1
2008-08-29	177	141	0
2008-08-30	89	36	0
2008-08-31	782	732	22
2008-09-02	1477	827	1
2008-09-03	2104	2043	29
2008-09-04	216	174	0
2008-09-05	84	82	1
2008-09-06	362	349	0
2008-09-07	27	3	0
2008-09-08	295	41	0
2008-09-09	126	98	0
2008-09-10	95	75	0
2008-09-11	444	311	1
2008-09-12	5	0	0
2008-09-13	316	293	29
2008-09-14	78	63	0
2008-09-15	371	358	2
2008-09-16	1045	1026	157
2008-09-17	138	69	0
2008-09-18	186	141	0
2008-09-19	999	926	1
2008-09-20	563	546	10
2008-09-22	473	433	33
2008-09-23	137	111	0
2008-09-24	15	15	0
2008-09-25	67	63	1
2008-09-26	535	239	24
2008-09-27	892	723	106
2008-09-28	160	56	7
2008-09-29	127	120	34
2008-09-30	244	138	1
2008-10-01	2	1	0
2008-10-02	15	6	0
2008-10-03	81	78	0
2008-10-04	27	15	0
2008-10-05	28	28	4
2008-10-06	50	49	0
2008-10-07	443	379	16
2008-10-08	340	309	4
2008-10-09	1	0	0
2008-10-10	16	15	0
2008-10-12	208	144	3
2008-10-13	5094	1146	70
2008-10-14	268	166	23
2008-10-15	30	9	0
2008-10-16	92	44	0
2008-10-17	94	37	1
2008-10-18	212	152	0
2008-10-19	3881	2236	4
2008-10-20	149	69	0
2008-10-21	3	0	0
2008-10-22	158	76	0
2008-10-23	193	72	2
2008-10-24	30	0	0
2008-10-25	287	176	4
2008-10-26	48	18	0
2008-10-27	41	11	1
2008-10-28	2807	442	22
2008-10-29	465	146	6
2008-10-30	153	53	0
2008-10-31	892	111	0
2008-11-01	2066	707	59
2008-11-02	1021	374	12
2008-11-03	1382	258	2
2008-11-04	4831	554	20
2008-11-05	593	89	0
2008-11-06	3362	295	3
2008-11-07	2103	136	0
2008-11-08	339	27	0
2008-11-09	1716	417	6
2008-11-10	2153	254	11
2008-11-12	709	227	33
2008-11-13	4329	156	1
2008-11-14	823	35	0
2008-11-15	2012	145	0
2008-11-16	3285	1068	6
2008-11-17	125	11	0
2008-11-18	11	6	0
2008-11-19	14	11	0
2008-11-20	724	292	3
2008-11-21	587	201	0
2008-11-22	499	308	4
2008-11-23	720	242	0
2008-11-24	14	2	0
2008-11-25	527	404	2
2008-11-26	236	112	0
2008-11-27	531	358	0
2008-11-28	1193	113	0
2008-11-29	283	211	0
2008-11-30	2354	1785	43
2008-12-01	910	310	24
2008-12-02	205	197	1
2008-12-03	19	9	0
2008-12-04	422	353	0
2008-12-06	21280	1106	91
2008-12-07	4886	177	0
2008-12-08	577	255	0
2008-12-09	235	2	0
2008-12-10	55	0	0
2008-12-11	436	37	0
2008-12-12	2102	287	0
2008-12-13	3521	180	5
2008-12-14	1812	157	1
2008-12-15	5334	1462	7
2008-12-16	394	372	0
2008-12-17	6687	112	2
2008-12-18	322	310	0
2008-12-19	92	15	0
2008-12-20	2605	154	2
2008-12-21	966	116	1
2008-12-22	61	26	0
2008-12-23	78	0	0
2008-12-24	4	0	0
2008-12-25	402	402	0
2008-12-26	402	375	1
2008-12-27	290	118	0
2008-12-28	104	0	0
2008-12-29	162	91	0
2008-12-30	272	30	0
2008-12-31	550	504	0
2009-01-01	14	11	1
2009-01-03	6630	1197	31
2009-01-04	13209	2478	52
2009-01-05	7708	653	30
2009-01-06	15814	1184	62
2009-01-07	7441	773	11
2009-01-08	2075	600	16
2009-01-09	5563	541	5
2009-01-10	5956	1213	8
2009-01-11	2957	1531	16
2009-01-12	13909	1370	109
2009-01-13	9875	857	9
2009-01-14	12632	888	68
2009-01-15	17588	1401	66
2009-01-16	3522	383	18
2009-01-17	2463	328	25
2009-01-18	1333	427	176
2009-01-19	630	52	5
2009-01-20	130	61	39
2009-01-21	2681	263	31
2009-01-22	733	37	0
2009-01-23	940	142	0
2009-01-24	3015	365	7
2009-01-25	1844	981	0
