date	count	v1count	blankcount
2005-04-18	1	1	1
2005-04-26	1	1	1
2005-05-25	40	40	0
2005-05-27	117	117	17
2005-05-28	33	33	19
2005-06-02	2	2	0
2005-06-05	132	132	38
2005-06-06	311	311	31
2005-06-07	21	21	3
2005-06-08	45	45	4
2005-06-09	47	47	1
2005-06-11	13	13	0
2005-06-12	1	1	0
2005-07-18	78	78	36
2005-07-20	46	46	0
2005-07-25	26	26	6
2005-07-27	13	13	2
2005-08-11	3	3	0
2005-08-16	4	4	0
2005-08-23	11	11	1
2005-08-27	1	1	0
2005-08-28	1	1	1
2005-08-29	1	1	0
2005-08-31	4	4	0
2005-09-01	57	57	19
2005-09-04	61	61	17
2005-09-05	42	42	8
2005-09-06	21	21	4
2005-09-07	46	46	6
2005-09-08	59	59	3
2005-09-09	74	74	11
2005-09-10	10	10	5
2005-09-11	149	149	8
2005-09-12	108	108	4
2005-09-13	16	16	5
2005-09-14	41	41	7
2005-09-15	115	115	2
2005-09-16	80	80	5
2005-09-17	45	45	6
2005-09-18	13	13	1
2005-09-19	2	2	0
2005-09-20	7	7	2
2005-09-21	59	59	4
2005-09-25	73	73	9
2005-09-26	36	36	1
2005-09-29	85	85	8
2005-09-30	38	38	1
2005-10-01	95	95	9
2005-10-03	88	88	18
2005-10-04	92	92	46
2005-10-05	1	1	0
2005-10-06	30	30	8
2005-10-07	56	56	9
2005-10-08	85	85	35
2005-10-09	39	39	10
2005-10-11	9	9	0
2005-10-12	25	25	1
2005-10-13	113	113	19
2005-10-15	20	20	0
2005-10-17	52	52	12
2005-10-18	28	28	2
2005-10-19	55	55	3
2005-10-20	40	40	8
2005-10-22	138	138	9
2005-10-23	29	29	5
2005-10-24	79	79	11
2005-10-25	7	7	3
2005-10-29	72	72	17
2005-11-02	9	9	3
2005-11-06	2	2	1
2005-11-07	9	9	0
2005-11-08	20	20	2
2005-11-09	36	36	2
2005-11-10	39	39	15
2005-11-11	18	18	1
2005-11-13	17	17	3
2005-11-14	9	9	0
2005-11-15	11	11	3
2005-11-19	1	1	0
2005-11-20	35	35	3
2005-11-21	27	27	8
2005-11-22	20	20	1
2005-11-23	51	51	0
2005-11-24	9	9	2
2005-11-25	62	62	8
2005-11-26	8	8	0
2005-11-28	11	11	9
2005-11-29	7	7	0
2005-11-30	39	39	0
2005-12-01	1	1	0
2005-12-02	41	41	1
2005-12-03	21	21	4
2005-12-05	3	3	0
2005-12-08	3	3	0
2005-12-15	40	40	6
2005-12-16	77	77	9
2005-12-19	2	2	1
2005-12-30	20	20	0
2005-12-31	1	1	0
2006-01-05	33	33	3
2006-01-06	1	1	0
2006-01-08	31	31	0
2006-01-09	7	7	0
2006-01-10	4	4	0
2006-01-12	13	13	0
2006-01-13	35	35	0
2006-01-16	38	38	0
2006-01-17	1	1	0
2006-01-18	1	1	0
2006-01-19	1	1	0
2006-01-20	3	3	0
2006-01-22	4	4	0
2006-01-23	7	7	1
2006-01-24	20	20	3
2006-01-25	4	4	0
2006-01-26	73	73	1
2006-01-27	24	24	0
2006-01-28	35	35	11
2006-01-30	10	10	2
2006-01-31	61	61	0
2006-02-02	82	82	14
2006-02-03	1	1	0
2006-02-06	5	5	0
2006-02-07	14	14	7
2006-02-08	64	64	5
2006-02-10	19	19	3
2006-02-11	39	39	5
2006-02-12	40	40	13
2006-02-15	23	23	5
2006-02-19	20	20	8
2006-02-21	11	11	0
2006-02-22	2	2	0
2006-02-25	5	5	0
2006-02-26	9	9	4
2006-03-01	2	2	0
2006-03-06	2	2	0
2006-03-07	15	15	0
2006-03-08	1	1	0
2006-03-11	27	27	2
2006-03-12	69	69	8
2006-03-13	34	34	4
2006-03-14	41	41	2
2006-03-15	202	202	8
2006-03-16	11	11	0
2006-03-17	5	5	0
2006-03-19	7	7	1
2006-03-21	11	11	0
2006-03-22	287	287	5
2006-03-23	266	266	0
2006-03-24	130	130	0
2006-03-25	31	31	0
2006-03-26	13	13	0
2006-03-27	21	21	1
2006-03-28	25	25	0
2006-03-29	6	6	0
2006-03-30	23	23	0
2006-04-01	29	29	0
2006-04-02	40	40	0
2006-04-03	16	16	0
2006-04-04	14	14	0
2006-04-07	11	11	1
2006-04-08	37	37	5
2006-04-10	22	22	0
2006-04-11	17	17	0
2006-04-12	7	7	0
2006-04-13	29	29	0
2006-04-14	37	37	2
2006-04-15	26	26	3
2006-04-16	39	39	5
2006-04-18	2	2	0
2006-04-19	236	236	3
2006-04-20	56	56	15
2006-04-21	10	10	4
2006-04-23	112	112	9
2006-04-24	10	10	0
2006-04-25	32	32	10
2006-04-26	23	23	2
2006-04-27	2	2	0
2006-04-28	22	22	4
2006-04-29	23	23	0
2006-04-30	38	38	0
2006-05-01	26	26	2
2006-05-04	11	11	0
2006-05-05	43	43	6
2006-05-06	29	29	0
2006-05-07	215	215	11
2006-05-08	11	11	1
2006-05-09	18	18	6
2006-05-10	2	2	0
2006-05-11	38	38	0
2006-05-12	39	39	0
2006-05-13	21	21	0
2006-05-14	48	48	3
2006-05-15	65	65	2
