date	count	v1count	blankcount
2006-10-02	45	45	5
2006-11-13	5	5	5
2007-01-31	51	51	4
2007-03-08	523	523	53
2007-03-18	1	1	0
2007-03-24	63	63	11
2007-03-25	106	106	5
2007-03-31	8	8	5
2007-05-02	1	1	1
2007-05-20	2	2	2
2007-07-20	44	44	10
2007-07-31	6	6	3
2007-08-15	51	51	6
2007-08-16	129	129	25
2007-09-18	11055	11055	940
2007-09-19	32061	32061	384
2007-10-06	133	133	28
2007-10-10	677	97	9
2007-10-15	425	198	2
2007-10-16	13	2	0
2007-10-20	2	0	0
2007-10-23	1	0	0
2007-10-26	5765	5765	254
2007-10-27	6903	6903	76
2007-11-01	173881	173881	1324
2007-11-02	49861	49861	60
2007-11-03	118	4	3
2007-11-12	6	0	0
2007-11-18	344540	344540	8247
2007-11-19	112147	112147	742
2007-11-20	288	2	0
2007-11-23	1	0	0
2007-11-29	3	1	0
2007-11-30	9	0	0
2007-12-01	1	0	0
2007-12-02	151	0	0
2007-12-04	743	743	2
2007-12-06	497	45	0
2007-12-07	35	0	0
2007-12-08	138	53	0
2007-12-09	1012	236	11
2007-12-11	1	0	0
2007-12-13	41	0	0
2007-12-14	153	0	0
2007-12-17	54	0	0
2007-12-18	1	0	0
2007-12-23	1	0	0
2007-12-27	18	18	0
2007-12-30	1	0	0
2008-01-01	2	0	0
2008-01-03	2	0	0
2008-01-06	156	2	0
2008-01-10	1	0	0
2008-01-12	960	326	0
2008-01-19	848	172	0
2008-01-21	2	2	0
2008-01-26	427	48	0
2008-01-27	1399	693	0
2008-01-28	232	35	0
2008-01-29	8	3	0
2008-02-09	355	263	1
2008-02-10	2335	541	0
2008-02-11	270	168	1
2008-02-12	5	5	0
2008-02-13	141	129	0
2008-02-15	243	61	0
2008-02-16	1701	340	0
2008-02-17	387	151	0
2008-02-18	290	118	0
2008-02-21	238	44	0
2008-02-26	3	2	0
2008-02-27	6	6	0
2008-03-03	1	0	0
2008-03-04	7	0	0
2008-03-06	1	0	0
2008-03-07	417	8	0
2008-03-08	367	17	0
2008-03-09	194	20	0
2008-03-21	90	84	0
2008-03-28	1838	208	0
2008-03-29	591	28	0
2008-04-06	2414	565	0
2008-04-11	207	3	0
2008-04-12	826	184	0
2008-04-14	1311	184	0
2008-04-18	48	0	0
2008-04-19	2093	491	2
2008-04-20	3010	581	1
2008-04-21	76	42	0
2008-04-23	692	532	3
2008-04-25	416	46	0
2008-04-26	304	52	0
