date	count	v1count	blankcount
2005-11-04	1	1	1
2006-04-06	11	11	4
2006-04-19	5	5	4
2006-05-13	52	52	6
2006-05-14	465	465	18
2006-05-15	359	359	24
2006-05-16	30	30	0
2006-05-17	437	437	22
2006-05-20	55	55	1
2006-05-21	195	195	0
2006-05-29	22	22	0
2006-07-03	88	88	2
2006-07-04	41	41	2
2006-07-05	147	147	3
2006-07-10	11	11	6
2006-08-19	32	32	10
2006-09-04	1	1	0
2006-09-10	16	16	1
2006-09-11	28	28	3
2006-10-02	20	20	0
2006-10-03	1	1	0
2006-10-06	6	6	0
2006-11-05	12	12	5
2006-11-06	33	33	3
2006-11-07	175	175	9
2006-11-10	4	4	1
2006-11-16	12	12	1
2006-11-22	13	13	2
2006-11-23	12	12	1
2006-11-28	41	41	3
2006-12-02	2	2	1
2006-12-03	39	39	0
2006-12-04	2	2	0
2006-12-08	33	33	0
2006-12-10	12	12	4
2006-12-12	5	5	2
2006-12-13	27	27	4
2006-12-14	10	10	4
2006-12-16	83	83	5
2006-12-17	246	246	0
2006-12-18	40	40	0
2006-12-19	2	2	0
2006-12-20	119	119	1
2006-12-21	40	40	7
2006-12-22	54	54	0
2006-12-23	296	296	4
2006-12-24	414	414	26
2006-12-25	236	236	4
2006-12-26	19	19	0
2006-12-30	328	328	2
2007-01-03	138	138	4
2007-01-04	2	2	0
2007-01-05	4	4	0
2007-01-08	26	26	0
2007-01-10	292	292	3
2007-01-11	245	245	3
2007-01-17	99	99	0
2007-01-19	73	73	0
2007-01-20	415	415	3
2007-01-21	575	575	0
2007-01-22	692	692	3
2007-01-23	10	10	0
2007-01-24	120	120	2
2007-01-25	51	51	0
2007-01-26	309	309	0
2007-01-27	576	576	0
2007-01-28	21	21	0
2007-01-29	375	375	7
2007-01-30	351	351	0
2007-02-01	407	407	1
2007-02-03	328	328	8
2007-02-05	66	66	0
2007-02-06	6	6	0
2007-02-07	313	313	22
2007-02-08	1	1	0
2007-02-13	187	187	4
2007-02-14	87	87	0
2007-02-15	108	108	0
2007-02-16	43	43	0
2007-02-18	15	15	2
2007-02-19	42	42	0
2007-02-21	22	22	0
2007-02-24	296	296	1
2007-02-26	10	10	0
2007-03-04	1	1	0
2007-03-05	1	1	0
2007-03-07	28	28	0
2007-03-12	21	21	0
2007-03-13	6	6	0
2007-03-14	56	56	0
2007-03-15	18	18	0
2007-03-16	24	24	0
2007-03-19	6	6	0
2007-03-20	4	4	0
2007-03-21	25	25	0
2007-03-22	8	8	0
2007-03-23	36	36	0
2007-03-24	12	12	0
2007-03-27	51	51	0
2007-03-28	139	139	0
2007-03-29	35	35	0
2007-03-30	116	116	0
2007-04-02	2	2	0
2007-04-03	22	22	0
2007-04-04	138	138	2
2007-04-05	20	20	0
2007-04-06	7	7	0
2007-04-07	63	63	0
2007-04-09	67	67	1
2007-04-10	118	118	0
2007-04-12	202	202	4
2007-04-13	52	52	0
2007-04-16	12	12	0
2007-04-17	207	207	0
2007-04-18	15	15	0
2007-04-19	71	71	0
2007-04-20	1	1	0
2007-04-22	15	15	0
2007-04-24	89	89	0
2007-04-25	22	22	0
2007-04-27	84	84	0
2007-04-30	66	66	0
2007-05-01	27	27	0
2007-05-09	74	74	1
2007-05-10	13	13	0
2007-05-12	14	14	0
2007-05-13	11	11	0
2007-05-14	138	138	0
2007-05-15	159	159	0
2007-05-16	253	253	0
2007-05-17	135	135	0
2007-05-18	99	99	3
2007-05-21	14	14	1
2007-05-22	1	1	0
2007-05-23	30	30	0
2007-06-03	252	252	9
2007-06-04	478	478	9
2007-06-05	191	191	4
2007-06-06	31	31	6
2007-06-07	67	67	6
2007-06-08	91	91	0
2007-06-10	137	137	2
2007-06-11	26	26	0
2007-06-14	144	144	0
2007-06-15	63	63	0
2007-06-16	244	244	7
2007-06-18	1	1	0
2007-06-19	61	61	0
2007-06-20	130	130	4
2007-06-21	48	48	0
2007-06-22	439	439	0
2007-06-24	3	3	1
2007-06-25	422	422	25
2007-06-26	188	188	0
2007-06-27	107	107	0
2007-06-28	12	12	0
2007-07-02	14	14	0
2007-07-03	237	237	0
2007-07-04	322	322	0
2007-07-05	9	9	0
2007-07-08	7	7	0
2007-07-09	77	77	0
2007-07-10	159	159	3
2007-07-11	179	179	0
2007-07-12	21	21	0
2007-07-13	144	144	0
2007-07-16	336	336	1
2007-07-17	192	192	1
2007-07-18	2546	2546	1
2007-07-19	19	19	0
2007-07-22	484	484	1
2007-07-23	692	692	9
2007-07-24	2250	2250	2
2007-07-25	3103	3103	2
2007-07-26	1071	1071	2
2007-07-27	989	989	1
2007-07-28	33	33	0
2007-07-29	119	119	0
2007-07-30	85	85	0
2007-07-31	139	139	0
2007-08-01	63	63	1
2007-08-02	308	308	0
2007-08-03	2751	2751	0
2007-08-06	12	12	0
2007-08-12	14	14	1
2007-08-13	4	4	0
2007-08-17	44	44	0
2007-08-21	43	43	0
2007-08-22	1	1	0
2007-08-24	32	32	0
2007-08-28	58	58	0
2007-08-29	44	44	1
2007-08-30	28	28	0
2007-09-01	11	11	0
2007-09-02	47	47	0
2007-09-03	109	109	0
2007-09-04	174	174	1
2007-09-05	12	12	0
2007-09-10	8	8	0
2007-09-12	9	9	0
2007-09-14	67	67	0
2007-09-15	3	3	0
2007-09-17	2	2	0
2007-09-18	2	2	0
2007-09-20	93	93	0
2007-09-21	94	94	0
2007-09-22	360	360	2
2007-09-23	124	124	0
