date	count	v1count	blankcount
2007-03-18	1	1	1
2007-06-13	461	461	58
2007-06-14	2136	2136	113
2007-06-15	833	833	33
2007-06-16	20	20	0
2007-06-17	389	389	16
2007-06-18	1759	1759	212
2007-06-19	468	468	5
2007-06-21	53	53	0
2007-06-22	204	204	0
2007-06-23	96	96	0
2007-06-24	271	271	0
2007-06-26	12	12	0
2007-06-29	43	43	0
2007-07-01	162	162	0
2007-07-02	524	524	44
2007-07-04	267	267	9
2007-07-11	86	86	0
2007-08-18	14	14	0
2007-08-19	19	19	0
2007-08-20	10	10	0
2007-08-29	2	2	0
2007-09-11	179	179	0
2007-10-09	6	1	0
2008-01-15	3	3	0
2008-03-21	21	21	9
2008-04-02	10	0	0
2008-06-03	1442	859	8
2008-06-04	3111	2328	67
2008-06-05	3407	2890	18
2008-06-06	1949	1564	31
2008-06-07	217	196	2
2008-06-08	755	697	23
2008-06-09	896	844	45
2008-06-11	308	212	0
2008-06-12	538	394	0
2008-06-13	990	812	0
2008-06-14	252	225	0
2008-06-15	2077	1720	45
2008-06-16	1009	798	4
2008-06-17	2267	1892	11
2008-06-18	2133	1988	35
2008-06-19	210	194	9
2008-06-20	3246	2347	20
2008-06-21	2113	1913	62
2008-06-22	4167	3954	106
2008-06-23	2292	1997	19
2008-06-24	938	923	22
2008-06-25	1787	1682	28
2008-06-26	1530	985	23
2008-06-27	3122	2768	58
2008-06-28	2090	1671	0
2008-06-29	1334	1066	0
2008-06-30	2963	2453	8
2008-07-01	743	534	0
2008-07-02	948	752	0
2008-07-03	718	548	0
2008-07-04	355	287	0
2008-07-05	790	603	0
2008-07-06	2125	1761	17
2008-07-08	330	308	0
2008-07-12	9	7	0
2008-07-19	15	3	0
2008-07-20	7	0	0
2008-07-21	1005	907	1
2008-07-22	962	943	0
2008-07-23	499	496	0
2008-08-08	1	0	0
2008-08-09	553	541	15
2008-08-14	37	30	0
2008-08-22	608	558	0
2008-08-24	2370	2207	0
2008-08-25	618	559	0
2008-08-26	1	1	0
2008-08-27	166	155	1
2008-08-28	52	45	0
2008-08-30	432	399	1
2008-08-31	17	17	0
2008-09-01	10	10	3
2008-09-02	274	202	0
2008-09-03	170	169	0
2008-09-04	69	57	0
2008-09-05	235	216	5
2008-09-06	549	472	3
2008-09-08	27	25	0
2008-09-09	310	199	3
2008-09-10	116	81	0
2008-09-11	23	19	0
2008-09-12	43	36	0
2008-09-15	556	368	0
2008-09-16	80	73	0
2008-09-17	29	28	0
2008-09-19	299	195	0
2008-09-21	222	201	14
2008-09-22	147	145	0
2008-09-23	501	270	0
2008-09-24	205	175	14
2008-09-25	5	5	0
2008-09-26	58	37	0
2008-09-27	230	208	0
2008-09-28	295	263	1
2008-09-29	587	495	25
2008-09-30	106	74	0
2008-10-01	163	103	1
2008-10-02	258	243	0
2008-10-03	96	68	1
2008-10-04	447	431	2
2008-10-05	263	260	11
2008-10-06	586	416	6
2008-10-07	9	9	0
2008-10-08	167	146	0
2008-10-09	41	23	0
2008-10-10	87	45	0
2008-10-11	38	30	0
2008-10-12	449	11	0
2008-10-14	119	103	1
2008-10-15	96	75	0
2008-10-16	504	472	0
2008-10-17	107	49	0
2008-10-18	285	250	2
2008-10-19	2	1	0
2008-10-21	105	0	0
2008-10-22	311	24	0
2008-10-23	336	149	0
2008-10-29	694	49	1
2008-10-30	54	0	0
2008-11-03	87	0	0
2008-11-07	51	47	0
2008-11-08	3	3	0
2008-11-12	4	4	0
2008-11-13	30	18	1
2008-11-15	18	10	0
2008-11-16	393	356	0
2008-11-17	144	0	0
2008-11-18	211	49	0
2008-11-19	5	4	0
2008-11-21	615	30	0
2008-11-22	1764	56	0
2008-12-01	4783	334	10
2008-12-02	629	3	0
2008-12-03	26	0	0
2008-12-05	1331	0	0
2008-12-06	341	0	0
2008-12-09	41	0	0
2008-12-10	223	9	0
2008-12-11	1913	264	0
2008-12-12	4482	376	0
2008-12-13	4	0	0
2008-12-14	921	169	4
2008-12-16	8153	823	11
2008-12-17	97	23	0
2008-12-18	3194	251	0
2008-12-21	2	0	0
2008-12-27	628	13	0
2008-12-29	206	206	2
2009-01-01	432	63	0
2009-01-04	897	39	0
2009-01-05	1578	235	1
2009-01-06	135	0	0
2009-01-07	582	564	13
2009-01-08	68	0	0
2009-01-09	3092	517	1
2009-01-10	2728	356	0
2009-01-11	1062	37	0
2009-01-12	3614	501	0
2009-01-13	2840	635	10
2009-01-14	161	43	1
2009-01-15	233	7	0
2009-01-16	129	12	0
2009-01-17	4262	393	4
2009-01-18	527	23	1
2009-01-19	3880	751	0
2009-01-20	609	383	0
2009-01-21	2446	164	0
2009-01-22	17729	973	1
2009-01-25	8563	835	12
2009-01-26	4899	388	5
2009-01-29	5470	502	0
2009-01-31	66	6	0
2009-02-01	325	49	0
2009-02-06	273	32	0
2009-02-07	4826	801	0
2009-02-08	193	20	0
2009-02-09	3205	333	1
2009-02-10	150	85	0
2009-02-11	319	83	0
2009-02-12	11198	897	0
2009-02-13	1052	150	0
2009-02-14	6673	393	0
2009-02-20	20	20	0
2009-02-23	49	0	0
2009-02-24	3426	294	5
2009-02-25	1	0	0
2009-02-26	495	121	1
2009-02-28	6	0	0
2009-03-04	505	489	0
2009-03-05	374	8	0
2009-03-06	71	67	0
2009-03-07	481	0	0
2009-03-09	1517	346	0
2009-03-11	1531	436	1
2009-03-12	547	155	0
2009-03-13	9908	1949	0
2009-03-14	1	0	0
2009-03-15	105	0	0
2009-03-16	105	0	0
2009-03-17	105	0	0
2009-03-20	105	0	0
2009-03-21	266	263	1
2009-03-22	208	206	0
2009-03-23	976	235	4
2009-03-27	82	80	1
2009-03-30	44	0	0
2009-03-31	2	1	0
2009-04-03	503	498	2
2009-04-04	379	378	2
2009-04-05	779	776	3
2009-04-06	2273	2260	13
2009-04-10	756	743	0
2009-04-11	1860	1528	3
2009-04-12	1190	181	1
2009-04-14	2	0	0
2009-04-16	326	200	3
2009-04-21	664	663	1
2009-04-22	1149	1060	3
2009-04-23	228	227	0
2009-04-24	767	764	3
2009-04-25	74	74	0
2009-04-26	1859	1845	0
2009-04-27	3460	3441	21
2009-04-28	352	349	1
2009-04-29	1430	1286	42
2009-04-30	1259	1168	15
2009-05-01	1544	1491	1
2009-05-02	69	66	0
2009-05-03	479	475	0
2009-05-04	1036	1027	12
2009-05-05	857	812	9
2009-05-06	444	439	0
2009-05-07	7	5	0
