date	count	v1count	blankcount
2007-02-25	1	1	1
2007-03-18	1	1	1
2007-04-07	296	296	74
2007-11-07	2	0	0
2007-12-10	76	34	9
2007-12-11	277	158	18
2007-12-12	1835	328	28
2007-12-13	1659	424	21
2007-12-14	30	30	0
2007-12-21	4	4	0
2007-12-22	583	233	12
2007-12-28	28	1	0
2007-12-29	37	36	8
2008-01-02	378	207	3
2008-01-04	318	113	6
2008-01-06	763	520	31
2008-01-07	336	276	19
2008-01-08	233	100	6
2008-01-09	45	43	2
2008-01-10	696	646	42
2008-01-13	481	451	8
2008-01-14	23	23	1
2008-01-15	166	141	13
2008-01-16	1	1	0
2008-01-17	24	18	0
2008-01-22	597	570	17
2008-01-23	728	639	1
2008-01-24	49	45	19
2008-01-25	263	229	6
2008-01-26	239	212	1
2008-01-28	65	61	0
2008-01-29	18	14	0
2008-01-31	51	13	0
2008-02-02	107	93	1
2008-02-03	68	66	0
2008-02-05	11	4	0
2008-02-07	1	0	0
2008-02-08	146	109	0
2008-02-09	8	0	0
2008-02-10	155	127	0
2008-02-11	3	0	0
2008-02-12	3	0	0
2008-02-13	2	0	0
2008-02-14	9	0	0
2008-02-15	18	0	0
2008-02-16	5	0	0
2008-02-17	2	0	0
2008-02-20	106	63	0
2008-02-23	6	0	0
2008-02-24	1	0	0
2008-02-26	12	0	0
2008-02-27	1	1	0
2008-03-01	130	100	0
2008-03-02	57	42	0
2008-03-03	625	559	1
2008-03-04	678	659	10
2008-03-12	6	0	0
2008-03-13	54	39	0
2008-03-19	58	47	3
2008-03-20	93	92	0
2008-03-21	482	476	0
2008-03-22	1050	1035	2
2008-03-23	667	641	0
2008-03-24	74	74	14
2008-03-25	144	144	0
2008-03-28	21	8	0
2008-03-30	1344	983	0
2008-03-31	3774	3532	7
2008-04-01	1865	1760	10
2008-04-02	2026	1914	0
2008-04-03	1084	853	3
2008-04-04	17	10	0
2008-04-05	621	464	0
2008-04-06	2341	2049	1
2008-04-07	1251	1090	0
2008-04-08	236	224	0
2008-04-09	15	13	0
2008-04-14	9	0	0
2008-04-15	18	17	0
2008-04-17	1	0	0
2008-04-18	1	0	0
2008-04-19	11	1	0
2008-04-20	28	24	0
2008-04-21	531	474	0
2008-04-23	714	627	0
2008-04-24	264	256	0
2008-04-26	249	234	0
2008-04-27	179	173	0
2008-04-28	53	47	0
2008-04-29	183	161	0
2008-04-30	102	44	0
2008-05-01	1019	953	0
2008-05-02	10	10	0
2008-05-03	9	8	0
2008-05-04	6	6	0
2008-05-05	101	100	0
2008-05-07	95	66	0
2008-05-08	968	886	0
2008-05-09	444	223	0
2008-05-10	1212	1085	0
2008-05-11	841	826	0
2008-05-12	1393	1369	4
2008-05-13	389	384	0
2008-05-14	662	647	0
2008-05-15	25	11	0
2008-05-16	255	193	0
2008-05-17	269	243	1
2008-05-18	258	230	0
2008-05-19	11	10	0
2008-05-20	56	38	0
2008-05-21	63	62	0
2008-05-22	153	143	0
2008-05-24	11	8	0
2008-05-28	174	170	1
2008-05-29	31	22	0
2008-05-30	18	18	0
2008-06-04	17	3	0
2008-06-06	10	2	0
2008-06-07	131	124	0
2008-06-08	36	26	0
2008-06-09	5	0	0
2008-06-11	11	11	0
2008-06-13	76	76	0
2008-06-14	21	18	0
2008-06-16	2	2	0
2008-06-18	614	603	15
2008-06-19	7	1	0
2008-06-21	21	20	0
2008-06-23	698	698	10
2008-06-24	705	698	0
2008-06-25	4	1	0
2008-06-26	36	36	0
2008-06-27	1351	1351	25
2008-06-29	1332	1142	3
2008-06-30	95	7	0
2008-07-01	20453	20440	13
2008-07-02	521	360	0
2008-07-03	58562	56971	1
2008-07-04	224	118	0
2008-07-05	6	4	0
2008-07-06	45636	44638	0
2008-07-07	1012	256	0
2008-07-08	54193	51118	1
2008-07-09	1570	541	1
2008-07-10	1640	753	1
2008-07-11	241	107	0
2008-07-12	854	351	0
2008-07-13	967	419	0
2008-07-14	172	26	0
2008-07-15	303	185	0
2008-07-16	61	6	0
2008-07-17	57	15	0
2008-07-18	195	90	0
2008-07-19	106	74	0
2008-07-20	569	267	1
2008-07-21	2399	633	0
2008-07-22	289	67	0
2008-07-23	803	541	0
2008-07-24	389	124	0
2008-07-25	250	88	0
2008-07-26	252	177	0
2008-07-27	68	55	0
2008-07-28	1147	532	0
2008-07-29	785	478	1
2008-07-30	1061	456	2
2008-07-31	299	47	0
2008-08-02	82	27	0
2008-08-04	12	9	0
2008-08-05	55	38	0
2008-08-06	36	27	0
2008-08-07	167	20	0
2008-08-08	503	55	0
2008-08-10	157	126	0
2008-08-11	6	4	0
2008-08-14	150	31	0
2008-08-15	57	46	0
2008-08-16	56	53	0
2008-08-17	220	88	0
2008-08-18	128	44	0
2008-08-19	46	26	0
2008-08-20	231	102	0
2008-08-21	365	74	0
2008-08-22	399	88	0
2008-08-23	381	87	0
2008-08-24	11	8	0
2008-08-26	81	72	0
2008-08-27	44	44	0
2008-08-28	4	2	0
2008-08-30	63	36	0
2008-08-31	432	245	0
2008-09-01	471	9	0
2008-09-02	25	0	0
2008-09-03	212	18	0
2008-09-05	59	54	0
2008-09-06	28	27	0
2008-09-09	99	73	0
2008-09-10	58	10	0
2008-09-11	131	131	0
2008-09-14	10	1	0
2008-09-15	129	129	0
2008-09-16	41	39	0
2008-09-17	59	59	0
2008-09-18	29	28	0
2008-09-21	70	38	0
2008-09-22	3	0	0
2008-09-23	4	2	0
2008-09-24	3	0	0
2008-09-28	62	62	0
2008-09-30	131	10	0
2008-10-01	68	51	0
2008-10-05	6	0	0
2008-10-07	170	0	0
2008-10-08	3	1	0
2008-10-09	1	0	0
2008-10-10	2155	48	0
2008-10-11	1620	63	0
2008-10-12	256	16	0
2008-10-13	60	0	0
2008-10-14	1609	0	0
2008-10-15	3	1	0
2008-10-16	79	4	0
2008-10-18	292	170	0
2008-10-19	2890	2873	0
2008-10-20	280	23	0
2008-10-21	824	179	0
2008-10-22	314	8	0
2008-10-23	1099	21	0
2008-10-24	818	23	0
2008-10-26	9	0	0
2008-10-27	938	12	0
2008-10-28	2	0	0
2008-10-29	31	1	0
2008-10-30	1525	147	0
2008-10-31	87	6	0
2008-11-01	97	88	0
2008-11-02	3	0	0
2008-11-03	20	0	0
2008-11-04	19	0	0
2008-11-05	43	5	0
2008-11-06	306	186	1
2008-11-07	117	33	0
2008-11-08	209	16	0
2008-11-09	262	11	0
2008-11-10	421	43	0
2008-11-11	6	4	0
2008-11-12	13	2	0
