date	count	v1count	blankcount
2007-03-18	1	1	1
2007-10-31	1592	1592	180
2008-01-26	1	0	0
2008-02-10	4	4	0
2008-08-13	14	14	3
2008-09-06	151	88	9
2008-09-12	36	36	11
2008-11-05	1	0	0
2008-11-12	1062	272	17
2008-11-23	2	1	0
2008-12-17	1	0	0
2008-12-25	5136	519	15
2008-12-26	483	82	3
2009-01-24	1	1	0
2009-02-26	1	0	0
2009-04-06	124	0	0
2009-05-29	62	35	0
2009-05-31	410	219	22
2009-06-01	702	387	15
2009-06-02	2146	915	9
2009-06-03	929	455	20
2009-06-04	19	8	2
2009-06-05	2	1	1
2009-06-09	170	145	0
2009-06-10	646	364	6
2009-06-11	1382	751	8
2009-06-12	1136	659	7
2009-06-13	384	269	2
2009-06-14	25	18	0
2009-06-15	195	119	1
2009-06-16	535	358	13
2009-06-17	1679	1576	26
2009-06-18	1791	1630	39
2009-06-20	655	560	4
2009-06-21	64	57	1
2009-06-22	936	844	15
2009-06-23	1464	1372	27
2009-06-24	1473	1377	6
2009-06-25	1897	1805	60
2009-06-26	1443	1383	38
2009-06-27	13	11	0
2009-06-29	217	198	1
2009-06-30	2275	2005	39
2009-07-01	1668	1600	29
2009-07-02	1995	1291	39
2009-07-04	180	116	4
2009-07-06	2529	1888	19
2009-07-07	2012	1848	49
2009-07-08	1706	1617	1
2009-07-09	1686	1618	23
2009-07-10	1452	1278	10
2009-07-11	226	201	1
2009-07-12	416	339	5
2009-07-13	1216	434	8
2009-07-14	2012	1805	16
2009-07-15	1507	1300	2
2009-07-16	560	529	0
2009-07-17	925	908	0
2009-07-18	4	2	0
2009-07-19	61	43	0
2009-07-20	328	290	0
2009-07-21	520	448	23
2009-07-22	228	208	5
2009-07-23	150	135	3
2009-07-24	1062	910	7
2009-07-25	475	456	5
2009-07-27	1120	1097	3
2009-07-28	12	3	0
2009-07-29	52	52	0
2009-07-30	43	38	1
2009-07-31	146	145	0
2009-08-02	177	174	2
2009-08-03	149	138	5
2009-08-04	3282	3105	34
2009-08-05	420	410	0
2009-08-06	50	46	9
2009-08-08	365	350	31
2009-08-09	154	118	5
2009-08-10	1968	754	7
2009-08-11	1029	1012	21
2009-08-12	96	86	0
2009-08-13	45	0	0
2009-08-14	12	2	1
2009-08-18	95	68	11
2009-08-19	5	0	0
2009-08-20	341	329	0
2009-08-26	2	0	0
2009-09-05	3	0	0
2009-09-06	1	0	0
2009-09-09	20	20	2
2009-09-18	2	1	0
2009-09-21	1	0	0
2009-10-08	23	23	0
2009-10-22	20	16	0
2009-10-24	57	12	1
2009-10-28	121	117	4
2009-11-05	7	1	0
2009-11-13	11	0	0
2009-11-17	19	14	0
2009-11-19	10	10	0
2009-11-30	759	737	0
2009-12-03	2	2	0
2009-12-09	1	1	1
2009-12-17	107	0	0
2009-12-28	16	16	0
2010-01-17	9	4	0
2010-01-18	2	1	0
2010-01-25	3	2	0
2010-02-12	14	11	0
2010-02-14	71	0	0
2010-02-16	68	31	0
2010-02-18	383	280	1
2010-02-19	63	46	0
2010-02-20	664	567	12
2010-02-22	87	86	0
2010-02-24	1	1	0
2010-02-26	52	45	1
2010-03-06	2	2	0
2010-03-07	1	1	0
2010-03-08	7	4	0
2010-03-14	20	3	0
2010-03-18	1	1	0
2010-03-21	87	70	0
2010-03-22	72	44	3
2010-03-25	5	0	0
2010-03-31	49	47	1
2010-04-12	122	121	2
2010-04-13	5	5	0
2010-04-16	45	0	0
2010-04-25	105	61	1
2010-04-26	24	14	0
2010-04-27	1	1	0
2010-04-28	198	183	0
2010-05-12	5	5	0
2010-05-24	1	1	0
2010-05-31	3	3	0
2010-06-04	236	225	0
2010-06-17	1	1	0
2010-06-19	149	148	0
2010-06-28	28	23	3
2010-07-06	47	47	0
2010-07-08	33	31	0
2010-07-09	178	169	2
2010-07-15	1	1	0
2010-07-23	70	68	0
2010-07-24	20	20	0
2010-07-25	325	190	0
2010-07-26	45	30	0
2010-07-31	304	283	3
2010-08-02	11	11	0
2010-08-03	17	12	0
2010-08-04	1	0	0
2010-08-05	9	2	0
2010-08-06	1	1	0
2010-08-08	2	2	0
2010-08-11	1	1	0
2010-08-15	10	10	0
2010-08-17	3	2	0
2010-08-18	3	3	0
2010-08-22	134	120	0
2010-08-23	149	75	0
2010-08-25	6	6	0
2010-08-26	68	37	6
2010-08-28	24	22	0
2010-09-02	63	32	0
2010-09-06	213	175	0
2010-09-07	259	86	0
2010-09-09	89	28	0
2010-09-11	717	710	0
2010-09-12	47	44	0
2010-09-14	11	11	0
2010-09-16	179	100	0
2010-09-18	107666	107587	90
2010-09-19	338	244	2
2010-09-20	44	28	0
2010-09-22	214	173	0
2010-09-28	9	9	0
2010-09-29	30	30	0
2010-10-08	3	3	0
2010-10-10	115435	81835	3
2010-10-11	166451	112214	0
2010-10-12	109726	27109	0
2010-10-13	50297	0	0
2010-10-16	498	127	0
2010-10-17	127	120	0
2010-10-18	198	178	0
2010-10-21	62	45	0
2010-10-22	219	186	0
2010-10-23	501	454	0
2010-11-01	7	1	0
2010-11-18	5	1	0
2010-12-05	5	5	0
2010-12-08	9	5	0
2010-12-09	6	6	2
2010-12-16	62	55	0
2010-12-17	153	143	0
2010-12-21	50	49	0
2010-12-23	52	43	0
2010-12-24	270	173	5
2010-12-25	44	23	0
2010-12-27	1	0	0
2011-01-02	115	10	0
2011-01-09	77	19	2
2011-01-13	3	2	0
2011-01-14	28	20	0
2011-01-17	1	1	0
2011-01-23	3	2	0
2011-01-24	1	0	0
2011-01-25	4	3	0
2011-01-31	1	1	0
2011-02-20	8	3	0
2011-02-22	3	2	0
2011-02-23	2	0	0
2011-02-24	26	6	0
2011-03-01	5	0	0
2011-03-11	7	5	0
2011-03-16	9	1	0
2011-03-24	114	65	1
