date	count	v1count	blankcount
2006-09-28	164	164	56
2006-09-29	126	126	48
2006-10-28	39	39	17
2007-02-23	15	15	2
2007-02-24	114	114	26
2007-02-28	548	548	27
2007-03-18	1	1	1
2007-05-17	76	76	26
2007-05-18	5	5	1
2007-05-21	18	18	3
2007-05-22	1	1	0
2007-05-25	8	8	4
2007-05-30	243	243	6
2007-06-11	1	1	0
2007-06-16	188	188	3
2007-06-21	3	3	1
2007-06-25	25	25	8
2007-06-28	14	14	5
2007-07-01	1391	1391	48
2007-07-02	177	177	8
2007-07-03	56	56	4
2007-07-05	23	23	1
2007-07-06	10	10	1
2007-07-07	29	29	1
2007-07-11	433	433	3
2007-07-12	192	192	6
2007-07-17	410	410	4
2007-07-21	3	3	0
2007-07-22	106	106	10
2007-08-05	31	31	4
2007-08-23	176	176	4
2007-09-07	25	25	11
2007-09-10	14	14	5
2007-09-11	24	24	9
2007-09-13	48	48	18
2007-09-23	13	13	1
2007-09-25	2	2	1
2007-09-26	132	132	60
2007-09-27	16	16	3
2007-10-06	45	45	1
2007-10-18	36	36	9
2007-10-22	93	93	7
2007-10-23	26	10	0
2007-10-24	1	1	0
2007-10-25	131	127	3
2007-10-26	77	62	4
2007-10-27	16	11	0
2007-10-28	104	89	0
2007-10-29	87	76	0
2007-10-30	114	94	6
2007-10-31	162	134	6
2007-11-01	192	145	7
2007-11-02	1451	514	18
2007-11-03	23	2	0
2007-11-04	2168	968	24
2007-11-05	1431	324	5
2007-11-06	132	115	0
2007-11-07	633	380	2
2007-11-08	301	226	1
2007-11-09	791	505	0
2007-11-10	636	577	2
2007-11-12	1765	691	22
2007-11-13	305	152	8
2007-11-14	680	427	4
2007-11-15	1588	945	38
2007-11-16	184	165	1
2007-11-17	130	107	3
2007-11-18	373	220	25
2007-11-19	1058	670	17
2007-11-20	1149	692	17
2007-11-21	1937	990	12
2007-11-22	2069	650	15
2007-11-23	2020	685	15
2007-11-24	1480	623	3
2007-11-25	223	8	0
2007-11-26	567	202	0
2007-11-27	928	659	6
2007-11-28	796	407	1
2007-11-29	16	11	0
2007-11-30	78	38	0
2007-12-01	519	127	0
2007-12-02	88	18	0
2007-12-04	69	69	2
2007-12-05	7	5	0
2007-12-06	123	122	1
2007-12-07	98	42	0
2007-12-08	147	117	0
2007-12-09	243	203	3
2007-12-10	256	162	11
2007-12-11	125	84	0
2007-12-13	971	786	4
2007-12-14	392	268	1
2007-12-15	132	90	1
2007-12-16	241	123	2
2007-12-17	182	145	7
2007-12-18	1296	555	33
2007-12-19	151	65	0
2007-12-21	58	20	0
2007-12-23	27	25	0
2007-12-25	536	532	35
2007-12-26	311	270	5
2007-12-27	94	23	0
2007-12-28	3350	1202	69
2007-12-29	1704	472	16
2007-12-30	2463	705	25
2007-12-31	102	53	19
2008-01-01	330	273	0
2008-01-02	326	235	8
2008-01-03	956	285	0
2008-01-05	38	38	3
2008-01-06	166	160	8
2008-01-07	5195	2545	58
2008-01-08	343	151	2
2008-01-09	3462	3001	14
2008-01-10	1326	1057	16
2008-01-11	2410	2272	6
2008-01-12	2017	1786	12
2008-01-13	3394	3116	70
2008-01-14	1581	1370	9
2008-01-15	1531	1321	0
2008-01-16	226	200	5
2008-01-17	919	824	0
2008-01-18	144	71	0
2008-01-19	173	99	1
2008-01-21	83	72	0
2008-01-22	233	222	1
2008-01-23	1	0	0
2008-01-24	315	298	0
2008-01-26	1	0	0
2008-01-27	22	17	0
2008-01-28	17	13	0
2008-01-29	146	12	0
2008-01-30	57	28	0
2008-01-31	140	126	0
2008-02-01	814	734	0
2008-02-02	336	290	4
2008-02-03	677	557	0
2008-02-04	794	741	1
2008-02-05	184	141	0
2008-02-06	1945	1837	3
2008-02-07	1253	1223	22
2008-02-08	2564	2493	15
2008-02-11	224	219	11
2008-02-19	1103	941	1
2008-02-20	461	385	1
2008-02-27	7	7	0
2008-02-29	5	0	0
2008-03-06	5	0	0
2008-03-13	132	122	9
2008-03-14	324	301	13
2008-03-15	163	130	3
2008-03-16	24	23	1
2008-03-17	55	49	0
2008-03-18	17	13	0
2008-03-20	151	148	17
2008-03-21	130	128	1
2008-03-22	10	0	0
2008-03-23	4	0	0
2008-03-24	55	52	3
2008-03-25	200	196	1
2008-03-26	31	26	0
2008-03-27	174	169	11
2008-03-28	279	221	7
2008-03-29	50	49	0
2008-03-30	173	171	3
2008-03-31	110	109	4
2008-04-01	22	22	3
2008-04-02	124	116	2
2008-04-03	40	0	0
2008-04-04	364	297	7
2008-04-05	5	3	1
2008-04-06	111	76	0
2008-04-08	21	21	0
2008-04-09	16	13	1
2008-04-13	240	240	0
2008-04-15	37	37	0
2008-04-17	58	27	0
2008-04-18	188	187	8
2008-04-19	80	15	0
2008-04-20	387	289	3
2008-04-22	45	25	0
2008-04-23	25	14	0
2008-04-26	59	27	0
2008-04-28	628	609	1
2008-04-29	3	1	0
2008-04-30	412	333	0
2008-05-02	122	107	0
2008-05-03	820	562	0
2008-05-04	319	215	8
