date	count	v1count	blankcount
2007-04-02	70	70	31
2007-04-27	2	2	2
2007-05-11	1	1	1
2007-05-17	1	1	1
2007-07-07	93	93	40
2007-07-08	447	447	85
2007-08-05	5	5	1
2007-08-22	1	1	1
2007-08-23	58	58	1
2007-08-24	511	511	50
2007-08-25	164	164	4
2007-08-26	278	278	4
2007-08-27	207	207	4
2007-08-30	3	3	1
2007-08-31	13	13	0
2007-09-01	58	58	13
2007-09-02	2	2	1
2007-09-03	185	185	3
2007-09-04	125	125	1
2007-09-06	209	209	9
2007-09-07	111	111	3
2007-09-10	3	3	1
2007-09-13	115	115	1
2007-09-14	169	169	0
2007-09-15	2	2	0
2007-09-18	271	271	1
2007-09-19	137	137	17
2007-09-21	3	3	0
2007-09-22	1	1	0
2007-09-24	128	128	26
2007-09-25	12	12	0
2007-09-26	12	12	0
2007-09-27	30	30	2
2007-10-01	96	96	14
2007-10-02	157	157	35
2007-10-03	628	628	33
2007-10-04	772	772	58
2007-10-05	292	292	31
2007-10-06	1275	1275	55
2007-10-07	501	501	14
2007-10-08	56	32	0
2007-10-09	284	240	9
2007-10-10	424	185	12
2007-10-11	444	177	1
2007-10-12	330	173	1
2007-10-13	576	202	1
2007-10-14	416	226	4
2007-10-15	334	155	17
2007-10-16	131	48	0
2007-10-17	101	69	4
2007-10-18	251	60	5
2007-10-19	1850	471	18
2007-10-20	1800	337	8
2007-10-21	204	119	2
2007-10-22	438	164	0
2007-10-23	173	103	2
2007-10-24	2322	723	45
2007-10-25	81	49	0
2007-10-26	1556	1078	69
2007-10-27	233	80	0
2007-10-28	577	324	28
2007-10-29	497	243	10
2007-10-30	222	134	0
2007-10-31	822	238	0
2007-11-01	34	31	0
2007-11-02	68	65	1
2007-11-03	1416	579	12
2007-11-04	173	58	4
2007-11-05	2	2	0
2007-11-06	5838	1457	11
2007-11-07	1655	847	11
2007-11-08	225	100	0
2007-11-09	544	226	7
2007-11-10	70	43	0
2007-11-11	54	19	0
2007-11-12	37	28	0
2007-11-13	70	33	0
2007-11-14	414	88	1
2007-11-15	12	7	0
2007-11-16	7	3	0
2007-11-20	17	12	2
2007-11-21	68	0	0
2007-11-25	7	0	0
2007-11-26	250	128	1
2007-11-27	1176	464	2
2007-11-28	60	6	0
2007-11-29	221	142	6
2007-11-30	96	62	5
2007-12-01	198	87	1
2007-12-02	774	376	9
2007-12-03	253	161	1
2007-12-04	175	105	0
2007-12-05	22	17	0
2007-12-06	66	58	0
2007-12-07	177	135	0
2007-12-08	130	81	3
2007-12-10	229	124	3
2007-12-11	404	186	2
2007-12-12	325	243	2
2007-12-14	147	66	0
2007-12-15	366	83	1
2007-12-16	154	31	0
2007-12-17	159	44	0
2007-12-18	251	60	0
2007-12-19	58	37	0
2007-12-25	39	38	2
2007-12-26	14	4	0
2007-12-29	92	34	2
2007-12-30	259	170	1
2007-12-31	601	296	0
2008-01-01	345	113	5
2008-01-02	52	23	0
2008-01-07	40	35	0
2008-01-08	742	460	3
2008-01-09	288	40	0
2008-01-10	103	64	2
2008-01-11	146	75	0
2008-01-12	776	320	2
2008-01-13	356	297	2
2008-01-14	92	30	0
2008-01-15	327	110	2
2008-01-16	72	51	0
2008-01-18	5	1	0
2008-01-19	616	520	10
2008-01-20	13	3	0
2008-01-21	110	103	1
2008-01-22	140	109	0
2008-01-23	10	5	0
2008-01-24	97	65	2
2008-01-25	65	64	0
2008-01-27	27	10	0
2008-01-28	14	7	0
2008-01-29	119	98	0
2008-01-30	221	206	0
2008-01-31	13	10	0
2008-02-01	42	28	0
2008-02-02	18	17	0
2008-02-03	27	24	1
2008-02-04	68	66	0
2008-02-05	623	468	1
2008-02-06	134	120	3
2008-02-07	11	11	0
2008-02-08	127	97	0
2008-02-09	35	25	0
2008-02-10	9	9	0
2008-02-11	78	73	0
2008-02-12	14	14	0
2008-02-13	87	45	0
2008-02-14	156	125	3
2008-02-15	233	191	3
2008-02-16	357	310	13
2008-02-17	640	496	3
2008-02-18	355	258	3
2008-02-19	219	129	4
2008-02-20	55	45	0
2008-02-21	293	231	4
2008-02-22	387	351	3
2008-02-23	161	123	1
2008-02-24	286	193	4
2008-02-25	423	319	7
2008-02-26	682	646	8
2008-02-27	573	477	6
2008-02-28	2121	1934	2
2008-02-29	2077	1901	3
2008-03-01	52	26	0
2008-03-02	150	141	0
2008-03-03	561	519	9
2008-03-04	968	850	11
2008-03-05	415	256	0
2008-03-06	335	256	0
2008-03-07	89	79	3
2008-03-08	450	343	0
2008-03-09	168	146	5
2008-03-10	1110	883	17
2008-03-11	263	206	0
2008-03-12	236	183	1
2008-03-13	112	88	1
2008-03-14	181	143	1
2008-03-15	118	102	0
2008-03-16	416	351	3
2008-03-17	172	148	1
2008-03-18	7	7	0
2008-03-19	727	654	8
2008-03-20	896	810	10
2008-03-21	692	561	4
2008-03-22	1268	1100	19
2008-03-23	1477	1121	3
2008-03-24	1413	1154	5
2008-03-25	235	142	0
2008-03-26	188	122	0
2008-03-27	143	107	0
2008-03-28	609	519	1
2008-03-29	346	292	1
2008-03-30	738	716	0
2008-03-31	1647	1580	3
2008-04-01	72	58	1
2008-04-02	657	531	3
2008-04-03	125	61	2
2008-04-04	325	268	2
2008-04-05	499	336	1
2008-04-06	490	448	0
2008-04-07	31	20	0
2008-04-08	154	119	0
2008-04-09	24	14	1
2008-04-10	81	66	0
2008-04-12	106	73	0
2008-04-13	29	24	0
2008-04-14	1325	1185	3
2008-04-15	200	146	0
2008-04-17	80	63	0
2008-04-18	25	3	0
2008-04-19	3	3	0
2008-04-20	960	915	15
2008-04-21	6	6	1
2008-04-23	129	111	3
2008-04-24	221	210	6
2008-04-25	880	774	7
2008-04-26	663	485	5
2008-04-27	135	133	5
2008-04-28	671	647	0
2008-04-29	34	13	0
2008-04-30	28	24	0
2008-05-01	226	177	0
2008-05-02	430	378	0
2008-05-03	41	32	0
2008-05-04	378	351	1
2008-05-05	58	48	0
2008-05-06	465	386	3
2008-05-07	4	0	0
2008-05-08	95	22	0
2008-05-09	132	110	0
2008-05-11	563	394	0
2008-05-12	148	136	8
2008-05-13	208	176	5
2008-05-14	483	420	0
2008-05-15	83	62	0
2008-05-16	423	380	1
2008-05-18	113	86	3
2008-05-19	116	71	1
2008-05-20	414	349	0
2008-05-21	122	107	0
2008-05-22	185	170	1
2008-05-23	1550	1387	0
2008-05-24	480	436	0
2008-05-25	967	729	3
2008-05-26	211	152	0
2008-05-27	100	100	4
2008-05-28	428	173	0
2008-05-29	121	90	0
2008-05-30	192	149	0
2008-05-31	406	276	3
2008-06-01	325	221	0
2008-06-02	152	120	0
2008-06-03	443	384	0
2008-06-04	415	324	0
2008-06-05	45	33	0
