date	count	v1count	blankcount
2006-09-20	1	1	1
2007-03-18	1	1	1
2007-06-18	63	63	43
2007-06-19	78	78	58
2007-11-11	2	0	0
2008-01-05	8449	8206	478
2008-01-06	1110	58	0
2008-01-09	360	65	23
2008-01-10	1	0	0
2008-01-21	361	137	4
2008-02-04	27123	27123	260
2008-02-07	44	11	0
2008-02-08	416	61	3
2008-03-01	1	0	0
2008-03-02	30	0	0
2008-03-20	6	2	0
2008-04-11	1	0	0
2008-04-21	1	0	0
2008-04-28	2	0	0
2008-05-07	158	0	0
2008-05-12	444	372	0
2008-05-30	1	1	1
2008-06-11	1	1	0
2008-06-21	6	0	0
2008-07-01	1	1	0
2008-07-03	2	2	0
2008-07-04	42	15	0
2008-07-07	148	31	0
2008-07-16	140	106	0
2008-07-21	5	1	0
2008-07-30	2	0	0
2008-08-04	60	44	1
2008-08-15	154	0	0
2008-08-21	2	2	0
2008-08-25	361	117	4
2008-08-26	163	60	0
2008-08-28	9	0	0
2008-09-12	13	9	0
2008-09-13	599	203	0
2008-09-14	542	371	0
2008-09-15	101	76	0
2008-09-16	13	0	0
2008-10-11	25	22	0
2008-10-16	16	2	0
2008-11-05	24	24	1
2008-11-06	2	0	0
2008-11-16	3	0	0
2008-11-28	51	0	0
2008-12-03	918	33	0
2008-12-07	1246	143	0
2008-12-08	2	2	0
2008-12-11	43	31	3
2008-12-22	30	18	0
2008-12-23	1	0	0
2009-01-27	515	185	15
2009-01-28	561	59	1
2009-01-29	743	51	0
2009-01-30	1193	114	0
2009-02-04	10	10	0
2009-02-05	36	0	0
2009-02-06	1784	327	8
2009-02-08	515	515	21
2009-02-11	6	2	0
2009-02-12	689	98	0
2009-02-13	2356	416	5
2009-02-17	2275	709	1
2009-02-18	2375	796	0
2009-02-20	8	0	0
2009-02-21	1387	169	0
2009-02-22	68	68	1
2009-02-23	263	50	0
2009-02-24	290	10	0
2009-02-25	32	29	0
2009-02-26	2	2	0
2009-02-28	383	12	0
2009-03-05	578	118	0
2009-03-06	516	22	0
2009-03-07	42	0	0
2009-03-09	52	50	0
2009-03-10	792	6	0
2009-03-30	49	0	0
2009-04-12	1	0	0
2009-04-27	29	25	0
2009-04-28	273	163	3
2009-06-02	299	261	1
2009-06-03	69	61	0
