date	count	v1count	blankcount
2007-05-30	6	6	3
2007-06-07	28	28	8
2007-06-08	217	217	48
2007-06-09	107	107	0
2007-06-10	49	49	1
2007-06-11	204	204	6
2007-06-13	150	150	3
2007-06-15	102	102	2
2007-06-16	109	109	1
2007-06-17	67	67	3
2007-06-18	1	1	0
2007-06-20	181	181	11
2007-06-22	6	6	0
2007-06-28	299	299	36
2007-07-26	61	61	0
2007-09-07	149	149	90
2007-09-21	102	102	0
2007-10-20	74	41	6
2007-10-21	42	9	4
2007-10-23	21	0	0
2007-10-26	15	15	7
2007-11-02	7	0	0
2007-11-03	49	30	2
2007-11-05	10	0	0
2007-11-09	6	0	0
2007-12-12	8171	407	8
2007-12-25	21	0	0
2007-12-30	1	1	0
2008-01-04	104	21	0
2008-01-16	1	0	0
2008-01-23	180	175	16
2008-02-03	554	539	6
2008-03-26	2	0	0
2008-04-03	5	0	0
2008-04-04	48	14	0
2008-04-13	235	202	5
2008-04-28	728	579	17
2008-04-29	1083	903	16
2008-04-30	185	176	5
2008-05-16	18	15	3
2008-05-30	56	56	0
2008-06-05	1219	839	16
2008-06-10	9	7	0
2008-06-11	62	58	1
2008-06-13	22	21	2
2008-06-18	202	156	0
2008-06-19	446	438	0
2008-06-21	127	126	0
2008-06-22	23	23	4
2008-06-23	540	525	41
2008-06-24	456	450	2
2008-06-30	14	7	0
2008-07-02	25	8	0
2008-07-04	742	730	1
2008-07-10	123	112	0
2008-07-11	15	14	0
2008-07-13	37	34	0
2008-07-14	1284	1199	43
2008-07-15	1195	1179	23
2008-07-16	2038	2025	59
2008-07-17	684	614	0
2008-07-22	1003	961	4
2008-07-24	2198	2120	4
2008-07-25	1769	1751	17
2008-07-26	2945	2875	8
2008-07-27	332	331	1
2008-07-28	409	406	1
2008-07-29	468	445	0
2008-07-30	332	331	0
2008-07-31	358	355	0
2008-08-01	603	599	0
2008-08-20	55	55	1
2008-08-21	43	41	3
2008-08-22	1369	1359	16
2008-08-25	735	720	0
2008-08-27	629	557	0
2008-08-28	530	509	0
2008-08-29	341	314	0
2008-09-01	318	306	0
2008-09-02	655	580	0
2008-09-03	636	625	0
2008-09-04	200	149	0
2008-09-05	560	553	7
2008-09-07	68	68	15
2008-09-09	406	383	0
2008-09-10	1	1	0
2008-09-11	302	280	0
2008-09-12	10	4	0
2008-09-14	90	75	8
2008-09-15	220	211	0
2008-09-16	159	134	3
2008-09-29	16	10	0
2008-10-01	268	268	0
2008-10-17	295	7	0
2008-10-22	826	118	0
2008-11-06	279	80	0
2008-11-28	7	1	0
2008-12-13	184	9	2
2008-12-30	4	1	0
2009-01-01	1	0	0
2009-01-24	1109	90	0
2009-01-29	22	0	0
2009-02-12	107	35	0
2009-02-14	3	0	0
2009-02-23	1	0	0
2009-03-01	370	76	1
2009-03-07	270	269	77
2009-03-08	48	48	23
2009-04-01	132	18	0
2009-04-09	241	93	19
2009-04-13	2973	155	6
2009-04-14	105	20	2
2009-04-15	365	29	5
2009-04-16	1157	1	0
2009-04-17	732	0	0
2009-04-22	511	511	73
2009-04-24	2	1	0
2009-05-04	152	141	0
2009-05-05	110	22	9
2009-05-10	14	0	0
2009-05-12	252	252	0
2009-05-20	1	1	0
2009-06-01	2	2	0
2009-06-02	8	5	0
2009-06-05	65	47	2
2009-06-17	1	0	0
2009-06-18	1	0	0
2009-06-19	1	0	0
2009-06-25	3	1	0
2009-07-15	2	2	0
2009-08-10	250	0	0
2009-08-24	6	6	0
2009-08-25	18	16	1
2009-08-26	38	36	0
2009-08-27	2	2	1
2009-08-31	20	16	0
