date	count	v1count	blankcount
2006-12-08	6	6	3
2007-04-10	28	28	3
2007-05-01	158	158	50
2007-06-23	68	68	10
2007-06-27	97	97	7
2007-08-05	25	25	1
2007-08-08	33	33	14
2007-08-10	132	132	15
2007-09-02	29	29	10
2007-09-05	29467	29467	413
2007-09-06	43145	43145	466
2007-09-07	1371	1371	22
2007-09-08	1296	1296	1
2007-09-09	203	203	0
2007-09-10	890	890	8
2007-09-17	32	32	0
2007-09-23	172	172	27
2007-09-25	46	46	3
2007-09-27	336	336	9
2007-09-28	229	229	4
2007-10-02	111	111	4
2007-10-03	2950	2950	9
2007-10-04	312	312	3
2007-10-05	20	20	0
2007-10-06	3492	3492	61
2007-10-07	1185	1185	1
2007-10-08	2468	233	0
2007-10-09	789	438	20
2007-10-10	991	268	6
2007-10-11	5955	1429	24
2007-10-12	2287	709	22
2007-10-13	6048	1668	101
2007-10-14	290	91	5
2007-10-15	1583	818	49
2007-10-16	3196	1518	282
2007-10-17	2410	796	7
2007-10-18	2966	775	65
2007-10-19	2014	270	49
2007-10-22	15299	15186	264
2007-10-23	1346	474	95
2007-10-24	805	120	0
2007-10-29	1027	423	20
2007-10-30	715	264	6
2007-10-31	1909	454	11
2007-11-02	1517	663	16
2007-11-06	4753	1103	59
2007-11-07	653	355	10
2007-11-08	109790	104767	499
2007-11-09	351686	351050	2153
2007-11-10	111717	103861	388
2007-11-11	1290	368	5
2007-11-12	2039	561	7
2007-11-13	358	66	0
2007-11-15	487	81	3
2007-11-18	822	822	0
2007-11-19	41	0	0
2007-11-21	4126	623	0
2007-11-22	34	19	0
2007-11-26	2536	474	6
2007-11-27	2255	216	3
2007-11-28	1097	371	5
2007-11-29	879	304	2
2007-11-30	2	1	0
2007-12-05	2	0	0
2007-12-07	7	0	0
2007-12-09	1978	1491	326
2007-12-10	3103	506	12
2007-12-12	47	36	0
2007-12-13	1507	289	5
2007-12-14	44	18	3
2007-12-15	3420	784	2
2007-12-16	6	3	0
2007-12-17	2289	657	5
2007-12-18	395	101	0
2007-12-20	728	148	0
2007-12-21	871	175	1
2007-12-22	6	0	0
