date	count	v1count	blankcount
2005-07-23	1	1	1
2006-01-03	18	18	8
2006-03-13	88	88	34
2006-03-21	53	53	19
2006-03-22	49	49	0
2006-05-20	52	52	18
2006-05-21	23	23	4
2006-06-03	86	86	2
2006-07-08	58	58	15
2006-07-28	8	8	8
2006-08-02	45	45	18
2006-08-07	1	1	1
2006-09-04	3	3	1
2006-09-10	95	95	15
2006-09-11	21	21	9
2006-10-09	9	9	0
2006-10-22	99	99	8
2006-10-24	190	190	7
2006-10-26	43	43	6
2006-11-29	36	36	16
2006-12-14	8	8	2
2006-12-15	8	8	4
2007-01-09	12	12	1
2007-01-11	3047	3047	195
2007-01-12	448	448	11
2007-01-13	80	80	0
2007-01-14	630	630	143
2007-01-15	1953	1953	41
2007-01-16	69	69	0
2007-01-17	789	789	91
2007-01-18	706	706	2
2007-01-22	273	273	1
2007-01-23	111	111	3
2007-01-30	10	10	0
2007-01-31	265	265	1
2007-02-01	225	225	6
2007-02-03	106	106	0
2007-02-04	150	150	18
2007-02-05	86	86	0
2007-02-06	144	144	0
2007-02-07	16	16	8
2007-02-15	6	6	0
2007-02-20	33	33	0
2007-03-12	1	1	0
2007-03-15	25	25	0
2007-03-17	55	55	0
2007-03-18	3	3	3
2007-03-19	39	39	0
2007-03-22	283	283	225
2007-03-23	5	5	0
2007-03-24	70	70	21
2007-03-27	56	56	8
2007-03-28	7	7	5
2007-04-01	331	331	2
2007-04-02	46	46	0
2007-04-03	29	29	0
2007-04-04	43	43	0
2007-04-05	293	293	3
2007-04-07	414	414	1
2007-04-08	295	295	1
2007-04-09	236	236	1
2007-04-11	167	167	0
2007-04-12	254	254	0
2007-04-13	202	202	0
2007-04-14	118	118	5
2007-04-15	446	446	8
2007-04-16	68	68	2
2007-04-17	75	75	0
2007-04-18	28	28	3
2007-04-19	18	18	1
2007-04-21	98	98	17
2007-04-24	215	215	8
2007-04-25	53	53	2
2007-04-27	2	2	0
2007-04-28	6	6	0
2007-05-01	131	131	16
2007-05-02	1	1	0
2007-05-03	58	58	2
2007-05-04	19	19	0
2007-05-06	1	1	0
2007-05-08	1396	1396	88
2007-05-12	189	189	10
2007-05-20	44	44	3
2007-05-21	16	16	0
2007-05-24	128	128	0
2007-05-25	74	74	1
2007-05-26	94	94	3
2007-05-27	8	8	0
2007-06-01	1	1	0
2007-06-04	21	21	1
2007-06-08	53	53	0
2007-06-12	194	194	14
2007-06-15	17	17	0
2007-06-16	12	12	0
2007-06-18	2	2	0
2007-06-19	67	67	3
2007-06-20	139	139	1
2007-06-21	148	148	0
2007-06-22	118	118	2
2007-06-23	51	51	0
2007-06-24	88	88	20
2007-06-25	409	409	50
2007-07-11	1	1	0
2007-07-16	13	13	0
2007-07-17	18	18	9
2007-07-18	104	104	4
2007-07-20	4	4	0
2007-07-21	18	18	0
2007-07-22	127	127	0
2007-08-02	1	1	0
2007-08-03	123	123	2
2007-08-06	20	20	0
2007-08-10	5	5	0
2007-08-12	88	88	4
2007-08-16	117	117	13
2007-08-17	738	738	1
2007-08-18	733	733	21
2007-08-19	146	146	10
2007-08-20	281	281	15
2007-08-21	97	97	1
2007-08-22	1	1	0
2007-08-23	72	72	2
2007-08-24	118	118	2
2007-08-27	616	616	3
2007-08-28	191	191	0
2007-08-29	9	9	0
2007-08-30	110	110	1
2007-09-03	28	28	0
2007-09-04	186	186	1
2007-09-05	89	89	1
2007-09-06	154	154	1
2007-09-07	62	62	0
2007-09-09	17	17	0
2007-09-12	267	267	15
2007-09-13	288	288	7
2007-09-14	93	93	1
2007-09-15	118	118	21
2007-09-16	26	26	1
2007-09-17	11	11	0
2007-09-19	7	7	0
2007-09-21	137	137	1
2007-09-22	217	217	13
2007-09-23	111	111	0
2007-09-24	34	34	0
2007-09-25	117	117	0
2007-09-26	162	162	0
2007-09-27	147	147	0
2007-09-28	175	175	0
2007-09-29	32	32	1
2007-09-30	14	14	0
2007-10-01	1	1	0
2007-10-03	167	167	14
2007-10-05	37	37	0
2007-10-06	156	156	0
2007-10-07	208	180	0
2007-10-08	1	1	1
2007-10-10	57	35	0
2007-10-11	150	98	0
2007-10-12	194	98	0
2007-10-13	7	0	0
2007-10-14	126	59	0
2007-10-15	74	0	0
2007-10-16	65	26	0
2007-10-17	71	28	0
2007-10-19	73	48	10
2007-10-20	364	351	19
2007-10-21	134	109	0
2007-10-22	1854	959	9
2007-10-23	1721	769	12
2007-10-24	3106	1280	18
2007-10-25	981	617	24
2007-10-26	616	217	0
2007-10-27	1572	738	22
2007-10-28	1539	907	65
2007-10-29	1254	810	22
2007-10-30	301	174	12
2007-10-31	3058	1420	2
2007-11-01	10861	1146	15
2007-11-02	188	162	1
2007-11-03	2058	941	16
2007-11-04	77	75	16
2007-11-05	947	308	1
2007-11-06	1957	863	14
2007-11-07	217	72	1
2007-11-08	72	23	2
2007-11-09	24	13	1
2007-11-10	2635	1034	15
2007-11-11	439	184	9
2007-11-12	228	74	0
2007-11-13	1317	680	3
2007-11-14	150	77	0
2007-11-15	1066	556	2
2007-11-16	1230	460	8
2007-11-17	1144	494	2
2007-11-18	791	431	19
2007-11-19	1489	702	6
2007-11-20	1660	863	5
2007-11-21	1422	894	9
