date	count	v1count	blankcount
2006-09-28	18	18	12
2006-09-29	38	38	14
2007-06-25	35	35	14
2007-07-07	6	6	0
2007-07-08	9	9	0
2007-08-19	3	3	0
2007-11-01	53	34	14
2007-11-21	1355	413	42
2007-11-23	1065	277	24
2007-11-24	1	0	0
2007-12-06	3	0	0
2007-12-12	1149	539	30
2007-12-17	83	52	3
2007-12-18	1318	620	14
2007-12-19	591	310	18
2007-12-20	623	431	30
2008-01-01	56	45	6
2008-01-02	375	109	6
2008-01-03	3	1	0
2008-01-27	212	158	3
2008-02-01	1	0	0
2008-02-04	3	1	0
2008-02-26	573	559	14
2008-02-27	1714	1624	10
2008-02-28	213	201	0
2008-03-04	3	0	0
2008-03-05	240	240	0
2008-03-09	236	230	4
2008-03-14	39	27	0
2008-03-24	94	93	4
2008-03-30	42	42	2
2008-04-02	1	0	0
2008-04-20	16	16	2
2008-04-21	108	95	17
2008-04-22	74	74	2
2008-05-13	7	7	1
2008-05-16	203	168	1
2008-05-17	373	360	7
2008-05-18	598	529	3
2008-05-19	22	21	0
2008-05-20	208	182	5
2008-06-09	315	308	19
2008-06-11	144	129	0
2008-06-26	132	121	1
2008-06-27	397	343	0
2008-06-28	35	27	1
2008-06-29	1	0	0
2008-06-30	539	513	30
2008-07-01	522	481	25
2008-07-02	55	52	0
2008-07-03	43	28	0
2008-07-05	769	661	9
2008-07-06	140	107	0
2008-07-07	192	175	0
2008-07-09	289	220	0
2008-07-10	211	190	0
2008-07-13	2	0	0
2008-07-14	195	191	0
2008-07-15	204	194	0
2008-07-16	349	337	8
2008-07-17	308	295	0
2008-07-18	173	159	0
2008-07-23	445	374	8
2008-07-24	215	215	22
2008-07-26	1297	1085	20
2008-07-27	222	208	20
2008-07-28	90	90	7
2008-07-29	922	872	4
2008-08-01	1	0	0
2008-08-03	117	103	1
2008-08-06	55	54	2
2008-08-09	433	392	6
2008-08-10	393	293	0
2008-08-14	3	3	0
2008-08-15	168	131	0
2008-08-16	165	162	0
2008-08-17	474	473	3
2008-08-18	74	72	0
2008-08-19	234	217	0
2008-08-20	91	0	0
2008-08-22	228	214	1
2008-08-23	424	386	1
2008-08-24	15	15	0
2008-08-25	90	77	1
2008-08-26	305	294	0
2008-08-27	2044	1960	12
2008-08-28	418	405	2
2008-08-30	1144	1084	3
2008-09-01	742	709	1
2008-09-05	300	284	8
2008-09-06	1214	1162	1
2008-09-10	1335	1306	4
2008-09-11	661	651	0
2008-09-12	1050	1021	2
2008-09-13	4823	4176	14
2008-09-14	386	355	0
2008-09-16	489	463	9
2008-09-19	1561	1525	3
2008-09-24	3	3	0
2008-09-25	1116	1088	2
2008-09-26	176	27	0
2008-09-27	972	941	0
2008-09-28	392	376	5
2008-09-29	245	184	1
2008-09-30	1646	1555	2
2008-10-01	120	89	0
2008-10-02	55	52	0
2008-10-03	637	603	0
2008-10-04	32	30	0
2008-10-07	312	5	0
2008-10-08	265	44	0
2008-10-09	551	178	2
2008-10-10	1524	1215	0
2008-10-11	51	0	0
2008-10-12	847	71	0
2008-10-13	4954	485	3
2008-10-14	3056	316	0
2008-10-15	817	171	1
2008-10-17	965	202	1
2008-10-18	22	3	0
2008-10-21	34	0	0
2008-10-22	1266	607	0
2008-10-23	4	0	0
2008-10-24	7	1	0
2008-10-25	2870	1364	1
2008-10-26	3483	2048	1
2008-10-28	21683	2658	14
2008-11-01	2911	1505	1
2008-11-02	1017	617	0
2008-11-05	5	0	0
2008-11-06	319	83	2
2008-11-07	1089	104	0
2008-11-08	312	9	0
2008-12-01	2286	203	0
2008-12-02	807	132	0
2008-12-11	199	31	0
2008-12-16	317	22	0
2008-12-17	1757	120	0
2008-12-19	561	20	0
2008-12-20	193	14	0
2008-12-21	46	1	0
2008-12-22	1717	265	0
2008-12-23	1892	177	0
2008-12-24	626	184	0
2008-12-26	44	0	0
