date	count	v1count	blankcount
2007-01-11	118	118	8
2007-03-18	1	1	1
2007-08-15	28	28	8
2007-08-22	40	40	3
2007-09-01	145	145	6
2007-09-13	356	356	9
2007-11-04	4988	4988	509
2007-11-11	1	0	0
2007-11-13	204	194	5
2007-11-17	668	279	29
2007-11-18	3883	841	21
2007-11-23	692	291	31
2007-11-26	139	35	3
2007-11-27	232	88	6
2007-11-29	1799	425	5
2007-11-30	1536	578	52
2007-12-01	4115	1496	70
2007-12-02	2252	697	25
2007-12-03	693	230	1
2007-12-04	1242	90	14
2007-12-05	136	49	0
2007-12-06	402	121	0
2007-12-07	39	9	0
2007-12-09	4549	758	39
2007-12-10	145	65	1
2007-12-11	2732	869	39
2007-12-12	1658	738	44
2007-12-13	699	187	2
2007-12-14	77	42	0
2007-12-15	2706	474	4
2007-12-16	1732	945	73
2007-12-17	2	0	0
2007-12-20	27	16	0
2007-12-21	13	1	0
2007-12-23	1061	399	1
2007-12-24	486	170	0
2007-12-28	4	0	0
2007-12-30	414	95	0
2008-01-07	10	8	0
2008-01-11	2546	633	1
2008-01-16	2	0	0
2008-01-21	1	1	0
2008-02-03	5	2	0
2008-02-06	42	30	2
2008-02-11	8	4	0
2008-02-18	69	44	0
2008-02-19	15	13	0
2008-02-20	12	7	2
2008-02-21	21	9	0
2008-03-02	9	4	0
2008-03-05	54	48	0
2008-03-23	1	0	0
2008-04-22	220	220	39
2008-04-23	253	253	49
2008-04-24	1096	1095	103
2008-04-25	93	93	20
2008-04-28	34	34	12
2008-04-29	39	39	6
2008-05-30	3	3	3
2008-06-01	174	174	29
2008-07-09	156	132	0
2008-07-10	693	575	7
2008-07-11	19	10	0
2008-07-12	533	413	0
2008-07-13	93	72	1
2008-07-14	39	31	0
2008-07-15	73	64	0
2008-07-17	1	0	0
2008-07-19	27	11	0
2008-08-08	75	75	0
2008-08-14	2	0	0
2008-09-23	17	17	0
2008-09-24	673	614	0
2008-09-25	375	356	4
2008-10-01	50	43	5
2008-10-02	206	54	0
2008-10-03	165	65	1
2008-10-05	51	41	0
2008-10-08	2376	156	1
2008-10-09	302	55	0
2008-10-16	747	111	0
2008-10-17	205	82	0
2008-10-19	52	2	0
2008-11-05	2	0	0
2008-11-19	4	0	0
2008-11-21	55	16	0
2008-11-23	8	0	0
2008-11-24	2	0	0
2008-11-29	84	2	0
2008-11-30	57	0	0
2008-12-01	833	239	1
2008-12-02	5344	694	0
2008-12-03	5530	463	1
2008-12-04	2975	940	1
2008-12-05	471	37	1
2008-12-06	238	0	0
2008-12-07	660	0	0
2008-12-15	3	0	0
2008-12-21	23113	3659	38
2008-12-22	10627	1789	17
2008-12-23	2656	1130	18
2008-12-25	251	179	1
2008-12-26	1404	226	1
2008-12-27	155	64	0
2008-12-29	5702	990	3
2008-12-30	673	2	0
2009-01-01	2259	398	1
2009-01-04	507	78	1
2009-01-05	2910	331	0
2009-01-06	1101	1097	8
2009-01-09	1	0	0
2009-01-10	1274	305	0
2009-01-11	515	28	0
2009-01-12	1837	340	0
2009-01-13	19297	1596	66
2009-01-14	1483	166	0
2009-01-15	1246	394	43
2009-01-16	4	4	0
2009-01-17	878	182	0
2009-01-21	665	26	0
2009-01-22	510	152	0
2009-01-23	1921	315	0
2009-01-24	963	257	0
2009-01-25	984	138	0
2009-01-26	2288	771	25
2009-01-27	8674	1592	51
2009-01-28	4993	724	2
2009-01-29	3436	2183	231
2009-01-30	8	8	0
2009-01-31	1004	180	0
2009-02-01	3	0	0
2009-02-03	144	0	0
2009-02-04	1039	392	0
2009-02-06	106	26	0
2009-02-07	4237	306	0
2009-02-08	182	6	0
2009-02-09	2175	657	12
2009-02-10	618	265	0
2009-02-11	3667	558	1
2009-02-12	2481	345	6
2009-02-13	234	9	0
2009-02-14	11999	3660	95
2009-02-15	153	32	0
2009-02-16	1863	383	0
2009-02-17	2	1	0
2009-02-18	2046	896	71
2009-02-19	427	0	0
2009-02-20	1408	467	0
2009-02-22	11497	3037	111
2009-02-23	24	5	1
2009-02-27	114	114	72
2009-02-28	254	40	19
2009-03-04	2561	40	0
2009-03-07	36	14	0
2009-03-08	1	0	0
2009-03-15	6	0	0
2009-03-25	2116	104	0
2009-03-27	1	0	0
2009-03-28	447	143	0
2009-04-12	174	24	0
2009-04-13	12042	1608	27
2009-04-14	6586	223	0
2009-04-15	4801	1056	0
2009-04-16	1	0	0
2009-04-17	6507	421	0
2009-04-24	23	19	0
2009-04-25	245	230	0
2009-04-27	871	646	10
2009-04-28	32	29	1
2009-05-01	62	47	0
