date	count	v1count	blankcount
2007-09-12	1	1	1
2007-09-13	1	1	1
2007-09-16	1	1	1
2007-09-25	109	109	5
2007-10-15	3	3	2
2007-10-22	7	6	0
2007-11-08	48	14	3
2007-11-22	30	4	0
2007-11-23	583	140	12
2007-11-24	237	174	13
2007-11-25	534	404	18
2007-11-26	163	137	1
2007-11-28	27	24	4
2007-11-29	276	182	41
2007-11-30	7	7	0
2007-12-01	91	62	7
2007-12-02	386	319	59
2007-12-03	509	422	34
2007-12-04	251	202	22
2007-12-05	79	74	15
2007-12-08	625	571	109
2007-12-09	62	48	7
2007-12-18	3	0	0
2008-01-05	158	143	13
2008-01-06	88	47	0
2008-01-09	76	76	44
2008-01-13	579	498	3
2008-01-14	496	462	14
2008-01-18	1	1	0
2008-01-19	478	410	0
2008-01-20	689	667	13
2008-01-24	58	57	5
2008-01-26	1116	1011	37
2008-01-27	293	242	6
2008-01-29	2	2	0
2008-01-31	2	0	0
2008-02-02	3	0	0
2008-02-05	11	3	0
2008-02-07	42	41	0
2008-02-09	25	16	0
2008-02-11	228	164	0
2008-02-16	1	0	0
2008-02-17	126	103	0
2008-02-27	14	13	1
2008-03-01	14	13	0
2008-03-03	634	586	6
2008-03-04	13	13	0
2008-03-06	111	77	1
2008-03-08	371	320	0
2008-03-15	39	12	0
2008-03-16	181	126	0
2008-03-18	6	6	0
2008-03-19	4667	4235	1
2008-03-20	103	88	0
2008-03-21	3621	3200	15
2008-03-22	3489	2741	3
2008-03-23	458	394	0
2008-03-26	342	206	0
2008-03-27	889	766	6
2008-03-29	637	623	48
2008-03-30	525	478	5
2008-04-02	187	63	0
2008-04-03	240	143	0
2008-04-06	145	102	0
2008-04-08	1700	1387	22
2008-04-12	26	7	0
2008-04-14	5	0	0
2008-04-26	290	236	17
2008-04-30	106	78	0
2008-05-10	1755	1606	5
2008-05-12	510	473	4
2008-05-13	5731	5504	33
2008-05-14	1331	1205	4
2008-05-16	1401	1141	0
2008-05-17	1957	1773	10
2008-05-18	2212	1723	16
2008-05-19	912	736	2
2008-05-20	2433	2275	7
2008-05-21	917	871	23
2008-05-22	1738	1567	7
2008-05-23	106	91	3
2008-05-24	380	347	0
2008-05-25	859	743	1
2008-05-26	685	631	1
2008-05-27	2774	2347	13
2008-05-29	6357	6013	58
2008-06-01	2535	2290	2
2008-06-06	926	858	1
2008-06-07	2106	1922	6
2008-06-08	57	0	0
2008-06-09	10	9	0
2008-06-12	549	537	3
2008-06-15	71	18	0
2008-06-17	84	7	0
2008-06-19	137	119	1
2008-06-21	31	3	0
2008-06-22	206	121	0
2008-06-26	576	481	0
2008-06-28	1	1	0
2008-06-29	1177	1138	12
2008-06-30	1	0	0
2008-07-02	4163	3737	3
2008-07-03	905	378	1
2008-07-04	1541	1423	1
2008-07-05	1	0	0
2008-07-07	1554	1426	3
2008-07-08	2221	2131	18
2008-07-09	380	219	0
2008-07-12	428	408	0
2008-07-15	502	483	0
2008-07-17	84	81	3
2008-07-19	581	0	0
2008-07-22	957	936	9
2008-07-23	1071	1028	0
2008-07-24	2368	880	10
2008-07-26	16	6	0
2008-07-29	1907	1853	0
2008-07-31	319	145	0
2008-08-01	232	207	1
2008-08-02	2086	2046	0
2008-08-03	297	296	0
2008-08-04	630	593	25
2008-08-05	233	222	0
2008-08-06	1093	1077	0
2008-08-07	1168	587	1
2008-08-09	1582	1407	26
2008-08-12	17	4	0
2008-08-14	378	327	0
2008-08-15	20	20	1
2008-08-17	4063	4005	1
2008-08-18	1560	1543	0
2008-08-19	593	479	1
2008-08-21	442	293	0
2008-08-23	101	100	0
2008-08-27	679	662	0
2008-08-31	6	4	0
2008-09-17	2	1	0
2008-09-22	2461	2058	10
2008-09-24	2	1	0
2008-10-02	92	43	0
2008-10-03	475	299	1
2008-10-05	271	262	1
2008-10-08	1488	139	0
2008-10-22	240	30	0
2008-10-23	43	1	0
2008-10-24	2946	67	0
2008-10-25	2969	203	0
2008-10-27	22	0	0
2008-10-29	1003	142	0
2008-10-30	12669	873	0
2008-10-31	2532	376	2
2008-11-01	2596	304	7
2008-11-02	16473	1330	3
2008-11-03	336	38	3
2008-11-04	173	0	0
2008-11-05	96	16	0
2008-11-06	90	0	0
2008-11-07	32	0	0
2008-11-08	5544	359	0
2008-11-09	13142	999	0
2008-11-10	1112	194	7
2008-11-12	74	41	0
2008-11-13	4189	308	0
2008-11-14	449	129	0
2008-11-15	207	85	0
2008-11-16	4	0	0
2008-11-19	55	0	0
2008-11-21	1	0	0
2008-11-22	1	0	0
2008-11-23	840	321	0
2008-11-24	2131	1263	65
2008-11-25	168	0	0
2008-11-26	3248	205	0
2008-11-27	1038	0	0
2008-11-28	18	0	0
2008-11-30	605	6	0
2008-12-03	329	5	0
2008-12-04	185	4	0
2008-12-09	481	5	0
2008-12-10	228	11	0
2008-12-11	53	1	0
2008-12-12	101	25	0
2008-12-13	4448	148	0
2008-12-17	4415	39	0
2008-12-18	84	1	0
2008-12-19	4	0	0
2008-12-20	697	147	0
2008-12-21	1	0	0
2008-12-23	419	48	0
2008-12-27	134	0	0
2009-01-03	193	22	0
2009-01-04	476	18	0
2009-01-06	1201	46	0
2009-01-07	725	107	1
2009-01-08	29	0	0
2009-01-09	524	35	1
2009-01-13	468	68	0
2009-01-14	430	84	0
2009-01-15	638	108	0
2009-01-17	158	32	0
2009-01-18	5	0	0
2009-01-19	251	42	0
2009-01-20	5835	114	0
2009-01-21	3465	208	0
2009-01-22	4443	193	0
2009-01-23	7799	698	4
2009-01-24	10409	694	0
2009-01-25	12621	494	0
2009-01-26	17438	1284	1
2009-01-27	10010	486	0
2009-01-28	212	13	0
2009-01-30	62	5	0
2009-01-31	364	4	2
2009-02-02	4	0	0
2009-02-03	2	0	0
2009-02-05	1	0	0
2009-02-06	64	2	0
2009-02-07	1	0	0
2009-02-08	2657	264	0
2009-02-09	661	93	0
2009-02-10	205	42	0
2009-02-13	8	0	0
2009-02-14	15	6	0
2009-02-19	2197	32	0
2009-02-20	73	1	0
2009-02-21	9	6	0
2009-02-22	495	111	2
2009-02-23	2941	371	1
2009-02-24	60	0	0
2009-02-26	1313	80	0
2009-02-27	981	285	0
2009-02-28	401	96	0
2009-03-01	503	100	2
2009-03-02	615	143	0
2009-03-03	388	29	3
2009-03-05	597	175	0
2009-03-06	505	100	0
2009-03-08	540	64	0
2009-03-10	2	1	0
2009-03-11	4236	169	0
2009-03-13	417	45	0
2009-03-14	213	141	0
2009-03-16	3800	492	1
2009-03-20	4391	372	0
2009-03-22	5315	410	0
2009-03-26	1400	163	0
2009-03-27	282	14	0
2009-03-30	84	4	0
2009-04-01	149	1	0
2009-04-05	14254	1356	36
2009-04-06	136	26	1
2009-04-07	249	31	10
2009-04-08	1552	379	13
2009-04-09	10	0	0
2009-04-10	12	0	0
2009-04-12	5414	700	0
2009-04-13	1068	168	3
2009-04-15	8267	416	0
2009-04-16	262	4	0
2009-04-21	21	21	0
2009-04-23	456	448	7
2009-04-24	573	207	0
2009-04-25	567	237	2
2009-04-26	129	40	0
2009-04-27	18	2	0
2009-04-28	115	33	0
2009-05-01	120	61	0
2009-05-02	576	550	0
2009-05-03	38	3	0
2009-05-05	172	71	0
2009-05-06	169	78	0
2009-05-07	5	1	0
2009-05-10	1	0	0
2009-05-12	51	31	0
2009-05-13	1	0	0
2009-05-14	1589	1401	21
